race_id,date,baba_code,baba_name,race_no,title,surface,distance,weather,going
20260412-11-01,2026-04-12,11,水沢,1,Ｃ２,ダート,850,晴,重
20260412-11-02,2026-04-12,11,水沢,2,Ｃ２十組,ダート,1300,晴,重
20260412-11-03,2026-04-12,11,水沢,3,Ｃ２九組,ダート,1300,晴,重
20260412-11-04,2026-04-12,11,水沢,4,Ｃ２八組,ダート,1300,晴,稍重
20260412-11-05,2026-04-12,11,水沢,5,３歳Ｃ１二組,ダート,1400,晴,稍重
20260412-11-06,2026-04-12,11,水沢,6,３歳Ｃ１一組,ダート,1400,晴,稍重
20260412-11-07,2026-04-12,11,水沢,7,Ｃ１,ダート,850,晴,稍重
20260412-11-08,2026-04-12,11,水沢,8,Ｃ１,ダート,1400,晴,稍重
20260412-11-09,2026-04-12,11,水沢,9,Ｃ１,ダート,1400,晴,稍重
20260412-11-10,2026-04-12,11,水沢,10,岩手伝統工芸　秀衡塗賞Ｃ１二組,ダート,1600,晴,稍重
20260412-11-11,2026-04-12,11,水沢,11,Ｃ１一組,ダート,1600,晴,稍重
20260412-11-12,2026-04-12,11,水沢,12,スプリント特別オープン,ダート,850,晴,稍重
20260412-22-01,2026-04-12,22,金沢,1,エスエスファミリー金沢競馬初来場記念Ｃ２十四,ダート,1400,晴,重
20260412-22-02,2026-04-12,22,金沢,2,Ｃ２十三,ダート,1500,晴,重
20260412-22-03,2026-04-12,22,金沢,3,Ｃ２十二,ダート,1500,晴,重
20260412-22-04,2026-04-12,22,金沢,4,高瀬さん海外赴任おめでとう記念Ｃ２十一,ダート,1400,晴,重
20260412-22-05,2026-04-12,22,金沢,5,ウマ娘トラベルポップアップストア金沢記念Ｃ２十,ダート,1400,晴,重
20260412-22-06,2026-04-12,22,金沢,6,能登復興支援　桜峠特別Ｃ２一,ダート,900,晴,重
20260412-22-07,2026-04-12,22,金沢,7,結翔入学おめでとう！中学生がん馬って記念Ｂ２三,ダート,1400,晴,重
20260412-22-08,2026-04-12,22,金沢,8,ＪＢＣイヤー記念【利家盃ＴＲ】４歳上,ダート,1700,晴,稍重
20260412-22-09,2026-04-12,22,金沢,9,Ｂ２二,ダート,1500,晴,稍重
20260412-22-10,2026-04-12,22,金沢,10,スマホで投票！楽天競馬特別Ｂ２一,ダート,1400,晴,稍重
20260412-31-01,2026-04-12,31,佐賀,1,３歳－７,ダート,1400,晴,重
20260412-31-02,2026-04-12,31,佐賀,2,３歳－６,ダート,1400,晴,重
20260412-31-03,2026-04-12,31,佐賀,3,３歳－５,ダート,1400,晴,重
20260412-31-04,2026-04-12,31,佐賀,4,Ｃ３－１６,ダート,1300,晴,重
20260412-31-05,2026-04-12,31,佐賀,5,フルーツトマト特別Ｃ３－１５,ダート,1300,晴,重
20260412-31-06,2026-04-12,31,佐賀,6,第４２回 二十四万石賞４歳以上,ダート,1900,晴,重
20260412-31-07,2026-04-12,31,佐賀,7,Ｃ３－１４,ダート,1300,晴,重
20260412-31-08,2026-04-12,31,佐賀,8,Ｃ３－１２,ダート,1300,晴,重
20260412-31-09,2026-04-12,31,佐賀,9,Ａ－３,ダート,1600,晴,重
20260412-31-10,2026-04-12,31,佐賀,10,Ａ－２,ダート,1600,晴,重
20260412-31-11,2026-04-12,31,佐賀,11,ファイナルレースＣ３－１３,ダート,1300,晴,重
20260412-32-01,2026-04-12,32,佐賀,1,３歳－８組,ダート,1300,曇,稍重
20260412-32-02,2026-04-12,32,佐賀,2,３歳－７組,ダート,1300,曇,稍重
20260412-32-03,2026-04-12,32,佐賀,3,Ｃ２－５組,ダート,1400,曇,稍重
20260412-32-04,2026-04-12,32,佐賀,4,Ｃ２－４組,ダート,1400,曇,稍重
20260412-32-05,2026-04-12,32,佐賀,5,Ｃ２－３組,ダート,1400,曇,稍重
20260412-32-06,2026-04-12,32,佐賀,6,第３回 佐賀がばいスプリントオープン,ダート,1300,曇,稍重
20260412-32-07,2026-04-12,32,佐賀,7,Ｃ１－１３組,ダート,1300,曇,稍重
20260412-32-08,2026-04-12,32,佐賀,8,サガデーナイト競馬賞Ｃ１－１２組,ダート,1400,曇,稍重
20260412-32-09,2026-04-12,32,佐賀,9,ネメシア賞Ｂ－６組,ダート,1400,曇,稍重
20260412-32-10,2026-04-12,32,佐賀,10,清明（せいめい）特選Ｃ２,ダート,1750,曇,稍重
20260412-32-11,2026-04-12,32,佐賀,11,ＳＡＧＡリベンジャーズドリーム３歳－１０組,ダート,1400,曇,稍重
