race_id,date,baba_code,baba_name,race_no,title,surface,distance,weather,going
20260703-19-01,2026-07-03,19,船橋,1,３歳八,ダート,1200,曇,重
20260703-19-02,2026-07-03,19,船橋,2,麻綿原特別３歳一,ダート,1500,曇,重
20260703-19-03,2026-07-03,19,船橋,3,リアトリスデビュー２歳新馬イ,ダート,1000,曇,重
20260703-19-04,2026-07-03,19,船橋,4,リアトリスデビュー２歳新馬ア,ダート,1500,曇,重
20260703-19-05,2026-07-03,19,船橋,5,３歳七,ダート,1200,曇,重
20260703-19-06,2026-07-03,19,船橋,6,Ｃ３選抜馬,ダート,1200,曇,重
20260703-19-07,2026-07-03,19,船橋,7,７月５日は、江戸切子の日。賞Ｃ１選抜馬,ダート,1000,曇,重
20260703-19-08,2026-07-03,19,船橋,8,Ｃ２六 七,ダート,1500,曇,重
20260703-19-09,2026-07-03,19,船橋,9,馬い！八幡平バイオレット記念Ｃ２六 七,ダート,1200,曇,重
20260703-19-10,2026-07-03,19,船橋,10,ラベンダースプリントＢ２選抜馬イ,ダート,1200,曇,重
20260703-19-11,2026-07-03,19,船橋,11,館山特別Ｂ３二,ダート,1600,曇,重
20260703-19-12,2026-07-03,19,船橋,12,流汗淋漓２２００Ｂ２Ｂ３選抜馬,ダート,2200,曇,重
20260703-20-01,2026-07-03,20,大井,1,Ｃ３一 二,ダート,1600,曇,不良
20260703-20-02,2026-07-03,20,大井,2,Ｃ３一 二,ダート,1200,曇,不良
20260703-20-03,2026-07-03,20,大井,3,３歳一 二 三,ダート,1600,曇,不良
20260703-20-04,2026-07-03,20,大井,4,３歳一 二 三,ダート,1400,曇,不良
20260703-20-05,2026-07-03,20,大井,5,３歳一 二 三,ダート,1200,曇,不良
20260703-20-06,2026-07-03,20,大井,6,Ｃ２三 四 五,ダート,1600,曇,不良
20260703-20-07,2026-07-03,20,大井,7,夏椿特別３歳選抜牝馬,ダート,1400,曇,不良
20260703-20-08,2026-07-03,20,大井,8,ブラッドハウンド賞Ｃ２三 四 五,ダート,1400,曇,不良
20260703-20-09,2026-07-03,20,大井,9,ヘラクレス座特別Ｃ２一選抜,ダート,1800,曇,不良
20260703-20-10,2026-07-03,20,大井,10,Ｃ２三 四 五,ダート,1200,曇,不良
20260703-20-11,2026-07-03,20,大井,11,小石川賞Ｂ１二Ｂ２一選抜特別,ダート,1600,曇,不良
20260703-20-12,2026-07-03,20,大井,12,潮見坂賞Ｂ３二選抜特別,ダート,1400,曇,不良
20260703-24-01,2026-07-03,24,名古屋,1,名古屋モーニングフィーバー３Ｃ３,ダート,1500,晴,重
20260703-24-02,2026-07-03,24,名古屋,2,アジア・アジアパラ応援３０ ３歳９,ダート,1500,晴,重
20260703-24-03,2026-07-03,24,名古屋,3,ゴールデンデビュー名古屋１（２歳新馬）,ダート,900,晴,重
20260703-24-04,2026-07-03,24,名古屋,4,ゴールデンデビュー名古屋２（２歳新馬）,ダート,900,晴,重
20260703-24-05,2026-07-03,24,名古屋,5,白雲（しらくも）賞３歳８,ダート,1700,晴,重
20260703-24-06,2026-07-03,24,名古屋,6,邨松名古屋でも頑張れ杯Ｂ１０,ダート,1500,晴,稍重
20260703-24-07,2026-07-03,24,名古屋,7,駆け上がれ！しゃちほこ賞Ｂ,ダート,1500,晴,稍重
20260703-24-08,2026-07-03,24,名古屋,8,Ｂ９組,ダート,1500,晴,稍重
20260703-24-09,2026-07-03,24,名古屋,9,田原（たはら）特別Ｃ１ｂ,ダート,1700,晴,稍重
20260703-24-10,2026-07-03,24,名古屋,10,渥美半島（あつみはんとう）特別Ｃ１ａ,ダート,1500,晴,稍重
20260703-24-11,2026-07-03,24,名古屋,11,ルビー・サンセットオープンＡ１ａ特別,ダート,1700,晴,稍重
20260703-24-12,2026-07-03,24,名古屋,12,金シャチ最終戦７７７Ｃ,ダート,1500,晴,稍重
20260703-27-01,2026-07-03,27,園田,1,Ｃ２三４歳以上,ダート,1400,晴,稍重
20260703-27-02,2026-07-03,27,園田,2,Ｃ３ ４歳以上,ダート,820,晴,稍重
20260703-27-03,2026-07-03,27,園田,3,Ｃ３二４歳以上,ダート,1400,晴,稍重
20260703-27-04,2026-07-03,27,園田,4,Ｃ３一４歳以上,ダート,1400,晴,稍重
20260703-27-05,2026-07-03,27,園田,5,３歳Ｃ１Ｃ２,ダート,820,晴,稍重
20260703-27-06,2026-07-03,27,園田,6,Ｃ２ ４歳以上,ダート,1230,晴,稍重
20260703-27-07,2026-07-03,27,園田,7,Ｃ１ ４歳以上特別,ダート,1870,晴,稍重
20260703-27-08,2026-07-03,27,園田,8,Ｃ２二４歳以上,ダート,1400,晴,稍重
20260703-27-09,2026-07-03,27,園田,9,Ｃ２一４歳以上,ダート,1400,晴,稍重
20260703-27-10,2026-07-03,27,園田,10,Ｂ１ ４歳以上特別,ダート,1230,晴,稍重
20260703-27-11,2026-07-03,27,園田,11,オッズパーク杯Ａ１ ４歳以上特別,ダート,1400,晴,稍重
20260703-27-12,2026-07-03,27,園田,12,Ｃ１ ４歳以上特別,ダート,1230,晴,稍重
