rank,rank_raw,waku,horse_no,horse_name,horse_id,affiliation,sex_age,weight_carried,jockey,trainer,body_weight,body_weight_diff,time,margin,last3f,popularity,win_odds,race_id
1.0,1,8,10,ラヴィエベル,30012405507,船橋,牝3,53.0,☆所　蛍,齊藤敏,383.0,3.0,1:18.9,,40.5,7.0,29.0,20260703-19-01
2.0,2,7,7,トゥンカロン,30024401607,船橋,牝3,54.0,木間龍,林正人,480.0,8.0,1:19.5,3,41.3,9.0,103.7,20260703-19-01
3.0,3,6,6,ヤギリパール,30034401407,船橋,牝3,54.0,小杉亮,張田京,445.0,1.0,1:19.5,ハナ,40.7,2.0,5.1,20260703-19-01
4.0,4,8,9,デービスアルバレス,30066407707,船橋,牝3,54.0,西村栄,石井勝,494.0,-16.0,1:19.8,1.1/2,41.8,1.0,1.5,20260703-19-01
5.0,5,2,2,エスケイドラゴン,30042401207,船橋,セン3,56.0,山中悠,林正人,445.0,8.0,1:19.8,ハナ,41.2,3.0,5.3,20260703-19-01
6.0,6,1,1,フロムイエスタディ,40091406807,船橋,牡3,56.0,町田直,佐々功,486.0,-3.0,1:20.1,1.1/2,41.7,8.0,81.9,20260703-19-01
7.0,7,4,4,ブライティアメール,30062403307,船橋,牝3,54.0,岡村健,山田信,427.0,1.0,1:20.3,1,41.7,4.0,17.3,20260703-19-01
8.0,8,7,8,ビシバシ,30062408007,船橋,牡3,56.0,仲野光,阿井正,493.0,-4.0,1:21.0,3,43.1,5.0,20.5,20260703-19-01
9.0,9,5,5,アークローズ,30032403307,船橋,牝3,54.0,笠野雄,山中尊,432.0,-10.0,1:21.1,1/2,42.1,10.0,320.4,20260703-19-01
10.0,10,3,3,ユウユウスター,30013409907,船橋,牡3,56.0,野畑凌,渋谷博,433.0,1.0,1:21.2,1/2,42.2,6.0,21.6,20260703-19-01
1.0,1,1,1,レジェンドマスター,30053408407,船橋,牡3,57.0,本田重,渡邊貴,515.0,10.0,1:38.5,,38.9,1.0,2.0,20260703-19-02
2.0,2,2,2,マサノカトレア,30047407807,船橋,牝3,54.0,岡村健,齊藤敏,450.0,3.0,1:38.7,1,39.3,4.0,8.9,20260703-19-02
3.0,3,3,3,グリオット,30092403407,船橋,牝3,55.0,御神訓,川島一,462.0,-5.0,1:38.7,クビ,39.7,2.0,2.1,20260703-19-02
4.0,4,5,5,キャッスルプライド,30064401607,船橋,牡3,56.0,仲野光,長谷剛,487.0,-2.0,1:38.8,クビ,40.8,5.0,39.0,20260703-19-02
5.0,5,4,4,ゴールドステージ,30097409707,船橋,牡3,56.0,野畑凌,玉井等,481.0,2.0,1:41.7,大差,42.5,3.0,6.7,20260703-19-02
1.0,1,2,2,セレノフィル,30045401617,船橋,牝2,54.0,本田重,佐藤太,446.0,,1:03.6,,40.0,2.0,3.9,20260703-19-03
2.0,2,4,4,フェズミント,30045401217,船橋,牡2,54.0,岡村健,山本学,461.0,,1:05.0,7,40.6,3.0,10.6,20260703-19-03
3.0,3,3,3,スティールビート,30063408917,船橋,牡2,54.0,山口達,張田京,450.0,,1:05.0,アタマ,41.4,1.0,1.2,20260703-19-03
4.0,4,1,1,フユナナベース,30084409917,船橋,牝2,54.0,笠野雄,岩崎真,451.0,,1:05.1,クビ,39.1,5.0,37.0,20260703-19-03
5.0,5,5,5,キャッスルジェイド,30016407417,船橋,牡2,54.0,小杉亮,渋谷博,443.0,,1:05.4,1.1/2,39.4,4.0,13.5,20260703-19-03
1.0,1,6,6,プレミアムチーム,30007400217,船橋,牡2,54.0,本橋孝,森泰斗,475.0,,1:40.5,,42.4,1.0,1.6,20260703-19-04
2.0,2,5,5,ピースクラフト,30082405917,船橋,牡2,54.0,小杉亮,渡邊貴,467.0,,1:42.9,大差,44.6,5.0,36.9,20260703-19-04
3.0,3,3,3,マンデラエフェクト,30005407617,船橋,牡2,54.0,本田重,米谷康,475.0,,1:44.2,6,45.7,3.0,4.1,20260703-19-04
