race_id,bet_type,combination,amount,popularity
20260703-19-01,win,10,2900,7
20260703-19-01,place,10,660,7
20260703-19-01,place,7,1250,8
20260703-19-01,place,6,170,3
20260703-19-01,bracket,7-8,760,3
20260703-19-01,quinella,7-10,52410,36
20260703-19-01,bracket_exacta,8-7,1040,3
20260703-19-01,exacta,10-7,129050,70
20260703-19-01,wide,7-10,7230,35
20260703-19-01,wide,6-10,1080,13
20260703-19-01,wide,6-7,2880,25
20260703-19-01,trio,6-7-10,48800,68
20260703-19-01,trifecta,10-7-6,602030,437
20260703-19-02,win,1,200,1
20260703-19-02,place,1,170,2
20260703-19-02,place,2,260,3
20260703-19-02,quinella,1-2,600,2
20260703-19-02,exacta,1-2,780,3
20260703-19-02,wide,1-2,130,2
20260703-19-02,wide,1-3,110,1
20260703-19-02,wide,2-3,190,5
20260703-19-02,trio,1-2-3,220,1
20260703-19-02,trifecta,1-2-3,1630,7
20260703-19-03,win,2,390,2
20260703-19-03,place,2,150,2
20260703-19-03,place,4,390,4
20260703-19-03,quinella,2-4,1710,5
20260703-19-03,exacta,2-4,2680,7
20260703-19-03,wide,2-4,160,4
20260703-19-03,wide,2-3,110,1
20260703-19-03,wide,3-4,120,2
20260703-19-03,trio,2-3-4,170,1
20260703-19-03,trifecta,2-4-3,3880,13
20260703-19-04,win,6,160,1
20260703-19-04,place,6,140,1
20260703-19-04,place,5,930,5
20260703-19-04,quinella,5-6,2930,8
20260703-19-04,exacta,6-5,3770,10
20260703-19-04,wide,5-6,480,7
20260703-19-04,wide,3-6,230,3
20260703-19-04,wide,3-5,640,9
20260703-19-04,trio,3-5-6,1260,5
20260703-19-04,trifecta,6-5-3,8120,24
20260703-19-05,win,9,110,1
20260703-19-05,place,9,100,1
20260703-19-05,place,6,210,6
20260703-19-05,place,4,110,2
20260703-19-05,bracket,6-8,660,3
20260703-19-05,quinella,6-9,640,3
20260703-19-05,bracket_exacta,8-6,780,5
20260703-19-05,exacta,9-6,690,3
20260703-19-05,wide,6-9,340,4
20260703-19-05,wide,4-9,170,1
20260703-19-05,wide,4-6,680,11
20260703-19-05,trio,4-6-9,680,1
20260703-19-05,trifecta,9-6-4,2020,7
20260703-19-06,win,9,230,1
20260703-19-06,place,9,150,3
20260703-19-06,place,2,150,2
20260703-19-06,place,8,170,5
20260703-19-06,bracket,2-7,550,2
20260703-19-06,quinella,2-9,880,2
20260703-19-06,bracket_exacta,7-2,960,3
20260703-19-06,exacta,9-2,1510,4
20260703-19-06,wide,2-9,300,2
20260703-19-06,wide,8-9,310,3
20260703-19-06,wide,2-8,370,5
20260703-19-06,trio,2-8-9,1540,5
20260703-19-06,trifecta,9-2-8,7320,21
20260703-19-07,win,7,370,2
20260703-19-07,place,7,180,2
20260703-19-07,place,6,1190,5
20260703-19-07,quinella,6-7,1970,7
20260703-19-07,exacta,7-6,2750,11
20260703-19-07,wide,6-7,510,7
20260703-19-07,wide,4-7,330,4
20260703-19-07,wide,4-6,1250,12
20260703-19-07,trio,4-6-7,2970,11
20260703-19-07,trifecta,7-6-4,14840,42
20260703-19-08,win,2,140,1
20260703-19-08,place,2,150,1
20260703-19-08,place,1,570,5
20260703-19-08,quinella,1-2,2750,7
20260703-19-08,exacta,2-1,3060,11
20260703-19-08,wide,1-2,560,8
20260703-19-08,wide,2-3,160,2
20260703-19-08,wide,1-3,420,7
20260703-19-08,trio,1-2-3,710,3
20260703-19-08,trifecta,2-1-3,6310,23
20260703-19-09,win,5,100,1
20260703-19-09,place,5,110,1
20260703-19-09,place,9,150,2
20260703-19-09,place,8,690,8
20260703-19-09,bracket,5-8,280,1
20260703-19-09,quinella,5-9,350,1
20260703-19-09,bracket_exacta,5-8,340,1
20260703-19-09,exacta,5-9,390,1
20260703-19-09,wide,5-9,190,1
20260703-19-09,wide,5-8,1340,15
20260703-19-09,wide,8-9,2280,18
20260703-19-09,trio,5-8-9,3040,11
20260703-19-09,trifecta,5-9-8,5620,21
20260703-19-10,win,9,600,5
20260703-19-10,place,9,200,5
20260703-19-10,place,2,140,1
20260703-19-10,place,5,170,3
20260703-19-10,bracket,2-7,750,1
20260703-19-10,quinella,2-9,930,2
20260703-19-10,bracket_exacta,7-2,2460,12
20260703-19-10,exacta,9-2,2720,9
20260703-19-10,wide,2-9,400,3
20260703-19-10,wide,5-9,650,10
20260703-19-10,wide,2-5,330,1
20260703-19-10,trio,2-5-9,1940,4
20260703-19-10,trifecta,9-2-5,14020,36
20260703-19-11,win,12,210,1
20260703-19-11,place,12,130,1
20260703-19-11,place,7,1030,12
20260703-19-11,place,11,730,10
20260703-19-11,bracket,5-8,570,2
20260703-19-11,quinella,7-12,4110,12
20260703-19-11,bracket_exacta,8-5,950,3
20260703-19-11,exacta,12-7,5520,16
20260703-19-11,wide,7-12,1530,16
20260703-19-11,wide,11-12,1010,9
20260703-19-11,wide,7-11,8770,63
20260703-19-11,trio,7-11-12,19720,64
20260703-19-11,trifecta,12-7-11,62730,191
20260703-19-12,win,2,170,1
20260703-19-12,place,2,120,1
20260703-19-12,place,8,210,5
20260703-19-12,place,3,180,3
20260703-19-12,bracket,2-7,640,2
20260703-19-12,quinella,2-8,760,3
20260703-19-12,bracket_exacta,2-7,1000,3
20260703-19-12,exacta,2-8,1090,3
20260703-19-12,wide,2-8,380,6
20260703-19-12,wide,2-3,310,2
20260703-19-12,wide,3-8,820,13
20260703-19-12,trio,2-3-8,1750,5
20260703-19-12,trifecta,2-8-3,5300,9
20260703-20-01,win,8,190,1
20260703-20-01,place,8,100,1
20260703-20-01,place,2,170,4
20260703-20-01,place,5,130,2
20260703-20-01,bracket,2-6,1130,4
20260703-20-01,quinella,2-8,840,2
20260703-20-01,bracket_exacta,6-2,2280,8
20260703-20-01,exacta,8-2,1240,2
20260703-20-01,wide,2-8,360,4
20260703-20-01,wide,5-8,240,1
20260703-20-01,wide,2-5,310,3
20260703-20-01,trio,2-5-8,1100,2
20260703-20-01,trifecta,8-2-5,4590,5
20260703-20-02,win,13,1390,6
20260703-20-02,place,13,260,5
20260703-20-02,place,11,320,6
20260703-20-02,place,12,150,2
20260703-20-02,bracket,7-8,660,3
20260703-20-02,quinella,11-13,3690,15
20260703-20-02,bracket_exacta,8-7,1650,8
20260703-20-02,exacta,13-11,12020,47
20260703-20-02,wide,11-13,1150,16
20260703-20-02,wide,12-13,550,4
20260703-20-02,wide,11-12,640,5
20260703-20-02,trio,11-12-13,4220,14
20260703-20-02,trifecta,13-11-12,53810,185
20260703-20-03,win,9,180,1
20260703-20-03,place,9,110,1
20260703-20-03,place,2,120,2
20260703-20-03,place,6,300,7
20260703-20-03,bracket,2-7,330,2
20260703-20-03,quinella,2-9,350,1
20260703-20-03,bracket_exacta,7-2,650,2
20260703-20-03,exacta,9-2,560,1
20260703-20-03,wide,2-9,220,2
20260703-20-03,wide,6-9,500,6
20260703-20-03,wide,2-6,640,7
20260703-20-03,trio,2-6-9,1040,2
20260703-20-03,trifecta,9-2-6,3090,5
20260703-20-04,win,4,180,1
20260703-20-04,place,4,150,2
20260703-20-04,place,8,420,7
20260703-20-04,place,6,430,8
20260703-20-04,bracket,4-8,620,3
20260703-20-04,quinella,4-8,3550,10
20260703-20-04,bracket_exacta,4-8,830,3
20260703-20-04,exacta,4-8,3630,13
20260703-20-04,wide,4-8,1080,16
20260703-20-04,wide,4-6,760,7
20260703-20-04,wide,6-8,5120,27
20260703-20-04,trio,4-6-8,12190,32
20260703-20-04,trifecta,4-8-6,49320,118
20260703-20-05,win,5,130,1
20260703-20-05,place,5,110,1
20260703-20-05,place,9,200,3
20260703-20-05,place,11,350,6
20260703-20-05,bracket,5-7,420,2
20260703-20-05,quinella,5-9,480,3
20260703-20-05,bracket_exacta,5-7,580,2
20260703-20-05,exacta,5-9,590,3
20260703-20-05,wide,5-9,210,2
20260703-20-05,wide,5-11,410,5
20260703-20-05,wide,9-11,1060,14
20260703-20-05,trio,5-9-11,1580,7
20260703-20-05,trifecta,5-9-11,3890,10
20260703-20-06,win,9,310,1
20260703-20-06,place,9,130,1
20260703-20-06,place,7,150,2
20260703-20-06,place,3,190,4
20260703-20-06,bracket,7-8,720,2
20260703-20-06,quinella,7-9,780,2
20260703-20-06,bracket_exacta,8-7,1030,2
20260703-20-06,exacta,9-7,1380,3
20260703-20-06,wide,7-9,280,2
20260703-20-06,wide,3-9,250,1
20260703-20-06,wide,3-7,400,4
20260703-20-06,trio,3-7-9,950,1
20260703-20-06,trifecta,9-7-3,4390,3
20260703-20-07,win,4,160,1
20260703-20-07,place,4,120,1
20260703-20-07,place,8,180,4
20260703-20-07,place,2,160,3
20260703-20-07,bracket,4-8,350,2
20260703-20-07,quinella,4-8,630,2
20260703-20-07,bracket_exacta,4-8,580,2
20260703-20-07,exacta,4-8,790,3
20260703-20-07,wide,4-8,260,2
20260703-20-07,wide,2-4,290,3
20260703-20-07,wide,2-8,790,10
20260703-20-07,trio,2-4-8,1270,5
20260703-20-07,trifecta,4-8-2,3030,8
20260703-20-08,win,7,190,1
20260703-20-08,place,7,120,1
20260703-20-08,place,10,200,4
20260703-20-08,place,6,290,7
20260703-20-08,bracket,5-7,340,1
20260703-20-08,quinella,7-10,630,2
20260703-20-08,bracket_exacta,5-7,560,1
20260703-20-08,exacta,7-10,1080,2
20260703-20-08,wide,7-10,420,3
20260703-20-08,wide,6-7,520,6
20260703-20-08,wide,6-10,2210,27
20260703-20-08,trio,6-7-10,3280,11
20260703-20-08,trifecta,7-10-6,10190,25
20260703-20-09,win,11,170,1
20260703-20-09,place,11,110,1
20260703-20-09,place,3,160,3
20260703-20-09,place,10,320,8
20260703-20-09,bracket,3-8,520,2
20260703-20-09,quinella,3-11,530,2
20260703-20-09,bracket_exacta,8-3,730,4
20260703-20-09,exacta,11-3,760,1
20260703-20-09,wide,3-11,250,1
