race_id,bet_type,combination,amount,popularity
20260401-19-01,win,10,1700,6
20260401-19-01,place,10,290,6
20260401-19-01,place,1,130,1
20260401-19-01,place,9,150,2
20260401-19-01,bracket,1-7,660,2
20260401-19-01,quinella,1-10,1740,8
20260401-19-01,bracket_exacta,7-1,1570,7
20260401-19-01,exacta,10-1,7290,26
20260401-19-01,wide,1-10,770,9
20260401-19-01,wide,9-10,1170,17
20260401-19-01,wide,1-9,370,3
20260401-19-01,trio,1-9-10,4150,13
20260401-19-01,trifecta,10-1-9,42690,141
20260401-19-02,win,8,850,4
20260401-19-02,place,8,170,3
20260401-19-02,place,12,130,1
20260401-19-02,place,5,150,2
20260401-19-02,bracket,6-8,400,2
20260401-19-02,quinella,8-12,1010,3
20260401-19-02,bracket_exacta,6-8,1120,6
20260401-19-02,exacta,8-12,3140,8
20260401-19-02,wide,8-12,410,3
20260401-19-02,wide,5-8,450,4
20260401-19-02,wide,5-12,220,1
20260401-19-02,trio,5-8-12,1630,2
20260401-19-02,trifecta,8-12-5,11960,24
20260401-19-03,win,10,380,2
20260401-19-03,place,10,170,3
20260401-19-03,place,2,200,4
20260401-19-03,place,3,150,2
20260401-19-03,bracket,2-8,590,3
20260401-19-03,quinella,2-10,1530,7
20260401-19-03,bracket_exacta,8-2,940,3
20260401-19-03,exacta,10-2,2870,14
20260401-19-03,wide,2-10,420,6
20260401-19-03,wide,3-10,400,5
20260401-19-03,wide,2-3,360,4
20260401-19-03,trio,2-3-10,2500,9
20260401-19-03,trifecta,10-2-3,11860,40
20260401-19-04,win,3,400,3
20260401-19-04,place,3,150,3
20260401-19-04,place,1,590,7
20260401-19-04,place,7,140,2
20260401-19-04,bracket,1-3,4760,13
20260401-19-04,quinella,1-3,4330,15
20260401-19-04,bracket_exacta,3-1,4970,19
20260401-19-04,exacta,3-1,6020,25
20260401-19-04,wide,1-3,1180,16
20260401-19-04,wide,3-7,260,2
20260401-19-04,wide,1-7,1340,18
20260401-19-04,trio,1-3-7,2880,11
20260401-19-04,trifecta,3-1-7,17470,67
20260401-19-05,win,7,120,1
20260401-19-05,place,7,100,1
20260401-19-05,place,9,150,3
20260401-19-05,place,3,110,2
20260401-19-05,bracket,6-7,300,2
20260401-19-05,quinella,7-9,370,2
20260401-19-05,bracket_exacta,6-7,410,2
20260401-19-05,exacta,7-9,410,2
20260401-19-05,wide,7-9,170,2
20260401-19-05,wide,3-7,120,1
20260401-19-05,wide,3-9,260,4
20260401-19-05,trio,3-7-9,300,1
20260401-19-05,trifecta,7-9-3,780,2
20260401-19-06,win,2,170,1
20260401-19-06,place,2,130,1
20260401-19-06,place,6,210,4
20260401-19-06,place,9,410,7
20260401-19-06,bracket,2-5,580,2
20260401-19-06,quinella,2-6,980,5
20260401-19-06,bracket_exacta,2-5,1250,4
20260401-19-06,exacta,2-6,1450,5
20260401-19-06,wide,2-6,520,5
20260401-19-06,wide,2-9,1160,14
20260401-19-06,wide,6-9,2060,24
20260401-19-06,trio,2-6-9,8290,27
20260401-19-06,trifecta,2-6-9,21030,60
20260401-19-07,win,5,240,1
20260401-19-07,place,5,130,1
20260401-19-07,place,4,190,3
20260401-19-07,quinella,4-5,410,2
20260401-19-07,exacta,5-4,750,2
20260401-19-07,wide,4-5,180,3
20260401-19-07,wide,1-5,160,2
20260401-19-07,wide,1-4,230,5
20260401-19-07,trio,1-4-5,340,1
20260401-19-07,trifecta,5-4-1,1470,2
20260401-19-08,win,4,2530,8
20260401-19-08,place,4,460,6
20260401-19-08,place,8,570,8
20260401-19-08,place,10,150,1
20260401-19-08,bracket,4-7,6340,16
20260401-19-08,quinella,4-8,11570,29
20260401-19-08,bracket_exacta,4-7,15530,32
20260401-19-08,exacta,4-8,26890,62
20260401-19-08,wide,4-8,2590,32
20260401-19-08,wide,4-10,900,13
20260401-19-08,wide,8-10,870,12
20260401-19-08,trio,4-8-10,8470,36
20260401-19-08,trifecta,4-8-10,104190,298
20260401-19-09,win,5,720,2
20260401-19-09,place,5,150,2
20260401-19-09,place,4,210,4
20260401-19-09,place,7,160,3
20260401-19-09,bracket,4-5,4960,10
20260401-19-09,quinella,4-5,3640,9
20260401-19-09,bracket_exacta,5-4,8050,16
20260401-19-09,exacta,5-4,7470,14
20260401-19-09,wide,4-5,640,9
20260401-19-09,wide,5-7,450,5
20260401-19-09,wide,4-7,610,7
20260401-19-09,trio,4-5-7,4760,14
20260401-19-09,trifecta,5-4-7,30770,65
20260401-19-10,win,8,1120,4
20260401-19-10,place,8,270,4
20260401-19-10,place,7,180,2
20260401-19-10,place,4,560,8
20260401-19-10,bracket,7-7,2910,9
20260401-19-10,quinella,7-8,2850,11
20260401-19-10,bracket_exacta,7-7,3170,12
20260401-19-10,exacta,8-7,6970,21
20260401-19-10,wide,7-8,730,7
20260401-19-10,wide,4-8,2480,26
20260401-19-10,wide,4-7,1640,22
20260401-19-10,trio,4-7-8,14560,44
20260401-19-10,trifecta,8-7-4,81170,187
20260401-19-11,win,2,1870,8
20260401-19-11,place,2,790,10
20260401-19-11,place,4,920,11
20260401-19-11,place,5,770,9
20260401-19-11,bracket,2-4,17410,29
20260401-19-11,quinella,2-4,18030,48
20260401-19-11,bracket_exacta,2-4,30210,58
20260401-19-11,exacta,2-4,31810,87
20260401-19-11,wide,2-4,4770,50
20260401-19-11,wide,2-5,6430,54
20260401-19-11,wide,4-5,8980,56
20260401-19-11,trio,2-4-5,134940,192
20260401-19-11,trifecta,2-4-5,745310,1081
20260401-19-12,win,7,720,3
20260401-19-12,place,7,230,3
20260401-19-12,place,3,280,6
20260401-19-12,place,1,170,1
20260401-19-12,bracket,3-5,2270,10
20260401-19-12,quinella,3-7,3830,18
20260401-19-12,bracket_exacta,5-3,3530,16
20260401-19-12,exacta,7-3,8220,36
20260401-19-12,wide,3-7,1200,17
20260401-19-12,wide,1-7,620,4
20260401-19-12,wide,1-3,1020,13
20260401-19-12,trio,1-3-7,5530,17
20260401-19-12,trifecta,7-3-1,47180,163
20260401-27-01,win,4,590,4
20260401-27-01,place,4,160,3
20260401-27-01,place,5,470,6
20260401-27-01,place,2,150,2
20260401-27-01,bracket,4-5,11140,18
20260401-27-01,quinella,4-5,8930,13
20260401-27-01,exacta,4-5,10300,23
20260401-27-01,wide,4-5,1770,13
20260401-27-01,wide,2-4,410,7
20260401-27-01,wide,2-5,1600,12
20260401-27-01,trio,2-4-5,8130,17
20260401-27-01,trifecta,4-5-2,49740,112
20260401-27-02,win,10,130,1
20260401-27-02,place,10,100,1
20260401-27-02,place,6,120,2
20260401-27-02,place,4,150,4
20260401-27-02,bracket,6-8,420,2
20260401-27-02,quinella,6-10,420,2
20260401-27-02,exacta,10-6,400,1
20260401-27-02,wide,6-10,190,2
20260401-27-02,wide,4-10,180,1
20260401-27-02,wide,4-6,460,6
20260401-27-02,trio,4-6-10,700,1
20260401-27-02,trifecta,10-6-4,1630,1
20260401-27-03,win,1,100,1
20260401-27-03,place,1,100,1
20260401-27-03,place,2,110,2
20260401-27-03,place,5,300,7
20260401-27-03,bracket,1-2,120,1
20260401-27-03,quinella,1-2,150,1
20260401-27-03,exacta,1-2,170,1
20260401-27-03,wide,1-2,130,1
20260401-27-03,wide,1-5,520,9
20260401-27-03,wide,2-5,790,11
20260401-27-03,trio,1-2-5,1150,5
20260401-27-03,trifecta,1-2-5,1640,6
20260401-27-04,win,11,130,1
20260401-27-04,place,11,100,1
20260401-27-04,place,6,100,2
20260401-27-04,place,5,110,3
20260401-27-04,bracket,6-8,250,1
20260401-27-04,quinella,6-11,240,1
20260401-27-04,exacta,11-6,300,1
20260401-27-04,wide,6-11,140,2
20260401-27-04,wide,5-11,130,1
20260401-27-04,wide,5-6,190,3
20260401-27-04,trio,5-6-11,250,1
20260401-27-04,trifecta,11-6-5,630,1
20260401-27-05,win,11,180,1
20260401-27-05,place,11,120,1
20260401-27-05,place,8,520,8
20260401-27-05,place,6,190,3
20260401-27-05,bracket,6-8,1600,7
20260401-27-05,quinella,8-11,2460,9
20260401-27-05,exacta,11-8,3610,12
20260401-27-05,wide,8-11,960,13
20260401-27-05,wide,6-11,330,2
20260401-27-05,wide,6-8,1490,19
20260401-27-05,trio,6-8-11,3230,9
20260401-27-05,trifecta,11-8-6,13510,38
20260401-27-06,win,5,350,2
20260401-27-06,place,5,170,2
20260401-27-06,place,6,260,5
20260401-27-06,place,8,1690,9
20260401-27-06,bracket,5-6,1650,9
20260401-27-06,quinella,5-6,1380,7
20260401-27-06,exacta,5-6,2500,10
20260401-27-06,wide,5-6,510,5
20260401-27-06,wide,5-8,3730,25
20260401-27-06,wide,6-8,8690,36
20260401-27-06,trio,5-6-8,29100,53
20260401-27-06,trifecta,5-6-8,71680,174
20260401-27-07,win,7,200,1
20260401-27-07,place,7,130,1
20260401-27-07,place,3,250,6
20260401-27-07,place,4,240,5
20260401-27-07,bracket,3-7,1050,5
20260401-27-07,quinella,3-7,1210,5
20260401-27-07,exacta,7-3,1860,6
20260401-27-07,wide,3-7,440,7
20260401-27-07,wide,4-7,430,6
20260401-27-07,wide,3-4,1260,16
20260401-27-07,trio,3-4-7,3530,14
20260401-27-07,trifecta,7-3-4,11610,39
20260401-27-08,win,9,100,1
20260401-27-08,place,9,100,1
20260401-27-08,place,5,390,7
20260401-27-08,place,7,330,6
20260401-27-08,bracket,5-8,820,6
20260401-27-08,quinella,5-9,770,4
20260401-27-08,exacta,9-5,940,5
20260401-27-08,wide,5-9,440,5
20260401-27-08,wide,7-9,440,6
20260401-27-08,wide,5-7,2620,23
20260401-27-08,trio,5-7-9,2940,14
20260401-27-08,trifecta,9-5-7,6310,27
20260401-27-09,win,11,390,2
20260401-27-09,place,11,210,3
20260401-27-09,place,5,2190,10
20260401-27-09,place,1,700,7
20260401-27-09,bracket,5-8,1320,6
20260401-27-09,quinella,5-11,26040,32
20260401-27-09,exacta,11-5,32080,56
20260401-27-09,wide,5-11,4810,34
20260401-27-09,wide,1-11,1920,19
20260401-27-09,wide,1-5,15520,47
20260401-27-09,trio,1-5-11,95310,108
20260401-27-09,trifecta,11-5-1,355160,506
20260401-27-10,win,5,510,3
20260401-27-10,place,5,140,3
20260401-27-10,place,4,110,1
20260401-27-10,place,7,120,2
20260401-27-10,bracket,4-5,730,3
20260401-27-10,quinella,4-5,600,3
20260401-27-10,exacta,5-4,1410,5
20260401-27-10,wide,4-5,200,3
20260401-27-10,wide,5-7,440,7
20260401-27-10,wide,4-7,160,1
20260401-27-10,trio,4-5-7,570,1
20260401-27-10,trifecta,5-4-7,4200,10
20260401-27-11,win,4,250,2
20260401-27-11,place,4,100,2
20260401-27-11,place,9,100,1
20260401-27-11,place,7,120,3
20260401-27-11,bracket,4-8,180,1
20260401-27-11,quinella,4-9,180,1
20260401-27-11,exacta,4-9,440,2
20260401-27-11,wide,4-9,110,1
20260401-27-11,wide,4-7,200,4
20260401-27-11,wide,7-9,160,2
20260401-27-11,trio,4-7-9,270,2
