race_id,date,baba_code,baba_name,race_no,title,surface,distance,weather,going
20260401-19-01,2026-04-01,19,船橋,1,３歳八,ダート,1200,雨,重
20260401-19-02,2026-04-01,19,船橋,2,３歳七,ダート,1200,雨,重
20260401-19-03,2026-04-01,19,船橋,3,３歳四組下選抜馬,ダート,1500,雨,重
20260401-19-04,2026-04-01,19,船橋,4,パイライトダッシュＣ３選抜馬,ダート,1000,雨,重
20260401-19-05,2026-04-01,19,船橋,5,卯花月スプリントＣ２選抜馬イ,ダート,1200,雨,重
20260401-19-06,2026-04-01,19,船橋,6,選抜馬Ｃ３三組下,ダート,1500,雨,重
20260401-19-07,2026-04-01,19,船橋,7,チューリップ特別３歳一,ダート,1600,雨,不良
20260401-19-08,2026-04-01,19,船橋,8,馬い！熊本菊池水田生ごぼうＣ１選抜馬イ,ダート,1200,雨,不良
20260401-19-09,2026-04-01,19,船橋,9,エイプリルスプリントＣ２選抜馬ア,ダート,1200,雨,不良
20260401-19-10,2026-04-01,19,船橋,10,くじら座スプリントＢ１選抜馬,ダート,1200,雨,不良
20260401-19-11,2026-04-01,19,船橋,11,カシオペア座特別Ｂ２二Ｂ３一,ダート,1600,雨,不良
20260401-19-12,2026-04-01,19,船橋,12,桜花爛漫特別Ｂ３選抜馬,ダート,1800,雨,不良
20260401-27-01,2026-04-01,27,園田,1,Ｃ３二４歳以上,ダート,1400,雨,稍重
20260401-27-02,2026-04-01,27,園田,2,３歳Ｃ２二,ダート,1400,雨,稍重
20260401-27-03,2026-04-01,27,園田,3,３歳Ｃ２一,ダート,1400,雨,稍重
20260401-27-04,2026-04-01,27,園田,4,おたまじゃくし中西☆来場記念Ｃ３ ４歳以上,ダート,1230,雨,稍重
20260401-27-05,2026-04-01,27,園田,5,かつみ　さゆり☆来場記念Ｃ２二４歳以上,ダート,820,雨,稍重
20260401-27-06,2026-04-01,27,園田,6,Ｃ３一４歳以上,ダート,1400,雨,稍重
20260401-27-07,2026-04-01,27,園田,7,Ｃ２二４歳以上,ダート,1400,雨,稍重
20260401-27-08,2026-04-01,27,園田,8,Ｃ２一４歳以上,ダート,1400,雨,稍重
20260401-27-09,2026-04-01,27,園田,9,Ｃ２一４歳以上,ダート,820,雨,稍重
20260401-27-10,2026-04-01,27,園田,10,有村藍里☆来場記念Ｃ１ ４歳以上特別,ダート,1400,雨,稍重
20260401-27-11,2026-04-01,27,園田,11,第３回 兵庫女王盃JpnIII４歳以上牝馬登録馬,ダート,1870,雨,稍重
20260401-27-12,2026-04-01,27,園田,12,椿　鬼奴☆来場記念Ａ２Ｂ１ ４歳以上特別,ダート,1400,雨,稍重
