rank,rank_raw,waku,horse_no,horse_name,horse_id,affiliation,sex_age,weight_carried,jockey,trainer,body_weight,body_weight_diff,time,margin,last3f,popularity,win_odds,race_id
1.0,1,7,10,マサッキー,30003401207,船橋,牝3,54.0,臼井健,岩崎真,430.0,0.0,1:18.4,,39.4,6.0,17.0,20260401-19-01
2.0,2,1,1,エガリテアリエル,30043408607,船橋,牝3,54.0,和田譲,林　幻,436.0,-5.0,1:18.7,1.1/2,38.9,1.0,2.6,20260401-19-01
3.0,3,7,9,ヒーサマアムール,30007401807,船橋,牝3,54.0,小杉亮,伊藤滋,491.0,13.0,1:18.7,クビ,39.9,2.0,3.9,20260401-19-01
4.0,4,4,4,ビッグメダーリア,30015405807,船橋,牝3,52.0,△所　蛍,田中力,392.0,-4.0,1:18.9,3/4,39.7,10.0,56.4,20260401-19-01
5.0,5,6,8,ゴーレム,30024402207,船橋,牡3,56.0,岡村健,渋谷博,503.0,7.0,1:19.1,1,39.5,4.0,6.7,20260401-19-01
6.0,6,8,11,キュレーション,30005406207,船橋,牝3,53.0,☆中山遥,大津剛,394.0,9.0,1:19.3,1,39.9,3.0,4.3,20260401-19-01
7.0,7,3,3,ターンイットアップ,30088407307,船橋,牡3,56.0,川島正,山中尊,485.0,2.0,1:19.9,3,39.9,5.0,13.7,20260401-19-01
7.0,7,6,7,グランドサークル,30027406307,船橋,牝3,54.0,本橋孝,石井勝,435.0,-4.0,1:19.9,同着,39.9,9.0,54.9,20260401-19-01
9.0,9,5,5,リュウノキャロット,30032408207,船橋,牝3,54.0,山本紀,齊藤敏,458.0,-2.0,1:20.0,クビ,40.0,7.0,26.4,20260401-19-01
10.0,10,5,6,ユリシスバタフライ,30007408007,船橋,牡3,56.0,山中悠,矢野義,517.0,-11.0,1:20.5,2.1/2,40.9,8.0,52.5,20260401-19-01
11.0,11,8,12,レッドリリー,30092401807,船橋,牝3,54.0,野澤憲,佐々清,442.0,7.0,1:21.5,5,42.3,11.0,104.5,20260401-19-01
12.0,12,2,2,カミイダイヤモンド,30045406707,船橋,牡3,56.0,仲野光,田中力,481.0,6.0,1:22.4,4,41.8,12.0,194.1,20260401-19-01
1.0,1,6,8,ゴールドトピアリー,30011404907,船橋,牝3,54.0,山口達,矢内博,466.0,-5.0,1:16.8,,39.3,4.0,8.5,20260401-19-02
2.0,2,8,12,ゴールドステージ,30097409707,船橋,牡3,56.0,岡村健,玉井等,481.0,-2.0,1:17.0,1,39.1,1.0,2.3,20260401-19-02
3.0,3,5,5,バブリーヒーロー,30026402307,船橋,牝3,54.0,町田直,矢野義,422.0,2.0,1:18.4,7,40.2,2.0,4.1,20260401-19-02
