rank,rank_raw,waku,horse_no,horse_name,horse_id,affiliation,sex_age,weight_carried,jockey,trainer,body_weight,body_weight_diff,time,margin,last3f,popularity,win_odds,race_id
1.0,1,4,4,シオン,20142509579,ばんえい,牝3,540.0,☆今井千,久田守,860.0,12.0,2:11.5,,,2.0,3.6,20260504-03-01
2.0,2,1,1,マルホンカオン,20162507379,ばんえい,牡3,560.0,☆中原蓮,小北栄,924.0,13.0,2:14.1,,,6.0,10.0,20260504-03-01
3.0,3,7,7,ホクセイノチカラ,20161501979,ばんえい,牡3,570.0,西将太,平田義,983.0,12.0,2:17.9,,,3.0,4.3,20260504-03-01
4.0,4,6,6,クマモトイヤサカ,21311505910,ばんえい,牡3,570.0,西謙一,大橋和,871.0,-1.0,2:19.9,,,1.0,3.3,20260504-03-01
5.0,5,3,3,ビックストーン,20173508079,ばんえい,牡3,560.0,☆臼杵龍,鈴木邦,857.0,17.0,2:23.5,,,7.0,15.5,20260504-03-01
6.0,6,8,8,ジュエリービーチ,20142505079,ばんえい,牡3,570.0,赤塚健,中島敏,1014.0,-23.0,2:23.5,,,5.0,9.7,20260504-03-01
7.0,7,5,5,コトミチャン,20102505579,ばんえい,牝3,550.0,金田利,村上慎,892.0,13.0,2:23.7,,,4.0,6.6,20260504-03-01
8.0,8,2,2,ジェイノベル,20131503979,ばんえい,牝3,540.0,☆大友一,松田道,862.0,-4.0,2:32.3,,,8.0,30.5,20260504-03-01
1.0,1,8,10,ハゴロモゴールド,21162507470,ばんえい,牡2,490.0,西謙一,西弘美,901.0,,1:48.1,,,8.0,23.4,20260504-03-02
2.0,2,7,8,ニシオギオリジン,21162502570,ばんえい,牡2,490.0,金田利,松田道,863.0,,1:49.3,,,2.0,3.9,20260504-03-02
3.0,3,2,2,エイコウキング,21152506870,ばんえい,牡2,490.0,菊池一,槻舘重,824.0,,1:51.4,,,1.0,2.8,20260504-03-02
4.0,4,4,4,ビエイキャノン,21172504770,ばんえい,牡2,490.0,長澤幸,服部義,862.0,,1:52.2,,,3.0,6.4,20260504-03-02
5.0,5,5,5,ドウナンテンセイ,21132507570,ばんえい,牡2,490.0,阿部武,岩本利,892.0,,1:57.8,,,7.0,15.6,20260504-03-02
6.0,6,6,6,ハイトップエース,21102503070,ばんえい,牝2,470.0,西将太,平田義,958.0,,2:02.9,,,4.0,8.9,20260504-03-02
7.0,7,1,1,レガシーブラック,21192503870,ばんえい,牡2,490.0,鈴木恵,中島敏,830.0,,2:10.6,,,5.0,9.3,20260504-03-02
