race_id,bet_type,combination,amount,popularity
20260504-03-01,win,4,360,2
20260504-03-01,place,4,130,1
20260504-03-01,place,1,310,6
20260504-03-01,place,7,160,3
20260504-03-01,quinella,1-4,1990,9
20260504-03-01,exacta,4-1,2930,13
20260504-03-01,wide,1-4,560,8
20260504-03-01,wide,4-7,330,2
20260504-03-01,wide,1-7,660,12
20260504-03-01,trio,1-4-7,3060,14
20260504-03-01,trifecta,4-1-7,16950,69
20260504-03-02,win,10,2340,8
20260504-03-02,place,10,490,8
20260504-03-02,place,8,180,3
20260504-03-02,place,2,110,1
20260504-03-02,bracket,7-8,1000,4
20260504-03-02,quinella,8-10,3400,14
20260504-03-02,exacta,10-8,8630,31
20260504-03-02,wide,8-10,880,14
20260504-03-02,wide,2-10,820,13
20260504-03-02,wide,2-8,220,1
20260504-03-02,trio,2-8-10,1850,6
20260504-03-02,trifecta,10-8-2,23870,70
20260504-03-03,win,9,520,2
20260504-03-03,place,9,130,2
20260504-03-03,place,6,120,1
20260504-03-03,place,8,300,8
20260504-03-03,bracket,6-8,620,1
20260504-03-03,quinella,6-9,750,2
20260504-03-03,exacta,9-6,2100,4
20260504-03-03,wide,6-9,350,1
20260504-03-03,wide,8-9,730,10
20260504-03-03,wide,6-8,590,6
20260504-03-03,trio,6-8-9,3140,10
20260504-03-03,trifecta,9-6-8,14810,34
20260504-03-04,win,9,290,1
20260504-03-04,place,9,110,1
20260504-03-04,place,6,230,5
20260504-03-04,place,7,160,3
20260504-03-04,bracket,6-8,1170,3
20260504-03-04,quinella,6-9,1560,6
20260504-03-04,exacta,9-6,2430,9
20260504-03-04,wide,6-9,490,5
20260504-03-04,wide,7-9,260,1
20260504-03-04,wide,6-7,630,11
20260504-03-04,trio,6-7-9,1280,2
20260504-03-04,trifecta,9-6-7,7640,16
20260504-03-05,win,2,350,1
20260504-03-05,place,2,180,2
20260504-03-05,place,6,180,1
20260504-03-05,quinella,2-6,580,2
20260504-03-05,exacta,2-6,1050,3
20260504-03-05,wide,2-6,250,3
20260504-03-05,wide,2-7,320,4
20260504-03-05,wide,6-7,330,6
20260504-03-05,trio,2-6-7,1220,4
20260504-03-05,trifecta,2-6-7,5350,13
20260504-03-06,win,8,120,1
20260504-03-06,place,8,100,1
20260504-03-06,place,10,170,2
20260504-03-06,place,1,460,8
20260504-03-06,bracket,7-8,310,1
20260504-03-06,quinella,8-10,320,1
20260504-03-06,exacta,8-10,310,1
20260504-03-06,wide,8-10,220,1
20260504-03-06,wide,1-8,800,9
20260504-03-06,wide,1-10,3430,35
20260504-03-06,trio,1-8-10,4630,16
20260504-03-06,trifecta,8-10-1,6760,17
20260504-03-07,win,6,2210,6
20260504-03-07,place,6,200,4
20260504-03-07,place,4,100,1
20260504-03-07,place,3,100,2
20260504-03-07,bracket,4-6,2650,7
20260504-03-07,quinella,4-6,1380,3
20260504-03-07,exacta,6-4,3820,11
20260504-03-07,wide,4-6,370,4
20260504-03-07,wide,3-6,410,6
20260504-03-07,wide,3-4,140,1
20260504-03-07,trio,3-4-6,500,1
20260504-03-07,trifecta,6-4-3,13990,41
20260504-03-08,win,2,370,2
20260504-03-08,place,2,150,2
20260504-03-08,place,1,240,3
20260504-03-08,quinella,1-2,870,4
20260504-03-08,exacta,2-1,1150,4
20260504-03-08,wide,1-2,200,3
20260504-03-08,wide,2-3,160,2
20260504-03-08,wide,1-3,150,1
20260504-03-08,trio,1-2-3,310,1
20260504-03-08,trifecta,2-1-3,2690,7
20260504-03-09,win,5,150,1
20260504-03-09,place,5,120,1
20260504-03-09,place,7,320,6
20260504-03-09,place,6,950,8
20260504-03-09,bracket,5-7,2310,8
20260504-03-09,quinella,5-7,1670,6
20260504-03-09,exacta,5-7,2570,8
20260504-03-09,wide,5-7,490,6
20260504-03-09,wide,5-6,880,10
20260504-03-09,wide,6-7,3360,27
20260504-03-09,trio,5-6-7,8330,25
20260504-03-09,trifecta,5-7-6,28800,83
20260504-03-10,win,7,140,1
20260504-03-10,place,7,100,1
20260504-03-10,place,8,120,2
20260504-03-10,place,3,160,4
20260504-03-10,bracket,7-8,390,2
20260504-03-10,quinella,7-8,440,2
20260504-03-10,exacta,7-8,440,1
20260504-03-10,wide,7-8,190,1
20260504-03-10,wide,3-7,200,2
20260504-03-10,wide,3-8,390,6
20260504-03-10,trio,3-7-8,700,1
20260504-03-10,trifecta,7-8-3,2080,1
20260504-03-11,win,6,260,2
20260504-03-11,place,6,120,2
20260504-03-11,place,4,120,1
20260504-03-11,place,9,170,5
20260504-03-11,bracket,4-6,610,2
20260504-03-11,quinella,4-6,510,1
20260504-03-11,exacta,6-4,1080,1
20260504-03-11,wide,4-6,210,1
20260504-03-11,wide,6-9,370,4
20260504-03-11,wide,4-9,260,2
20260504-03-11,trio,4-6-9,1090,2
20260504-03-11,trifecta,6-4-9,4470,5
20260504-03-12,win,6,480,2
20260504-03-12,place,6,130,2
20260504-03-12,place,3,100,1
20260504-03-12,place,4,220,6
20260504-03-12,bracket,3-6,240,1
20260504-03-12,quinella,3-6,250,1
20260504-03-12,exacta,6-3,680,3
20260504-03-12,wide,3-6,160,1
20260504-03-12,wide,4-6,1020,15
20260504-03-12,wide,3-4,440,6
20260504-03-12,trio,3-4-6,1700,5
20260504-03-12,trifecta,6-3-4,7240,21
20260504-10-01,win,1,320,2
20260504-10-01,place,1,210,3
20260504-10-01,place,3,250,4
20260504-10-01,quinella,1-3,500,2
20260504-10-01,exacta,1-3,830,3
20260504-10-01,wide,1-3,230,3
20260504-10-01,wide,1-4,190,2
20260504-10-01,wide,3-4,260,6
20260504-10-01,trio,1-3-4,490,3
20260504-10-01,trifecta,1-3-4,1920,7
20260504-10-02,win,11,830,4
20260504-10-02,place,11,260,5
20260504-10-02,place,6,130,1
20260504-10-02,place,1,340,7
20260504-10-02,bracket,6-8,560,2
20260504-10-02,quinella,6-11,1170,3
20260504-10-02,exacta,11-6,3840,14
20260504-10-02,wide,6-11,580,6
20260504-10-02,wide,1-11,1870,24
20260504-10-02,wide,1-6,840,10
20260504-10-02,trio,1-6-11,4870,19
20260504-10-02,trifecta,11-6-1,23770,80
20260504-10-03,win,11,110,1
20260504-10-03,place,11,100,1
20260504-10-03,place,2,460,8
20260504-10-03,place,10,160,2
20260504-10-03,bracket,2-8,1540,6
20260504-10-03,quinella,2-11,1850,6
20260504-10-03,exacta,11-2,2670,9
20260504-10-03,wide,2-11,860,10
20260504-10-03,wide,10-11,270,3
20260504-10-03,wide,2-10,2200,19
20260504-10-03,trio,2-10-11,2340,8
20260504-10-03,trifecta,11-2-10,8920,30
20260504-10-04,win,4,780,3
20260504-10-04,place,4,240,4
20260504-10-04,place,12,130,1
20260504-10-04,place,2,500,8
20260504-10-04,bracket,4-8,810,3
20260504-10-04,quinella,4-12,1030,3
20260504-10-04,exacta,4-12,2430,6
20260504-10-04,wide,4-12,370,3
20260504-10-04,wide,2-4,2020,25
20260504-10-04,wide,2-12,1130,15
20260504-10-04,trio,2-4-12,5650,18
20260504-10-04,trifecta,4-12-2,41630,140
20260504-10-05,win,3,220,1
20260504-10-05,place,3,110,1
20260504-10-05,place,2,170,5
20260504-10-05,place,1,130,2
20260504-10-05,bracket,2-3,650,3
20260504-10-05,quinella,2-3,590,2
20260504-10-05,exacta,3-2,820,2
20260504-10-05,wide,2-3,260,3
20260504-10-05,wide,1-3,220,2
20260504-10-05,wide,1-2,530,8
20260504-10-05,trio,1-2-3,730,1
20260504-10-05,trifecta,3-2-1,2340,3
20260504-10-06,win,5,890,6
20260504-10-06,place,5,280,6
20260504-10-06,place,10,160,1
20260504-10-06,place,6,320,7
20260504-10-06,bracket,5-7,600,1
20260504-10-06,quinella,5-10,1630,4
20260504-10-06,exacta,5-10,3280,6
20260504-10-06,wide,5-10,520,4
20260504-10-06,wide,5-6,1290,20
20260504-10-06,wide,6-10,1010,12
20260504-10-06,trio,5-6-10,5130,18
20260504-10-06,trifecta,5-10-6,30080,97
20260504-10-07,win,2,300,2
20260504-10-07,place,2,170,2
20260504-10-07,place,11,470,8
20260504-10-07,place,6,4460,12
20260504-10-07,bracket,2-8,1540,5
20260504-10-07,quinella,2-11,5170,19
20260504-10-07,exacta,2-11,9320,34
20260504-10-07,wide,2-11,1630,17
20260504-10-07,wide,2-6,11650,57
20260504-10-07,wide,6-11,34590,64
20260504-10-07,trio,2-6-11,190810,191
20260504-10-07,trifecta,2-11-6,417380,783
20260504-10-08,win,8,2610,5
20260504-10-08,place,8,410,5
20260504-10-08,place,9,120,1
20260504-10-08,place,3,700,7
20260504-10-08,bracket,7-8,280,1
20260504-10-08,quinella,8-9,1120,4
20260504-10-08,exacta,8-9,7350,17
20260504-10-08,wide,8-9,450,4
20260504-10-08,wide,3-8,3940,26
20260504-10-08,wide,3-9,780,9
20260504-10-08,trio,3-8-9,5440,20
20260504-10-08,trifecta,8-9-3,94360,165
20260504-10-09,win,2,210,1
20260504-10-09,place,2,100,1
20260504-10-09,place,12,110,2
20260504-10-09,place,6,290,4
20260504-10-09,bracket,2-8,140,1
20260504-10-09,quinella,2-12,200,1
20260504-10-09,exacta,2-12,460,2
20260504-10-09,wide,2-12,150,1
20260504-10-09,wide,2-6,480,4
20260504-10-09,wide,6-12,580,7
20260504-10-09,trio,2-6-12,840,2
20260504-10-09,trifecta,2-12-6,2590,3
20260504-10-10,win,2,1000,4
20260504-10-10,place,2,260,4
20260504-10-10,place,4,300,5
20260504-10-10,place,1,150,2
20260504-10-10,bracket,2-4,3940,14
20260504-10-10,quinella,2-4,3780,14
20260504-10-10,exacta,2-4,7010,23
20260504-10-10,wide,2-4,1140,17
20260504-10-10,wide,1-2,450,4
20260504-10-10,wide,1-4,560,5
20260504-10-10,trio,1-2-4,1990,6
20260504-10-10,trifecta,2-4-1,21370,79
20260504-10-11,win,6,580,2
20260504-10-11,place,6,220,2
20260504-10-11,place,7,270,4
20260504-10-11,place,1,240,3
20260504-10-11,bracket,6-6,1560,5
20260504-10-11,quinella,6-7,1750,5
20260504-10-11,exacta,6-7,3510,10
20260504-10-11,wide,6-7,400,4
20260504-10-11,wide,1-6,530,6
20260504-10-11,wide,1-7,790,9
20260504-10-11,trio,1-6-7,2720,10
20260504-10-11,trifecta,6-7-1,18900,57
