race_id,bet_type,votes,returned_votes
20260801-31-01,win,22703,0
20260801-31-01,bracket_exacta,0,0
20260801-31-01,wide,21002,0
20260801-31-01,place,16523,0
20260801-31-01,quinella,16389,0
20260801-31-01,trio,43577,0
20260801-31-01,bracket,2906,0
20260801-31-01,exacta,15983,0
20260801-31-01,trifecta,99906,0
20260801-31-02,win,24170,0
20260801-31-02,bracket_exacta,0,0
20260801-31-02,wide,21355,0
20260801-31-02,place,21339,0
20260801-31-02,quinella,14939,0
20260801-31-02,trio,36638,0
20260801-31-02,bracket,3005,0
20260801-31-02,exacta,18140,0
20260801-31-02,trifecta,111566,0
20260801-31-03,win,42439,0
20260801-31-03,bracket_exacta,0,0
20260801-31-03,wide,38218,0
20260801-31-03,place,28229,0
20260801-31-03,quinella,27052,0
20260801-31-03,trio,67052,0
20260801-31-03,bracket,4321,0
20260801-31-03,exacta,25828,0
20260801-31-03,trifecta,142550,0
20260801-31-04,win,57264,0
20260801-31-04,bracket_exacta,0,0
20260801-31-04,wide,43911,0
20260801-31-04,place,27215,0
20260801-31-04,quinella,29025,0
20260801-31-04,trio,66592,0
20260801-31-04,bracket,4343,0
20260801-31-04,exacta,33046,0
20260801-31-04,trifecta,178661,0
20260801-31-05,win,45750,0
20260801-31-05,bracket_exacta,0,0
20260801-31-05,wide,36606,0
20260801-31-05,place,22471,0
20260801-31-05,quinella,28734,0
20260801-31-05,trio,67530,0
20260801-31-05,bracket,4375,0
20260801-31-05,exacta,26049,0
20260801-31-05,trifecta,134873,0
20260801-31-06,win,48342,0
20260801-31-06,bracket_exacta,0,0
20260801-31-06,wide,44876,0
20260801-31-06,place,25127,0
20260801-31-06,quinella,29823,0
20260801-31-06,trio,78823,0
20260801-31-06,bracket,4192,0
20260801-31-06,exacta,28660,0
20260801-31-06,trifecta,154830,0
20260801-31-07,win,61471,0
20260801-31-07,bracket_exacta,0,0
20260801-31-07,wide,64372,0
20260801-31-07,place,44099,0
20260801-31-07,quinella,48211,0
20260801-31-07,trio,109128,0
20260801-31-07,bracket,7028,0
20260801-31-07,exacta,41749,0
20260801-31-07,trifecta,285415,0
20260801-31-08,win,125720,0
20260801-31-08,bracket_exacta,0,0
20260801-31-08,wide,145690,0
20260801-31-08,place,83289,0
20260801-31-08,quinella,96192,0
20260801-31-08,trio,232452,0
20260801-31-08,bracket,17472,0
20260801-31-08,exacta,91352,0
20260801-31-08,trifecta,567867,0
20260801-31-09,win,74112,0
20260801-31-09,bracket_exacta,0,0
20260801-31-09,wide,88298,0
20260801-31-09,place,60497,0
20260801-31-09,quinella,63769,0
20260801-31-09,trio,138770,0
20260801-31-09,bracket,9315,0
20260801-31-09,exacta,40120,0
20260801-31-09,trifecta,225303,0
20260801-31-10,win,92026,0
20260801-31-10,bracket_exacta,0,0
20260801-31-10,wide,105461,0
20260801-31-10,place,62113,0
20260801-31-10,quinella,71364,0
20260801-31-10,trio,188957,0
20260801-31-10,bracket,9337,0
20260801-31-10,exacta,58487,0
20260801-31-10,trifecta,350437,0
20260801-31-11,win,142234,0
20260801-31-11,bracket_exacta,0,0
20260801-31-11,wide,282191,0
20260801-31-11,place,126460,0
20260801-31-11,quinella,249414,0
20260801-31-11,trio,945182,0
20260801-31-11,bracket,27218,0
20260801-31-11,exacta,130442,0
20260801-31-11,trifecta,1460712,0
20260801-03-01,win,18026,0
20260801-03-01,bracket_exacta,0,0
20260801-03-01,wide,15688,0
20260801-03-01,place,10869,0
20260801-03-01,quinella,11654,0
20260801-03-01,trio,28139,0
20260801-03-01,bracket,2249,0
20260801-03-01,exacta,15735,0
20260801-03-01,trifecta,75695,0
20260801-03-02,win,12549,0
20260801-03-02,bracket_exacta,0,0
20260801-03-02,wide,15678,0
20260801-03-02,place,8941,0
20260801-03-02,quinella,11158,0
20260801-03-02,trio,27155,0
20260801-03-02,bracket,2567,0
20260801-03-02,exacta,12867,0
20260801-03-02,trifecta,67051,0
20260801-03-03,win,11532,0
20260801-03-03,bracket_exacta,0,0
20260801-03-03,wide,13180,0
20260801-03-03,place,12183,0
20260801-03-03,quinella,12385,0
20260801-03-03,trio,29585,0
20260801-03-03,bracket,2717,0
20260801-03-03,exacta,13358,0
20260801-03-03,trifecta,74485,0
20260801-03-04,win,13493,0
20260801-03-04,bracket_exacta,0,0
20260801-03-04,wide,13651,0
20260801-03-04,place,9616,0
20260801-03-04,quinella,12917,0
20260801-03-04,trio,30905,0
20260801-03-04,bracket,3174,0
20260801-03-04,exacta,10641,0
20260801-03-04,trifecta,70299,0
20260801-03-05,win,21907,0
20260801-03-05,bracket_exacta,0,0
20260801-03-05,wide,19724,0
20260801-03-05,place,13287,0
20260801-03-05,quinella,17518,0
20260801-03-05,trio,45250,0
20260801-03-05,bracket,5312,0
20260801-03-05,exacta,18540,0
20260801-03-05,trifecta,103923,0
20260801-03-06,win,18058,0
20260801-03-06,bracket_exacta,0,0
20260801-03-06,wide,20526,0
20260801-03-06,place,12745,0
20260801-03-06,quinella,18805,0
20260801-03-06,trio,51568,0
20260801-03-06,bracket,3478,0
20260801-03-06,exacta,19918,0
