race_id,bet_type,combination,amount,popularity
20260801-03-01,win,4,170,1
20260801-03-01,place,4,110,1
20260801-03-01,place,1,210,4
20260801-03-01,place,5,160,3
20260801-03-01,bracket,1-4,910,2
20260801-03-01,quinella,1-4,1060,4
20260801-03-01,exacta,4-1,1340,3
20260801-03-01,wide,1-4,300,3
20260801-03-01,wide,4-5,200,2
20260801-03-01,wide,1-5,830,13
20260801-03-01,trio,1-4-5,2090,7
20260801-03-01,trifecta,4-1-5,7930,23
20260801-03-02,win,6,270,1
20260801-03-02,place,6,120,1
20260801-03-02,place,8,380,9
20260801-03-02,place,3,150,2
20260801-03-02,bracket,6-7,2460,12
20260801-03-02,quinella,6-8,7890,28
20260801-03-02,exacta,6-8,8170,32
20260801-03-02,wide,6-8,2370,26
20260801-03-02,wide,3-6,390,4
20260801-03-02,wide,3-8,2560,28
20260801-03-02,trio,3-6-8,7230,31
20260801-03-02,trifecta,6-8-3,43010,153
20260801-03-03,win,2,1020,6
20260801-03-03,place,2,350,6
20260801-03-03,place,4,270,2
20260801-03-03,place,9,300,3
20260801-03-03,bracket,2-4,1920,9
20260801-03-03,quinella,2-4,2060,9
20260801-03-03,exacta,2-4,2980,10
20260801-03-03,wide,2-4,690,7
20260801-03-03,wide,2-9,780,11
20260801-03-03,wide,4-9,630,6
20260801-03-03,trio,2-4-9,4250,18
20260801-03-03,trifecta,2-4-9,22310,74
20260801-03-04,win,5,1050,6
20260801-03-04,place,5,470,8
20260801-03-04,place,6,260,4
20260801-03-04,place,1,280,5
20260801-03-04,bracket,5-6,2010,11
20260801-03-04,quinella,5-6,3050,16
20260801-03-04,exacta,5-6,6820,33
20260801-03-04,wide,5-6,1120,16
20260801-03-04,wide,1-5,1380,21
20260801-03-04,wide,1-6,990,12
20260801-03-04,trio,1-5-6,9530,45
20260801-03-04,trifecta,5-6-1,59960,251
20260801-03-05,win,3,270,1
20260801-03-05,place,3,120,2
20260801-03-05,place,10,130,3
20260801-03-05,place,5,110,1
20260801-03-05,bracket,3-8,940,3
20260801-03-05,quinella,3-10,1010,3
20260801-03-05,exacta,3-10,1470,4
20260801-03-05,wide,3-10,370,4
20260801-03-05,wide,3-5,230,1
20260801-03-05,wide,5-10,250,2
20260801-03-05,trio,3-5-10,970,1
20260801-03-05,trifecta,3-10-5,5960,8
20260801-03-06,win,1,900,5
20260801-03-06,place,1,230,4
20260801-03-06,place,4,230,5
20260801-03-06,place,8,180,2
20260801-03-06,bracket,1-4,3180,16
20260801-03-06,quinella,1-4,2560,11
20260801-03-06,exacta,1-4,4800,22
20260801-03-06,wide,1-4,1200,20
20260801-03-06,wide,1-8,600,7
20260801-03-06,wide,4-8,990,16
20260801-03-06,trio,1-4-8,5740,22
20260801-03-06,trifecta,1-4-8,35660,137
20260801-03-07,win,8,960,3
20260801-03-07,place,8,160,2
20260801-03-07,place,9,100,1
20260801-03-07,place,7,180,4
20260801-03-07,bracket,8-8,410,2
20260801-03-07,quinella,8-9,410,1
20260801-03-07,exacta,8-9,1670,7
20260801-03-07,wide,8-9,210,1
20260801-03-07,wide,7-8,690,8
20260801-03-07,wide,7-9,350,4
20260801-03-07,trio,7-8-9,1010,2
20260801-03-07,trifecta,8-9-7,8430,31
20260801-03-08,win,2,180,1
20260801-03-08,place,2,120,1
20260801-03-08,place,6,200,4
20260801-03-08,place,3,150,3
20260801-03-08,bracket,2-6,640,3
20260801-03-08,quinella,2-6,580,3
20260801-03-08,exacta,2-6,950,3
20260801-03-08,wide,2-6,220,2
20260801-03-08,wide,2-3,270,3
20260801-03-08,wide,3-6,590,10
20260801-03-08,trio,2-3-6,860,2
20260801-03-08,trifecta,2-6-3,3440,6
20260801-03-09,win,7,330,2
20260801-03-09,place,7,150,3
20260801-03-09,place,8,160,4
20260801-03-09,place,5,120,1
20260801-03-09,bracket,7-7,1090,4
20260801-03-09,quinella,7-8,970,4
20260801-03-09,exacta,7-8,1660,5
20260801-03-09,wide,7-8,450,5
20260801-03-09,wide,5-7,260,2
20260801-03-09,wide,5-8,290,3
20260801-03-09,trio,5-7-8,1260,2
20260801-03-09,trifecta,7-8-5,6300,8
20260801-03-10,win,4,270,2
20260801-03-10,place,4,150,2
20260801-03-10,place,1,260,3
20260801-03-10,place,6,390,8
20260801-03-10,bracket,1-4,1520,6
20260801-03-10,quinella,1-4,1440,4
20260801-03-10,exacta,4-1,2530,9
20260801-03-10,wide,1-4,370,2
20260801-03-10,wide,4-6,1360,15
20260801-03-10,wide,1-6,6280,40
20260801-03-10,trio,1-4-6,12340,45
20260801-03-10,trifecta,4-1-6,61100,217
20260801-03-11,win,10,130,1
