rank,rank_raw,waku,horse_no,horse_name,horse_id,affiliation,sex_age,weight_carried,jockey,trainer,body_weight,body_weight_diff,time,margin,last3f,popularity,win_odds,race_id
1.0,1,4,4,ベリーグッドマン,20172505279,ばんえい,牡3,600.0,大友一,谷あゆ,899.0,6.0,1:56.5,,,1.0,1.7,20260801-03-01
2.0,2,1,1,ブラックシンバ,20101507979,ばんえい,牡3,600.0,船山蔵,鈴木邦,915.0,-4.0,2:06.2,,,4.0,8.9,20260801-03-01
3.0,3,5,5,キンスピード,20152503279,ばんえい,牡3,600.0,松本秀,田上忠,859.0,-7.0,2:09.4,,,3.0,8.9,20260801-03-01
4.0,4,8,8,イワキミハル,20132501879,ばんえい,牝3,580.0,中村太,小林長,924.0,-14.0,2:18.9,,,7.0,23.8,20260801-03-01
5.0,5,6,6,マオ,20112506479,ばんえい,牝3,570.0,☆今井千,鈴木邦,1029.0,-6.0,2:20.7,,,2.0,4.0,20260801-03-01
6.0,6,7,7,サクラセイリュウ,20152508079,ばんえい,牝3,580.0,菊池一,小林長,1018.0,1.0,2:29.5,,,5.0,11.3,20260801-03-01
7.0,7,8,9,トラボタン,20172509279,ばんえい,牡3,600.0,長澤幸,服部義,872.0,0.0,2:32.2,,,8.0,39.9,20260801-03-01
8.0,8,2,2,ハゴロモコスモス,20102500179,ばんえい,牡3,600.0,西将太,大友人,963.0,2.0,2:39.0,,,6.0,20.8,20260801-03-01
,取消,3,3,ソウイチロウ,20122509879,ばんえい,牡3,600.0,金田利,服部義,,,,,,,,20260801-03-01
1.0,1,6,6,ガッツデー,21122503070,ばんえい,牡2,500.0,鈴木恵,松田道,780.0,-2.0,1:46.1,,,1.0,2.7,20260801-03-02
2.0,2,7,8,キョウエイブラック,21162504870,ばんえい,牡2,500.0,菊池一,村上慎,790.0,15.0,1:52.7,,,9.0,23.8,20260801-03-02
3.0,3,3,3,モエタカハート,21162506070,ばんえい,牝2,470.0,☆今井千,久田守,765.0,3.0,1:58.2,,,2.0,4.9,20260801-03-02
4.0,4,2,2,ツナガルキズナ,21152500170,ばんえい,牝2,480.0,金田利,西邑春,923.0,24.0,1:59.6,,,5.0,9.1,20260801-03-02
5.0,5,4,4,アアモンドタイガー,21172507170,ばんえい,牝2,480.0,渡来心,村上慎,902.0,9.0,2:02.8,,,4.0,7.8,20260801-03-02
6.0,6,7,7,コウバイヒメ,21132504870,ばんえい,牝2,480.0,長澤幸,服部義,766.0,6.0,2:02.9,,,8.0,19.3,20260801-03-02
