rank,rank_raw,waku,horse_no,horse_name,horse_id,affiliation,sex_age,weight_carried,jockey,trainer,body_weight,body_weight_diff,time,margin,last3f,popularity,win_odds,race_id
1.0,1,7,7,グローリースター,20172509879,ばんえい,牡3,570.0,渡来心,今井茂,934.0,,2:06.4,,,9.0,24.9,20260502-03-01
2.0,2,8,9,サッコノオトウト,20111507979,ばんえい,牡3,570.0,船山蔵,鈴木邦,909.0,,2:07.3,,,4.0,9.5,20260502-03-01
3.0,3,5,5,テツオ,20162507279,ばんえい,牡3,560.0,☆今井千,藤野俊,944.0,-3.0,2:10.7,,,1.0,2.0,20260502-03-01
4.0,4,2,2,ジェイレディ,20141508979,ばんえい,牝3,540.0,☆阿部優,松井浩,902.0,2.0,2:11.6,,,7.0,13.4,20260502-03-01
5.0,5,1,1,ツガルノキンヒメ,20192501079,ばんえい,牝3,540.0,☆中原蓮,今井茂,974.0,11.0,2:15.9,,,8.0,14.3,20260502-03-01
6.0,6,6,6,イワキハルヒメ,20132501779,ばんえい,牝3,550.0,赤塚健,大河和,894.0,-8.0,2:25.4,,,2.0,5.4,20260502-03-01
7.0,7,3,3,マツノゴウリキ,20122501179,ばんえい,牝3,550.0,長澤幸,小北栄,837.0,15.0,2:28.1,,,5.0,11.4,20260502-03-01
8.0,8,4,4,ヒメトラダイア,20142500079,ばんえい,牝3,550.0,西謙一,大友人,949.0,,2:37.3,,,3.0,8.3,20260502-03-01
9.0,9,8,8,サクラセイリュウ,20152508079,ばんえい,牝3,550.0,中村太,小林長,976.0,-16.0,2:53.0,,,6.0,12.8,20260502-03-01
1.0,1,1,1,サカノオオオク,20102502578,ばんえい,牝4,550.0,船山蔵,田上忠,989.0,35.0,2:09.1,,,9.0,30.1,20260502-03-02
2.0,2,7,7,フェアリーマーチ,20142500479,ばんえい,牝3,550.0,阿部武,坂本東,915.0,-1.0,2:12.4,,,2.0,4.4,20260502-03-02
3.0,3,8,8,ジェイワンダー,20102509979,ばんえい,牡3,560.0,☆大友一,松田道,966.0,6.0,2:13.9,,,5.0,6.1,20260502-03-02
4.0,4,3,3,ダイコウシン,20101506979,ばんえい,牡3,570.0,西将太,鈴木邦,934.0,6.0,2:21.6,,,3.0,5.7,20260502-03-02
5.0,5,8,9,カイロルーラー,20142502079,ばんえい,牝3,550.0,西謙一,西弘美,881.0,-3.0,2:24.4,,,1.0,3.7,20260502-03-02
6.0,6,6,6,ツガルファイター,20142502479,ばんえい,牝3,550.0,赤塚健,久田守,894.0,11.0,2:25.5,,,6.0,11.9,20260502-03-02
7.0,7,4,4,ガオノチカラ,20171502979,ばんえい,牡3,570.0,長澤幸,小北栄,976.0,13.0,2:26.3,,,4.0,5.8,20260502-03-02
8.0,8,5,5,ハートエース,20152500479,ばんえい,牡3,570.0,島津新,岩本利,972.0,12.0,2:33.9,,,8.0,19.2,20260502-03-02
9.0,9,2,2,ホクセイジュリア,20122503179,ばんえい,牝3,550.0,中村太,今井茂,936.0,3.0,2:41.8,,,7.0,12.7,20260502-03-02
