race_id,bet_type,combination,amount,popularity
20260407-11-01,win,6,1030,4
20260407-11-01,place,6,240,5
20260407-11-01,place,2,170,2
20260407-11-01,place,1,370,7
20260407-11-01,quinella,2-6,1060,4
20260407-11-01,exacta,6-2,3370,15
20260407-11-01,wide,2-6,520,6
20260407-11-01,wide,1-6,1560,17
20260407-11-01,wide,1-2,1220,14
20260407-11-01,trio,1-2-6,4270,16
20260407-11-01,trifecta,6-2-1,19170,78
20260407-11-02,win,1,420,2
20260407-11-02,place,1,150,3
20260407-11-02,place,9,170,4
20260407-11-02,place,8,120,1
20260407-11-02,bracket,1-8,420,2
20260407-11-02,quinella,1-9,3240,12
20260407-11-02,exacta,1-9,4550,16
20260407-11-02,wide,1-9,610,10
20260407-11-02,wide,1-8,190,1
20260407-11-02,wide,8-9,270,3
20260407-11-02,trio,1-8-9,1160,5
20260407-11-02,trifecta,1-9-8,13050,44
20260407-11-03,win,10,1070,3
20260407-11-03,place,10,170,4
20260407-11-03,place,3,110,1
20260407-11-03,place,7,110,2
20260407-11-03,bracket,3-8,390,2
20260407-11-03,quinella,3-10,610,2
20260407-11-03,exacta,10-3,2880,8
20260407-11-03,wide,3-10,250,2
20260407-11-03,wide,7-10,460,8
20260407-11-03,wide,3-7,180,1
20260407-11-03,trio,3-7-10,1050,2
20260407-11-03,trifecta,10-3-7,10450,33
20260407-11-04,win,3,130,1
20260407-11-04,place,3,100,1
20260407-11-04,place,1,130,2
20260407-11-04,place,8,350,7
20260407-11-04,bracket,1-3,520,3
20260407-11-04,quinella,1-3,350,1
20260407-11-04,exacta,3-1,400,1
20260407-11-04,wide,1-3,150,1
20260407-11-04,wide,3-8,410,5
20260407-11-04,wide,1-8,1310,14
20260407-11-04,trio,1-3-8,1620,5
20260407-11-04,trifecta,3-1-8,3820,11
20260407-11-05,win,4,420,3
20260407-11-05,place,4,110,2
20260407-11-05,place,6,120,3
20260407-11-05,place,9,110,1
20260407-11-05,bracket,4-6,610,2
20260407-11-05,quinella,4-6,790,3
20260407-11-05,exacta,4-6,1820,8
20260407-11-05,wide,4-6,230,2
20260407-11-05,wide,4-9,180,1
20260407-11-05,wide,6-9,230,3
20260407-11-05,trio,4-6-9,620,1
20260407-11-05,trifecta,4-6-9,3950,8
20260407-11-06,win,6,550,2
20260407-11-06,place,6,140,3
20260407-11-06,place,5,100,1
20260407-11-06,place,3,210,5
20260407-11-06,bracket,5-6,440,2
20260407-11-06,quinella,5-6,340,1
20260407-11-06,exacta,6-5,1120,4
20260407-11-06,wide,5-6,140,1
20260407-11-06,wide,3-6,800,11
20260407-11-06,wide,3-5,380,5
20260407-11-06,trio,3-5-6,1150,5
20260407-11-06,trifecta,6-5-3,9080,27
20260407-11-07,win,3,120,1
20260407-11-07,place,3,100,1
20260407-11-07,place,4,170,3
20260407-11-07,place,11,290,5
20260407-11-07,bracket,3-4,270,1
20260407-11-07,quinella,3-4,290,1
20260407-11-07,exacta,3-4,360,1
20260407-11-07,wide,3-4,190,1
20260407-11-07,wide,3-11,470,7
20260407-11-07,wide,4-11,1500,15
20260407-11-07,trio,3-4-11,1880,7
20260407-11-07,trifecta,3-4-11,3530,9
20260407-11-08,win,10,280,1
20260407-11-08,place,10,170,2
20260407-11-08,place,6,200,4
20260407-11-08,place,9,220,5
20260407-11-08,bracket,6-8,600,1
20260407-11-08,quinella,6-10,830,2
20260407-11-08,exacta,10-6,1640,3
20260407-11-08,wide,6-10,420,3
20260407-11-08,wide,9-10,420,2
20260407-11-08,wide,6-9,510,6
20260407-11-08,trio,6-9-10,1380,1
20260407-11-08,trifecta,10-6-9,5290,2
20260407-11-09,win,8,420,4
20260407-11-09,place,8,140,4
20260407-11-09,place,10,100,1
20260407-11-09,place,4,120,2
20260407-11-09,bracket,7-8,630,2
20260407-11-09,quinella,8-10,790,4
20260407-11-09,exacta,8-10,1980,9
20260407-11-09,wide,8-10,230,2
20260407-11-09,wide,4-8,330,4
20260407-11-09,wide,4-10,350,5
20260407-11-09,trio,4-8-10,900,4
20260407-11-09,trifecta,8-10-4,7150,22
20260407-11-10,win,7,120,1
20260407-11-10,place,7,100,1
20260407-11-10,place,2,220,4
20260407-11-10,place,6,290,6
20260407-11-10,bracket,2-6,790,5
20260407-11-10,quinella,2-7,620,4
20260407-11-10,exacta,7-2,860,4
20260407-11-10,wide,2-7,320,3
20260407-11-10,wide,6-7,300,2
20260407-11-10,wide,2-6,1400,16
20260407-11-10,trio,2-6-7,1430,6
20260407-11-10,trifecta,7-2-6,3790,12
20260407-11-11,win,1,910,3
20260407-11-11,place,1,260,5
20260407-11-11,place,6,570,8
20260407-11-11,place,8,230,3
20260407-11-11,bracket,1-6,10720,23
20260407-11-11,quinella,1-6,9560,28
20260407-11-11,exacta,1-6,23480,60
20260407-11-11,wide,1-6,2910,32
20260407-11-11,wide,1-8,960,12
20260407-11-11,wide,6-8,2580,29
20260407-11-11,trio,1-6-8,19440,64
20260407-11-11,trifecta,1-6-8,122910,367
20260407-11-12,win,1,2230,8
20260407-11-12,place,1,310,4
20260407-11-12,place,9,110,1
20260407-11-12,place,6,350,6
20260407-11-12,bracket,1-7,870,3
20260407-11-12,quinella,1-9,3410,12
20260407-11-12,exacta,1-9,10530,32
20260407-11-12,wide,1-9,970,10
20260407-11-12,wide,1-6,2880,28
20260407-11-12,wide,6-9,620,3
20260407-11-12,trio,1-6-9,6830,20
20260407-11-12,trifecta,1-9-6,71510,188
20260407-21-01,win,8,240,1
20260407-21-01,place,8,120,1
20260407-21-01,place,4,140,2
20260407-21-01,place,7,650,8
20260407-21-01,bracket,4-6,380,1
20260407-21-01,quinella,4-8,330,1
20260407-21-01,bracket_exacta,6-4,650,1
20260407-21-01,exacta,8-4,720,2
20260407-21-01,wide,4-8,170,1
20260407-21-01,wide,7-8,2190,25
20260407-21-01,wide,4-7,2470,28
20260407-21-01,trio,4-7-8,6080,22
20260407-21-01,trifecta,8-4-7,18150,56
20260407-21-02,win,6,390,3
20260407-21-02,place,6,150,2
20260407-21-02,place,2,260,5
20260407-21-02,place,4,240,4
20260407-21-02,bracket,2-5,1490,7
20260407-21-02,quinella,2-6,1240,5
20260407-21-02,bracket_exacta,5-2,2710,13
20260407-21-02,exacta,6-2,2550,8
20260407-21-02,wide,2-6,500,5
20260407-21-02,wide,4-6,670,9
20260407-21-02,wide,2-4,1150,14
20260407-21-02,trio,2-4-6,4110,15
20260407-21-02,trifecta,6-2-4,21850,71
20260407-21-03,win,1,180,1
20260407-21-03,place,1,100,1
20260407-21-03,place,8,110,2
20260407-21-03,place,5,210,4
20260407-21-03,bracket,1-6,220,1
20260407-21-03,quinella,1-8,290,1
20260407-21-03,bracket_exacta,1-6,390,1
20260407-21-03,exacta,1-8,490,1
20260407-21-03,wide,1-8,180,1
20260407-21-03,wide,1-5,480,6
20260407-21-03,wide,5-8,380,4
20260407-21-03,trio,1-5-8,930,2
