race_id,date,baba_code,baba_name,race_no,title,surface,distance,weather,going
20260404-31-01,2026-04-04,31,佐賀,1,Ｃ３－６,ダート,1300,雨,不良
20260404-31-02,2026-04-04,31,佐賀,2,Ｃ３－５,ダート,1300,雨,不良
20260404-31-03,2026-04-04,31,佐賀,3,Ｃ３－４,ダート,1300,雨,不良
20260404-32-01,2026-04-04,32,佐賀,1,パッカルくんのおとしもの賞３歳－４組,ダート,1400,曇,不良
20260404-32-02,2026-04-04,32,佐賀,2,３歳－３組,ダート,1400,曇,不良
20260404-32-03,2026-04-04,32,佐賀,3,Ｃ２－１７組,ダート,1400,曇,不良
20260404-32-04,2026-04-04,32,佐賀,4,チューリップ特別Ｂ,ダート,1400,曇,不良
20260404-32-05,2026-04-04,32,佐賀,5,Ｃ２－１６組,ダート,1300,小雨,不良
20260404-32-06,2026-04-04,32,佐賀,6,Ｃ２－１５組,ダート,1300,小雨,不良
20260404-32-07,2026-04-04,32,佐賀,7,Ｃ１－４組,ダート,1400,小雨,不良
20260404-32-08,2026-04-04,32,佐賀,8,幸せの日賞Ｃ１－３組,ダート,1400,小雨,不良
20260404-32-09,2026-04-04,32,佐賀,9,サガデーナイト競馬賞Ａ２・Ｂ,ダート,1400,曇,不良
20260404-32-10,2026-04-04,32,佐賀,10,エイプリル特選Ｃ１,ダート,1750,曇,不良
20260404-32-11,2026-04-04,32,佐賀,11,ＳＡＧＡリベンジャーズドリームＣ２－１９組,ダート,1400,曇,不良
