rank,rank_raw,waku,horse_no,horse_name,horse_id,affiliation,sex_age,weight_carried,jockey,trainer,body_weight,body_weight_diff,time,margin,last3f,popularity,win_odds,race_id
1.0,1,3,3,アサヒファイヤー,20132507279,ばんえい,牡3,570.0,渡来心,金山明,998.0,20.0,2:07.1,,,2.0,4.0,20260503-03-01
2.0,2,8,8,キタサカエシンバ,20181504879,ばんえい,牡3,560.0,☆今井千,今井茂,1020.0,,2:07.7,,,1.0,2.7,20260503-03-01
3.0,3,6,6,ホクセイミハル,20141502978,ばんえい,牝4,540.0,☆臼杵龍,長部幸,928.0,-4.0,2:10.8,,,5.0,10.4,20260503-03-01
4.0,4,8,9,マルホンポナ,20152505078,ばんえい,牝4,550.0,赤塚健,小北栄,958.0,29.0,2:12.1,,,8.0,16.0,20260503-03-01
5.0,5,5,5,アサヒパレス,20173506079,ばんえい,牡3,560.0,☆中原蓮,今井茂,986.0,9.0,2:14.6,,,3.0,5.8,20260503-03-01
6.0,6,4,4,ツナノタチヤマ,20132507578,ばんえい,セン4,570.0,島津新,林　豊,931.0,-8.0,2:23.8,,,4.0,9.0,20260503-03-01
7.0,7,1,1,ハゴロモグレース,20152508478,ばんえい,牝4,550.0,西謙一,西邑春,1011.0,-13.0,2:31.5,,,7.0,14.0,20260503-03-01
8.0,8,7,7,ジェイアンナ,20171506978,ばんえい,牝4,550.0,村上章,今井茂,915.0,,2:32.9,,,9.0,16.4,20260503-03-01
9.0,9,2,2,シレトコセンプー,20132509778,ばんえい,牡4,570.0,中村太,小林長,1024.0,,2:50.2,,,6.0,13.8,20260503-03-01
1.0,1,7,8,センショウロック,20142506578,ばんえい,牡4,570.0,赤塚健,岩本利,894.0,14.0,2:00.8,,,2.0,4.8,20260503-03-02
2.0,2,1,1,キタサカエクオン,20112509179,ばんえい,牡3,570.0,渡来心,金山明,1035.0,,2:05.0,,,1.0,2.3,20260503-03-02
3.0,3,8,10,ヤマノシテンノウ,20171505979,ばんえい,牡3,560.0,☆吉田理,久田守,910.0,3.0,2:07.7,,,3.0,5.2,20260503-03-02
4.0,4,6,6,トウマオー,20112504079,ばんえい,牡3,570.0,菊池一,大河和,927.0,-4.0,2:18.0,,,8.0,25.9,20260503-03-02
5.0,5,4,4,ホクセイセンショー,20132502179,ばんえい,牡3,570.0,金田利,岩本利,997.0,14.0,2:19.3,,,6.0,15.0,20260503-03-02
6.0,6,5,5,ヤマツネライン,20132507779,ばんえい,牝3,540.0,☆臼杵龍,村上慎,1028.0,24.0,2:27.0,,,4.0,8.0,20260503-03-02
7.0,7,3,3,サカノイジゲン,20183501079,ばんえい,牡3,570.0,船山蔵,服部義,978.0,,2:45.7,,,9.0,29.4,20260503-03-02
8.0,8,7,7,オオゾラダイヤ,20152502279,ばんえい,牡3,570.0,島津新,中島敏,984.0,-26.0,2:52.0,,,5.0,12.9,20260503-03-02
9.0,9,8,9,アアモンドアノン,20142504279,ばんえい,牝3,540.0,☆阿部優,村上慎,960.0,-21.0,3:26.5,,,7.0,20.9,20260503-03-02
,,2,2,ミスターハマナ,20172505379,ばんえい,牡3,560.0,☆大友一,大友人,918.0,3.0,,中止,,10.0,30.8,20260503-03-02
1.0,1,5,5,トマランサーヨウコ,20102504778,ばんえい,牝4,560.0,金田利,鈴木邦,1038.0,6.0,1:54.2,,,7.0,11.4,20260503-03-03
2.0,2,3,3,ヤマノトップ,20142501678,ばんえい,牡4,580.0,中村太,久田守,1061.0,1.0,1:56.2,,,1.0,2.8,20260503-03-03
3.0,3,7,7,クリスタルスノー,20102506178,ばんえい,牝4,550.0,☆阿部優,坂本東,1053.0,1.0,2:01.9,,,3.0,5.1,20260503-03-03
