race_id,bet_type,combination,amount,popularity
20260503-03-01,win,3,400,2
20260503-03-01,place,3,150,2
20260503-03-01,place,8,140,1
20260503-03-01,place,6,210,5
20260503-03-01,bracket,3-8,470,1
20260503-03-01,quinella,3-8,460,1
20260503-03-01,exacta,3-8,940,2
20260503-03-01,wide,3-8,240,1
20260503-03-01,wide,3-6,670,11
20260503-03-01,wide,6-8,430,5
20260503-03-01,trio,3-6-8,920,2
20260503-03-01,trifecta,3-8-6,5450,9
20260503-03-02,win,8,480,2
20260503-03-02,place,8,150,3
20260503-03-02,place,1,120,1
20260503-03-02,place,10,130,2
20260503-03-02,bracket,1-7,430,2
20260503-03-02,quinella,1-8,540,2
20260503-03-02,exacta,8-1,1000,3
20260503-03-02,wide,1-8,210,1
20260503-03-02,wide,8-10,320,6
20260503-03-02,wide,1-10,220,2
20260503-03-02,trio,1-8-10,450,1
20260503-03-02,trifecta,8-1-10,2480,4
20260503-03-03,win,5,1140,7
20260503-03-03,place,5,320,6
20260503-03-03,place,3,130,1
20260503-03-03,place,7,180,4
20260503-03-03,quinella,3-5,2690,10
20260503-03-03,exacta,5-3,7810,26
20260503-03-03,wide,3-5,670,9
20260503-03-03,wide,5-7,1060,16
20260503-03-03,wide,3-7,300,3
20260503-03-03,trio,3-5-7,3750,13
20260503-03-03,trifecta,5-3-7,49250,159
20260503-03-04,win,7,230,1
20260503-03-04,place,7,120,1
20260503-03-04,place,5,150,2
20260503-03-04,place,1,220,6
20260503-03-04,bracket,5-7,470,1
20260503-03-04,quinella,5-7,380,1
20260503-03-04,exacta,7-5,710,1
20260503-03-04,wide,5-7,280,2
20260503-03-04,wide,1-7,670,11
20260503-03-04,wide,1-5,740,12
20260503-03-04,trio,1-5-7,1860,7
20260503-03-04,trifecta,7-5-1,5400,16
20260503-03-05,win,3,330,2
20260503-03-05,place,3,160,3
20260503-03-05,place,8,180,4
20260503-03-05,place,4,250,5
20260503-03-05,quinella,3-8,660,2
20260503-03-05,exacta,3-8,1540,5
20260503-03-05,wide,3-8,260,2
20260503-03-05,wide,3-4,520,5
20260503-03-05,wide,4-8,570,10
20260503-03-05,trio,3-4-8,1880,7
20260503-03-05,trifecta,3-8-4,9820,34
20260503-03-06,win,5,370,2
20260503-03-06,place,5,150,3
20260503-03-06,place,6,130,2
20260503-03-06,place,8,120,1
20260503-03-06,quinella,5-6,550,1
20260503-03-06,exacta,5-6,1250,2
20260503-03-06,wide,5-6,270,1
20260503-03-06,wide,5-8,440,10
20260503-03-06,wide,6-8,430,9
20260503-03-06,trio,5-6-8,1090,3
20260503-03-06,trifecta,5-6-8,4500,5
20260503-03-07,win,5,290,2
20260503-03-07,place,5,120,2
20260503-03-07,place,2,110,1
20260503-03-07,place,6,230,4
20260503-03-07,bracket,2-5,350,1
20260503-03-07,quinella,2-5,270,1
20260503-03-07,exacta,5-2,850,3
20260503-03-07,wide,2-5,190,1
20260503-03-07,wide,5-6,560,9
20260503-03-07,wide,2-6,330,3
20260503-03-07,trio,2-5-6,1260,3
20260503-03-07,trifecta,5-2-6,5340,13
20260503-03-08,win,5,180,1
20260503-03-08,place,5,110,1
20260503-03-08,place,10,120,2
20260503-03-08,place,2,260,6
20260503-03-08,bracket,5-8,190,1
20260503-03-08,quinella,5-10,220,1
20260503-03-08,exacta,5-10,390,1
20260503-03-08,wide,5-10,150,1
20260503-03-08,wide,2-5,460,7
20260503-03-08,wide,2-10,760,13
20260503-03-08,trio,2-5-10,1050,4
20260503-03-08,trifecta,5-10-2,3360,5
20260503-03-09,win,10,410,2
20260503-03-09,place,10,150,2
20260503-03-09,place,7,120,1
20260503-03-09,place,3,490,9
20260503-03-09,bracket,7-8,270,1
20260503-03-09,quinella,7-10,390,1
20260503-03-09,exacta,10-7,880,2
20260503-03-09,wide,7-10,230,1
20260503-03-09,wide,3-10,1290,19
20260503-03-09,wide,3-7,740,10
20260503-03-09,trio,3-7-10,2260,8
20260503-03-09,trifecta,10-7-3,9100,26
20260503-03-10,win,4,170,1
20260503-03-10,place,4,120,1
20260503-03-10,place,2,200,4
20260503-03-10,place,8,200,5
20260503-03-10,quinella,2-4,400,2
20260503-03-10,exacta,4-2,620,1
20260503-03-10,wide,2-4,220,3
20260503-03-10,wide,4-8,180,1
20260503-03-10,wide,2-8,410,6
20260503-03-10,trio,2-4-8,630,1
20260503-03-10,trifecta,4-2-8,2500,2
20260503-03-11,win,4,650,5
20260503-03-11,place,4,160,2
20260503-03-11,place,6,240,5
20260503-03-11,place,7,180,4
20260503-03-11,bracket,4-6,970,5
20260503-03-11,quinella,4-6,1310,5
20260503-03-11,exacta,4-6,2900,16
20260503-03-11,wide,4-6,480,6
20260503-03-11,wide,4-7,620,9
20260503-03-11,wide,6-7,550,7
20260503-03-11,trio,4-6-7,2820,9
20260503-03-11,trifecta,4-6-7,15600,52
20260503-03-12,win,4,150,1
20260503-03-12,place,4,110,1
20260503-03-12,place,6,180,4
20260503-03-12,place,2,390,6
20260503-03-12,quinella,4-6,420,3
20260503-03-12,exacta,4-6,560,3
20260503-03-12,wide,4-6,240,2
20260503-03-12,wide,2-4,370,5
20260503-03-12,wide,2-6,1250,17
20260503-03-12,trio,2-4-6,1520,7
20260503-03-12,trifecta,4-6-2,3880,11
20260503-22-01,win,2,260,2
20260503-22-01,place,2,100,1
20260503-22-01,place,7,100,2
20260503-22-01,place,8,140,3
20260503-22-01,quinella,2-7,130,1
20260503-22-01,exacta,2-7,370,2
20260503-22-01,wide,2-7,120,1
20260503-22-01,wide,2-8,160,2
20260503-22-01,wide,7-8,180,3
20260503-22-01,trio,2-7-8,290,1
20260503-22-01,trifecta,2-7-8,870,2
20260503-22-02,win,8,1140,5
20260503-22-02,place,8,340,5
20260503-22-02,place,4,310,4
20260503-22-02,place,1,170,3
20260503-22-02,bracket,4-8,2970,12
20260503-22-02,quinella,4-8,3160,13
20260503-22-02,bracket_exacta,8-4,10930,25
20260503-22-02,exacta,8-4,7590,25
20260503-22-02,wide,4-8,640,11
20260503-22-02,wide,1-8,570,8
20260503-22-02,wide,1-4,410,5
20260503-22-02,trio,1-4-8,2500,11
20260503-22-02,trifecta,8-4-1,30090,96
20260503-22-03,win,6,140,1
20260503-22-03,place,6,100,1
20260503-22-03,place,3,140,2
20260503-22-03,place,4,410,7
20260503-22-03,quinella,3-6,390,2
20260503-22-03,exacta,6-3,520,2
20260503-22-03,wide,3-6,170,1
20260503-22-03,wide,4-6,650,10
20260503-22-03,wide,3-4,3190,24
20260503-22-03,trio,3-4-6,3910,14
20260503-22-03,trifecta,6-3-4,6370,21
20260503-22-04,win,2,620,2
20260503-22-04,place,2,100,3
20260503-22-04,place,4,100,1
20260503-22-04,place,6,100,2
20260503-22-04,quinella,2-4,210,2
20260503-22-04,exacta,2-4,1620,4
20260503-22-04,wide,2-4,130,2
20260503-22-04,wide,2-6,160,3
20260503-22-04,wide,4-6,100,1
20260503-22-04,trio,2-4-6,170,1
20260503-22-04,trifecta,2-4-6,2640,5
20260503-22-05,win,6,160,1
