rank,rank_raw,waku,horse_no,horse_name,horse_id,affiliation,sex_age,weight_carried,jockey,trainer,body_weight,body_weight_diff,time,margin,last3f,popularity,win_odds,race_id
1.0,1,8,10,パワポケカノン,30023407407,川崎,牡3,56.0,古岡勇,山崎裕,469.0,,1:33.0,,39.6,1.0,2.1,20260410-21-01
2.0,2,8,9,アメリカンサンデー,30069408307,川崎,牡3,56.0,和田譲,鈴木義,451.0,18.0,1:34.0,5,40.8,5.0,13.8,20260410-21-01
3.0,3,5,5,マッドチェイサー,30063409307,川崎,牡3,56.0,町田直,山田質,447.0,-3.0,1:35.1,5,42.1,3.0,5.6,20260410-21-01
4.0,4,3,3,バババブーン,30007404507,川崎,牡3,56.0,笹川翼,酒井忍,513.0,10.0,1:35.3,1,41.5,4.0,7.1,20260410-21-01
5.0,5,7,7,マチダノチエコ,30085402007,川崎,牝3,54.0,藤江渉,山田質,454.0,-4.0,1:35.5,1,42.1,6.0,14.8,20260410-21-01
6.0,6,4,4,アファーマティヴ,30015408807,川崎,牡3,53.0,▲加藤雄,河津裕,468.0,-4.0,1:35.7,1,41.9,9.0,54.6,20260410-21-01
7.0,7,2,2,ブライトメロディー,30084404807,川崎,牝3,54.0,中越琉,安池成,519.0,11.0,1:35.8,1/2,41.7,2.0,4.2,20260410-21-01
8.0,8,6,6,アンフォーギヴン,30056402707,川崎,牝3,54.0,櫻井光,山田質,457.0,-1.0,1:36.3,2.1/2,42.0,10.0,120.8,20260410-21-01
9.0,9,1,1,シイズダイヤモンド,30001401907,川崎,牝3,54.0,新原周,高月賢,420.0,3.0,1:36.4,1/2,42.7,8.0,49.2,20260410-21-01
10.0,10,7,8,アンプリフィ,30066402007,川崎,牝3,54.0,野畑凌,田邊陽,445.0,0.0,1:36.6,1,42.8,7.0,25.1,20260410-21-01
1.0,1,5,5,ファインティアラ,30073401807,川崎,牝3,54.0,古岡勇,古澤悟,441.0,8.0,1:34.5,,41.0,1.0,2.1,20260410-21-02
2.0,2,1,1,アオイノコスメ,30062406007,川崎,牝3,54.0,和田譲,山崎裕,496.0,8.0,1:34.6,3/4,40.7,3.0,6.0,20260410-21-02
3.0,3,8,9,クツシタオトシタ,30061405907,川崎,牝3,54.0,西啓太,高橋宏,436.0,1.0,1:34.9,1.1/2,39.9,4.0,10.4,20260410-21-02
4.0,4,2,2,ミュークティアラ,30034401207,川崎,セン3,56.0,伊藤裕,甲田悟,452.0,-11.0,1:35.1,3/4,40.9,7.0,13.1,20260410-21-02
5.0,5,3,3,レイナデルアレーナ,30084400507,川崎,牝3,51.0,▲加藤雄,古澤悟,469.0,9.0,1:35.3,1,41.3,5.0,11.3,20260410-21-02
6.0,6,6,6,セレステラ,30035404807,川崎,牝3,54.0,町田直,内田勝,479.0,-6.0,1:35.3,クビ,41.6,6.0,12.0,20260410-21-02
7.0,7,7,8,シェナマーブル,30034406707,川崎,牡3,56.0,藤江渉,山田正,455.0,-5.0,1:35.4,クビ,41.6,2.0,4.9,20260410-21-02
8.0,8,4,4,タイトノット,30088404107,川崎,牡3,56.0,増田充,武井和,436.0,-4.0,1:36.3,4,41.7,9.0,65.7,20260410-21-02
