race_id,date,baba_code,baba_name,race_no,title,surface,distance,weather,going
20260501-20-01,2026-05-01,20,大井,1,３歳四 五,ダート,1600,雨,不良
20260501-20-02,2026-05-01,20,大井,2,３歳四 五,ダート,1200,曇,不良
20260501-20-03,2026-05-01,20,大井,3,３歳一 二 三,ダート,1600,晴,不良
20260501-20-04,2026-05-01,20,大井,4,３歳一 二 三,ダート,1200,晴,不良
20260501-20-05,2026-05-01,20,大井,5,２歳新馬,ダート,1000,晴,不良
20260501-20-06,2026-05-01,20,大井,6,Ｃ２二 三 四,ダート,1600,晴,不良
20260501-20-07,2026-05-01,20,大井,7,Ｃ２二 三 四,ダート,1400,晴,不良
20260501-20-08,2026-05-01,20,大井,8,ジン・バック賞Ｃ２二 三 四,ダート,1200,晴,不良
20260501-20-09,2026-05-01,20,大井,9,あおば特別３歳一 二 三選抜,ダート,1400,晴,不良
20260501-20-10,2026-05-01,20,大井,10,権現坂賞Ｂ３一選抜特別,ダート,2000,晴,不良
20260501-20-11,2026-05-01,20,大井,11,春風賞Ｂ１二Ｂ２一選抜特別,ダート,1400,晴,不良
20260501-20-12,2026-05-01,20,大井,12,スピカ賞Ｂ２三選抜特別,ダート,1200,晴,不良
20260501-22-01,2026-05-01,22,金沢,1,Ｃ１七,ダート,1500,雨,稍重
20260501-22-02,2026-05-01,22,金沢,2,Ｃ１六,ダート,1400,雨,不良
20260501-22-03,2026-05-01,22,金沢,3,矢島＆鈴木家★結婚記念杯Ｃ１五,ダート,1400,曇,不良
20260501-22-04,2026-05-01,22,金沢,4,Ｃ１四,ダート,1500,曇,重
20260501-22-05,2026-05-01,22,金沢,5,Ｃ１三,ダート,1500,曇,重
20260501-22-06,2026-05-01,22,金沢,6,ＶＬｉｖｅｒ桜空まひろん生誕記念Ｃ１二,ダート,1400,曇,重
20260501-22-07,2026-05-01,22,金沢,7,メーデー特別Ｃ１一,ダート,1400,雨,重
20260501-22-08,2026-05-01,22,金沢,8,Ｂ１四,ダート,1400,雨,重
20260501-22-09,2026-05-01,22,金沢,9,某ウマアプリに感謝を記念Ｂ１三,ダート,1400,雨,重
20260501-22-10,2026-05-01,22,金沢,10,Ｂ１二,ダート,1500,曇,重
20260501-22-11,2026-05-01,22,金沢,11,皐月特別Ｂ１一,ダート,1500,曇,重
20260501-22-12,2026-05-01,22,金沢,12,金沢競馬は楽天競馬で投票！特別Ａ２ａ,ダート,1700,曇,重
20260501-23-01,2026-05-01,23,笠松,1,笠松町コラボ同時開催中記念３歳６,ダート,1400,雨,不良
20260501-23-02,2026-05-01,23,笠松,2,３歳未勝利３歳７,ダート,1400,雨,不良
20260501-23-03,2026-05-01,23,笠松,3,３歳５組,ダート,1400,曇,不良
20260501-23-04,2026-05-01,23,笠松,4,Ｃ４組,ダート,1400,曇,不良
20260501-23-05,2026-05-01,23,笠松,5,Ｃ３組,ダート,1580,曇,不良
20260501-23-06,2026-05-01,23,笠松,6,Ｂ８・Ｃ２組Ｂ８Ｃ２,ダート,1400,曇,不良
20260501-23-07,2026-05-01,23,笠松,7,Ｂ７組,ダート,1400,曇,不良
20260501-23-08,2026-05-01,23,笠松,8,Ｂ６組,ダート,1580,曇,重
20260501-23-09,2026-05-01,23,笠松,9,メイ特別Ｃ１－２,ダート,1400,曇,重
20260501-23-10,2026-05-01,23,笠松,10,大杉特別Ａ４,ダート,1400,曇,重
20260501-23-11,2026-05-01,23,笠松,11,笠松けいば金曜日ライブ４周年記念Ａ３特別,ダート,1580,曇,重
20260501-23-12,2026-05-01,23,笠松,12,また会おうね！シングレ特別Ｃ１－１,ダート,1580,曇,重
