rank,rank_raw,waku,horse_no,horse_name,horse_id,affiliation,sex_age,weight_carried,jockey,trainer,body_weight,body_weight_diff,time,margin,last3f,popularity,win_odds,race_id
1.0,1,5,5,エヌケイサイボウ,30062407007,大井,牡3,56.0,佐野遥,蛯名雄,423.0,-3.0,1:42.4,,39.0,3.0,4.8,20260501-20-01
2.0,2,3,3,ルビーディーゼル,30012405607,大井,牡3,56.0,矢野貴,立花伸,508.0,4.0,1:42.8,2,39.0,2.0,3.4,20260501-20-01
3.0,3,8,9,ロンギングスター,30013406607,大井,牡3,56.0,達城龍,的場直,530.0,-6.0,1:42.8,クビ,39.4,5.0,9.9,20260501-20-01
4.0,4,8,10,ブライトドリーム,30086406007,大井,牡3,56.0,藤田凌,高野毅,491.0,0.0,1:43.3,2.1/2,39.9,1.0,3.1,20260501-20-01
5.0,5,4,4,キャリアラダー,30063403107,大井,牡3,53.0,▲西優哉,澤佳宏,436.0,-3.0,1:43.4,1/2,39.2,4.0,8.1,20260501-20-01
6.0,6,6,6,ワカチーコ,30004408907,大井,牝3,54.0,野畑凌,松浦裕,454.0,5.0,1:43.4,アタマ,39.6,9.0,22.2,20260501-20-01
7.0,7,1,1,ツカイノトリ,30016402707,大井,牝3,54.0,藤本現,阪本一,457.0,0.0,1:43.8,2,39.6,8.0,20.4,20260501-20-01
8.0,8,7,7,ディアモアー,30092406607,大井,牝3,51.0,▲杉山海,納谷和,427.0,2.0,1:44.2,2,39.5,7.0,18.7,20260501-20-01
9.0,9,2,2,コスモサイテス,30005402507,大井,牡3,56.0,安藤洋,宗形竹,440.0,-11.0,1:44.2,アタマ,39.3,10.0,75.4,20260501-20-01
10.0,10,7,8,バブリーショーコー,30056401107,大井,牝3,53.0,☆中山遥,福永敏,443.0,4.0,1:44.7,2.1/2,40.4,6.0,18.2,20260501-20-01
1.0,1,3,3,ジューンアカデミー,30078405507,大井,牝3,54.0,達城龍,鈴木啓,415.0,-1.0,1:14.2,,38.6,6.0,29.2,20260501-20-02
2.0,2,7,11,ゴールデンバンブー,30053409807,大井,牡3,56.0,高橋昭,立花伸,485.0,10.0,1:14.3,3/4,38.5,3.0,7.0,20260501-20-02
3.0,3,5,7,ハッチン,30025408507,大井,牝3,54.0,矢野貴,福永敏,476.0,-1.0,1:14.3,ハナ,38.4,1.0,2.0,20260501-20-02
4.0,4,6,9,トモノホマレ,30035403107,大井,牡3,56.0,藤田凌,上杉昌,495.0,-3.0,1:14.4,クビ,37.5,2.0,2.8,20260501-20-02
5.0,5,2,2,ワイルドノブクン,30095402907,大井,牡3,55.0,☆中山遥,赤嶺亮,481.0,6.0,1:14.9,2.1/2,39.4,4.0,8.9,20260501-20-02
6.0,6,8,12,シンプウエース,30004402907,大井,牡3,56.0,西啓太,荒井朋,432.0,1.0,1:15.2,1.1/2,38.0,9.0,81.1,20260501-20-02
7.0,7,4,5,ヘイアンティアー,30018400507,大井,牝3,54.0,和田譲,立花伸,459.0,-9.0,1:15.5,1.3/4,38.0,5.0,20.7,20260501-20-02
8.0,8,5,6,ボビー,30006408507,大井,牡3,56.0,東原悠,栗田裕,524.0,7.0,1:15.8,1.1/2,39.1,8.0,68.7,20260501-20-02
9.0,9,4,4,ウィルプレイス,30031404907,大井,牝3,51.0,▲西優哉,大宮和,476.0,-6.0,1:16.2,2,40.0,13.0,363.4,20260501-20-02
10.0,10,7,10,ラブミーカンヌ,30037401407,大井,牝3,51.0,▲杉山海,赤嶺亮,514.0,-2.0,1:16.5,1.1/2,39.5,10.0,98.2,20260501-20-02
11.0,11,1,1,シーキングザバース,40060406907,大井,牝3,54.0,石川駿,堀千亜,452.0,2.0,1:16.9,2,41.4,7.0,30.4,20260501-20-02
12.0,12,8,13,アメジストハート,30025404107,大井,牝3,54.0,中村尚,渡邉和,460.0,-3.0,1:17.1,1,40.5,11.0,186.3,20260501-20-02
13.0,13,6,8,フラワーキングエス,30023408107,大井,セン3,56.0,鷹見陸,栗田泰,470.0,2.0,1:18.5,7,41.3,12.0,229.6,20260501-20-02
