race_id,bet_type,combination,amount,popularity
20260408-21-01,win,2,6240,7
20260408-21-01,place,2,620,7
20260408-21-01,place,12,170,2
20260408-21-01,place,6,310,5
20260408-21-01,bracket,2-8,7270,13
20260408-21-01,quinella,2-12,5970,13
20260408-21-01,bracket_exacta,2-8,24340,38
20260408-21-01,exacta,2-12,16930,27
20260408-21-01,wide,2-12,1490,14
20260408-21-01,wide,2-6,3350,20
20260408-21-01,wide,6-12,730,8
20260408-21-01,trio,2-6-12,11850,25
20260408-21-01,trifecta,2-12-6,144620,204
20260408-21-02,win,10,400,2
20260408-21-02,place,10,140,2
20260408-21-02,place,2,100,1
20260408-21-02,place,6,140,3
20260408-21-02,bracket,2-7,270,1
20260408-21-02,quinella,2-10,340,1
20260408-21-02,bracket_exacta,7-2,620,2
20260408-21-02,exacta,10-2,930,4
20260408-21-02,wide,2-10,190,1
20260408-21-02,wide,6-10,310,4
20260408-21-02,wide,2-6,200,2
20260408-21-02,trio,2-6-10,440,1
20260408-21-02,trifecta,10-2-6,2410,4
20260408-21-03,win,8,170,1
20260408-21-03,place,8,100,1
20260408-21-03,place,2,140,2
20260408-21-03,place,10,240,5
20260408-21-03,bracket,2-7,300,2
20260408-21-03,quinella,2-8,340,1
20260408-21-03,bracket_exacta,7-2,470,2
20260408-21-03,exacta,8-2,460,2
20260408-21-03,wide,2-8,190,2
20260408-21-03,wide,8-10,450,7
20260408-21-03,wide,2-10,750,9
20260408-21-03,trio,2-8-10,1980,7
20260408-21-03,trifecta,8-2-10,5040,15
20260408-21-04,win,1,630,3
20260408-21-04,place,1,230,3
20260408-21-04,place,5,140,2
20260408-21-04,quinella,1-5,540,2
20260408-21-04,exacta,1-5,1580,6
20260408-21-04,wide,1-5,160,3
20260408-21-04,wide,1-2,150,2
20260408-21-04,wide,2-5,100,1
20260408-21-04,trio,1-2-5,240,1
20260408-21-04,trifecta,1-5-2,3580,12
20260408-21-05,win,6,170,1
20260408-21-05,place,6,120,1
20260408-21-05,place,7,180,3
20260408-21-05,place,2,910,10
20260408-21-05,bracket,5-6,580,2
20260408-21-05,quinella,6-7,750,2
20260408-21-05,bracket_exacta,5-6,860,3
20260408-21-05,exacta,6-7,990,3
20260408-21-05,wide,6-7,330,2
20260408-21-05,wide,2-6,2720,27
20260408-21-05,wide,2-7,5290,36
20260408-21-05,trio,2-6-7,13190,41
20260408-21-05,trifecta,6-7-2,34000,100
20260408-21-06,win,3,530,2
20260408-21-06,place,3,150,3
20260408-21-06,place,7,120,1
20260408-21-06,place,4,520,7
20260408-21-06,bracket,3-6,460,2
20260408-21-06,quinella,3-7,490,2
20260408-21-06,bracket_exacta,3-6,1540,7
20260408-21-06,exacta,3-7,1600,5
20260408-21-06,wide,3-7,200,1
20260408-21-06,wide,3-4,1050,12
20260408-21-06,wide,4-7,1100,13
20260408-21-06,trio,3-4-7,3580,12
20260408-21-06,trifecta,3-7-4,18150,60
20260408-21-07,win,9,240,1
20260408-21-07,place,9,120,1
20260408-21-07,place,12,150,3
20260408-21-07,place,5,200,5
20260408-21-07,bracket,7-8,260,1
20260408-21-07,quinella,9-12,380,1
20260408-21-07,bracket_exacta,7-8,350,1
20260408-21-07,exacta,9-12,740,1
20260408-21-07,wide,9-12,220,2
20260408-21-07,wide,5-9,330,3
20260408-21-07,wide,5-12,480,6
20260408-21-07,trio,5-9-12,790,2
20260408-21-07,trifecta,9-12-5,3140,3
20260408-21-08,win,1,280,1
20260408-21-08,place,1,160,1
20260408-21-08,place,5,220,5
20260408-21-08,place,3,1070,9
20260408-21-08,bracket,1-4,470,2
