race_id,bet_type,combination,amount,popularity
20260414-11-01,win,4,590,3
20260414-11-01,place,4,190,4
20260414-11-01,place,3,170,3
20260414-11-01,place,5,120,1
20260414-11-01,bracket,3-4,2320,10
20260414-11-01,quinella,3-4,2320,9
20260414-11-01,exacta,4-3,4160,16
20260414-11-01,wide,3-4,730,12
20260414-11-01,wide,4-5,290,2
20260414-11-01,wide,3-5,370,4
20260414-11-01,trio,3-4-5,2040,6
20260414-11-01,trifecta,4-3-5,13630,50
20260414-11-02,win,6,160,1
20260414-11-02,place,6,110,1
20260414-11-02,place,8,180,3
20260414-11-02,place,5,300,6
20260414-11-02,bracket,6-7,270,2
20260414-11-02,quinella,6-8,250,1
20260414-11-02,exacta,6-8,330,2
20260414-11-02,wide,6-8,250,2
20260414-11-02,wide,5-6,440,6
20260414-11-02,wide,5-8,1020,15
20260414-11-02,trio,5-6-8,1520,5
20260414-11-02,trifecta,6-8-5,2610,6
20260414-11-03,win,9,960,5
20260414-11-03,place,9,140,1
20260414-11-03,place,7,160,2
20260414-11-03,place,8,590,8
20260414-11-03,bracket,7-8,890,5
20260414-11-03,quinella,7-9,1280,7
20260414-11-03,exacta,9-7,3740,14
20260414-11-03,wide,7-9,560,7
20260414-11-03,wide,8-9,2680,23
20260414-11-03,wide,7-8,2010,19
20260414-11-03,trio,7-8-9,12990,37
20260414-11-03,trifecta,9-7-8,81900,214
20260414-11-04,win,2,580,3
20260414-11-04,place,2,150,3
20260414-11-04,place,8,120,1
20260414-11-04,place,10,550,8
20260414-11-04,bracket,2-7,550,2
20260414-11-04,quinella,2-8,510,2
20260414-11-04,exacta,2-8,1400,6
20260414-11-04,wide,2-8,280,2
20260414-11-04,wide,2-10,4520,32
20260414-11-04,wide,8-10,1360,15
20260414-11-04,trio,2-8-10,7810,22
20260414-11-04,trifecta,2-8-10,32870,87
20260414-11-05,win,6,210,1
20260414-11-05,place,6,110,1
20260414-11-05,place,10,120,2
20260414-11-05,place,5,130,4
20260414-11-05,bracket,6-8,430,1
20260414-11-05,quinella,6-10,430,1
20260414-11-05,exacta,6-10,790,2
20260414-11-05,wide,6-10,210,3
20260414-11-05,wide,5-6,200,2
20260414-11-05,wide,5-10,280,5
20260414-11-05,trio,5-6-10,530,2
20260414-11-05,trifecta,6-10-5,1880,2
20260414-11-06,win,8,380,2
20260414-11-06,place,8,140,3
20260414-11-06,place,3,140,2
20260414-11-06,place,5,160,4
20260414-11-06,bracket,3-7,810,2
20260414-11-06,quinella,3-8,650,1
20260414-11-06,exacta,8-3,1440,4
20260414-11-06,wide,3-8,260,2
20260414-11-06,wide,5-8,290,4
20260414-11-06,wide,3-5,340,5
20260414-11-06,trio,3-5-8,900,1
20260414-11-06,trifecta,8-3-5,5360,9
20260414-11-07,win,3,260,1
20260414-11-07,place,3,150,1
20260414-11-07,place,10,150,2
20260414-11-07,place,5,300,6
20260414-11-07,bracket,3-8,570,1
20260414-11-07,quinella,3-10,460,1
20260414-11-07,exacta,3-10,1290,2
20260414-11-07,wide,3-10,240,1
20260414-11-07,wide,3-5,820,13
20260414-11-07,wide,5-10,860,14
20260414-11-07,trio,3-5-10,2580,9
20260414-11-07,trifecta,3-10-5,7920,17
20260414-11-08,win,8,190,1
20260414-11-08,place,8,110,1
20260414-11-08,place,11,350,7
20260414-11-08,place,2,270,4
20260414-11-08,bracket,6-8,330,1
20260414-11-08,quinella,8-11,1700,5
20260414-11-08,exacta,8-11,3530,14
20260414-11-08,wide,8-11,650,5
20260414-11-08,wide,2-8,580,4
20260414-11-08,wide,2-11,1510,19
20260414-11-08,trio,2-8-11,6580,24
20260414-11-08,trifecta,8-11-2,35710,126
20260414-11-09,win,12,990,3
20260414-11-09,place,12,220,3
20260414-11-09,place,1,100,1
20260414-11-09,place,3,260,7
20260414-11-09,bracket,1-8,510,1
20260414-11-09,quinella,1-12,1170,5
20260414-11-09,exacta,12-1,4170,14
20260414-11-09,wide,1-12,450,4
20260414-11-09,wide,3-12,800,9
20260414-11-09,wide,1-3,250,1
20260414-11-09,trio,1-3-12,2530,5
20260414-11-09,trifecta,12-1-3,20730,73
20260414-11-10,win,6,160,1
20260414-11-10,place,6,110,2
20260414-11-10,place,12,470,9
20260414-11-10,place,3,100,1
20260414-11-10,bracket,5-8,830,4
20260414-11-10,quinella,6-12,7630,15
20260414-11-10,exacta,6-12,11290,24
20260414-11-10,wide,6-12,1160,15
20260414-11-10,wide,3-6,170,1
20260414-11-10,wide,3-12,2180,21
20260414-11-10,trio,3-6-12,5110,19
20260414-11-10,trifecta,6-12-3,33650,87
20260414-11-11,win,1,650,4
20260414-11-11,place,1,160,3
20260414-11-11,place,7,180,4
20260414-11-11,place,3,130,1
20260414-11-11,bracket,1-6,1700,9
20260414-11-11,quinella,1-7,2090,11
20260414-11-11,exacta,1-7,4680,21
20260414-11-11,wide,1-7,610,9
20260414-11-11,wide,1-3,320,2
20260414-11-11,wide,3-7,410,3
20260414-11-11,trio,1-3-7,1420,3
20260414-11-11,trifecta,1-7-3,11070,27
20260414-11-12,win,1,220,1
20260414-11-12,place,1,110,1
20260414-11-12,place,3,270,6
20260414-11-12,place,4,140,2
20260414-11-12,bracket,1-3,2540,12
20260414-11-12,quinella,1-3,2650,10
20260414-11-12,exacta,1-3,3340,14
20260414-11-12,wide,1-3,660,9
20260414-11-12,wide,1-4,190,1
20260414-11-12,wide,3-4,720,11
20260414-11-12,trio,1-3-4,1590,5
20260414-11-12,trifecta,1-3-4,7860,34
