rank,rank_raw,waku,horse_no,horse_name,horse_id,affiliation,sex_age,weight_carried,jockey,trainer,body_weight,body_weight_diff,time,margin,last3f,popularity,win_odds,race_id
1.0,1,4,5,アイアンバイブル,30045406396,大井,セン4,56.0,安藤洋,福永敏,510.0,1.0,1:45.3,,41.1,4.0,9.6,20260416-20-01
2.0,2,6,9,ワールドフォンテン,30087407976,大井,牡6,53.0,▲杉山海,井上弘,454.0,3.0,1:45.7,2,41.4,3.0,4.4,20260416-20-01
3.0,3,4,6,グレーターホープ,30013403076,大井,牡6,56.0,吉井章,月岡健,439.0,-2.0,1:45.9,1.1/4,41.4,1.0,2.0,20260416-20-01
4.0,4,7,11,カルサパラストリス,30048408296,大井,セン4,55.0,☆中山遥,阪本一,435.0,2.0,1:46.3,2,41.1,9.0,70.2,20260416-20-01
5.0,5,3,4,ミチノシチリア,30075402356,大井,牡8,56.0,達城龍,嶋田幸,480.0,-5.0,1:46.7,2,41.2,6.0,24.6,20260416-20-01
6.0,6,5,8,イケノギャルチャン,30073409166,大井,牝7,54.0,石川駿,岡野尚,495.0,4.0,1:46.8,クビ,41.6,7.0,32.9,20260416-20-01
7.0,7,2,2,マキズシトイナ,30085405686,大井,牡5,53.0,▲高橋優,高橋清,491.0,2.0,1:47.8,5,42.1,8.0,38.2,20260416-20-01
8.0,8,3,3,スカイレディ,40091409886,大井,牝5,54.0,横川怜,吉井竜,506.0,11.0,1:48.1,1.1/2,42.5,13.0,201.6,20260416-20-01
9.0,9,8,13,ゼンダンクラージュ,30008405566,大井,セン7,56.0,岡村健,遠藤茂,481.0,-6.0,1:48.5,2,43.3,14.0,246.3,20260416-20-01
10.0,10,8,14,ラヴレボーテ,30017403886,大井,牝5,53.0,☆谷内貫,米田英,496.0,3.0,1:48.6,クビ,42.6,12.0,200.4,20260416-20-01
11.0,11,1,1,フローラルロマンス,40000406966,大井,牝7,54.0,澤田龍,田中人,465.0,12.0,1:48.7,1/2,43.8,5.0,21.5,20260416-20-01
12.0,12,5,7,キバルスター,30062405866,大井,牡7,56.0,福原杏,阪本一,483.0,-3.0,1:48.8,クビ,44.5,2.0,3.9,20260416-20-01
13.0,13,7,12,ノリサムソン,30068406186,大井,牡5,56.0,鷹見陸,大宮和,486.0,-1.0,1:49.2,2,44.4,11.0,171.9,20260416-20-01
14.0,14,6,10,ラインストライカー,30043402966,大井,セン7,56.0,野畑凌,鷹見浩,477.0,-2.0,1:49.3,クビ,43.8,10.0,128.1,20260416-20-01
1.0,1,6,6,ポルトディタリー,30067401176,大井,牡6,56.0,和田譲,久保隆,461.0,0.0,1:29.9,,40.8,3.0,7.1,20260416-20-02
2.0,2,2,2,シームルグ,30048400596,大井,牝4,54.0,菅原涼,坂井英,469.0,15.0,1:30.4,2.1/2,41.6,1.0,1.6,20260416-20-02
3.0,3,4,4,ポンペルモ,30027403296,大井,牡4,56.0,田中洸,小野晋,443.0,-1.0,1:30.6,3/4,41.8,9.0,143.4,20260416-20-02
