race_id,bet_type,votes,returned_votes
20260806-27-12,exacta,54180,0
20260806-27-12,trifecta,357441,0
20260806-36-01,win,32798,0
20260806-36-01,bracket_exacta,0,0
20260806-36-01,wide,33243,0
20260806-36-01,place,23080,0
20260806-36-01,quinella,19463,0
20260806-36-01,trio,44349,0
20260806-36-01,bracket,3654,0
20260806-36-01,exacta,17143,0
20260806-36-01,trifecta,92120,0
20260806-36-02,win,33851,0
20260806-36-02,bracket_exacta,0,0
20260806-36-02,wide,31314,0
20260806-36-02,place,18297,0
20260806-36-02,quinella,21823,0
20260806-36-02,trio,36886,0
20260806-36-02,bracket,3518,0
20260806-36-02,exacta,20080,0
20260806-36-02,trifecta,83119,0
20260806-36-03,win,33090,0
20260806-36-03,bracket_exacta,0,0
20260806-36-03,wide,32629,0
20260806-36-03,place,17235,0
20260806-36-03,quinella,20495,0
20260806-36-03,trio,34251,0
20260806-36-03,bracket,3073,0
20260806-36-03,exacta,16644,0
20260806-36-03,trifecta,95905,0
20260806-36-04,win,46754,0
20260806-36-04,bracket_exacta,0,0
20260806-36-04,wide,37948,0
20260806-36-04,place,25089,0
20260806-36-04,quinella,24484,0
20260806-36-04,trio,44296,0
20260806-36-04,bracket,3993,0
20260806-36-04,exacta,20950,0
20260806-36-04,trifecta,102967,0
20260806-36-05,win,57130,0
20260806-36-05,bracket_exacta,0,0
20260806-36-05,wide,49660,0
20260806-36-05,place,31621,0
20260806-36-05,quinella,33332,0
20260806-36-05,trio,53783,0
20260806-36-05,bracket,0,0
20260806-36-05,exacta,27851,0
20260806-36-05,trifecta,140589,0
20260806-36-06,win,62526,0
20260806-36-06,bracket_exacta,0,0
20260806-36-06,wide,47808,0
20260806-36-06,place,29428,0
20260806-36-06,quinella,35018,0
20260806-36-06,trio,49581,0
20260806-36-06,bracket,0,0
20260806-36-06,exacta,37202,0
20260806-36-06,trifecta,146809,0
20260806-36-07,win,80144,0
20260806-36-07,bracket_exacta,0,0
20260806-36-07,wide,67673,0
20260806-36-07,place,41751,0
20260806-36-07,quinella,43919,0
20260806-36-07,trio,74276,0
20260806-36-07,bracket,0,0
20260806-36-07,exacta,43714,0
20260806-36-07,trifecta,207228,0
20260806-36-08,win,83481,0
20260806-36-08,bracket_exacta,0,0
20260806-36-08,wide,57718,0
20260806-36-08,place,42654,0
20260806-36-08,quinella,49644,0
20260806-36-08,trio,83786,0
20260806-36-08,bracket,0,0
20260806-36-08,exacta,54068,0
20260806-36-08,trifecta,229109,0
20260806-36-09,win,85348,0
20260806-36-09,bracket_exacta,0,0
20260806-36-09,wide,108856,0
20260806-36-09,place,79313,0
20260806-36-09,quinella,68319,0
20260806-36-09,trio,139834,0
20260806-36-09,bracket,9795,0
20260806-36-09,exacta,44735,0
20260806-36-09,trifecta,219816,0
20260806-36-10,win,102778,0
20260806-36-10,bracket_exacta,0,0
20260806-36-10,wide,93253,0
20260806-36-10,place,40141,0
20260806-36-10,quinella,53632,0
20260806-36-10,trio,91975,0
20260806-36-10,bracket,0,0
20260806-36-10,exacta,54250,0
20260806-36-10,trifecta,340850,0
20260806-36-11,win,128821,0
20260806-36-11,bracket_exacta,0,0
20260806-36-11,wide,122652,0
20260806-36-11,place,67906,0
20260806-36-11,quinella,81349,0
20260806-36-11,trio,162307,0
20260806-36-11,bracket,13596,0
20260806-36-11,exacta,70748,0
20260806-36-11,trifecta,349587,0
20260806-36-12,win,265154,0
20260806-36-12,bracket_exacta,0,0
20260806-36-12,wide,250045,0
20260806-36-12,place,104994,0
20260806-36-12,quinella,160438,0
20260806-36-12,trio,364206,0
20260806-36-12,bracket,20229,0
20260806-36-12,exacta,168361,0
20260806-36-12,trifecta,994406,0
