race_id,bet_type,votes,returned_votes
20260806-19-01,win,83090,0
20260806-19-01,bracket_exacta,0,0
20260806-19-01,wide,38594,0
20260806-19-01,place,27355,0
20260806-19-01,quinella,38582,0
20260806-19-01,trio,53428,0
20260806-19-01,bracket,0,0
20260806-19-01,exacta,51415,0
20260806-19-01,trifecta,240253,0
20260806-19-02,win,67467,0
20260806-19-02,bracket_exacta,0,0
20260806-19-02,wide,39644,0
20260806-19-02,place,29127,0
20260806-19-02,quinella,39457,0
20260806-19-02,trio,56079,0
20260806-19-02,bracket,0,0
20260806-19-02,exacta,41208,0
20260806-19-02,trifecta,243419,0
20260806-19-03,win,78207,0
20260806-19-03,bracket_exacta,4849,0
20260806-19-03,wide,72229,0
20260806-19-03,place,48767,0
20260806-19-03,quinella,51419,0
20260806-19-03,trio,99142,0
20260806-19-03,bracket,9870,0
20260806-19-03,exacta,62047,0
20260806-19-03,trifecta,275808,0
20260806-19-04,win,106936,0
20260806-19-04,bracket_exacta,0,0
20260806-19-04,wide,83084,0
20260806-19-04,place,45283,0
20260806-19-04,quinella,60107,0
20260806-19-04,trio,105326,0
20260806-19-04,bracket,0,0
20260806-19-04,exacta,74429,0
20260806-19-04,trifecta,409308,0
20260806-19-05,win,86796,0
20260806-19-05,bracket_exacta,4217,0
20260806-19-05,wide,82704,0
20260806-19-05,place,52407,0
20260806-19-05,quinella,60410,0
20260806-19-05,trio,135815,0
20260806-19-05,bracket,9781,0
20260806-19-05,exacta,59418,0
20260806-19-05,trifecta,297244,0
20260806-19-06,win,90909,0
20260806-19-06,bracket_exacta,0,0
20260806-19-06,wide,79425,0
20260806-19-06,place,46780,0
20260806-19-06,quinella,56113,0
20260806-19-06,trio,106028,0
20260806-19-06,bracket,0,0
20260806-19-06,exacta,55872,0
20260806-19-06,trifecta,325789,0
20260806-19-07,win,90876,0
20260806-19-07,bracket_exacta,0,0
20260806-19-07,wide,57726,0
20260806-19-07,place,42786,0
20260806-19-07,quinella,43753,0
20260806-19-07,trio,69379,0
20260806-19-07,bracket,0,0
20260806-19-07,exacta,78677,0
20260806-19-07,trifecta,435649,0
20260806-19-08,win,154037,0
20260806-19-08,bracket_exacta,6548,0
20260806-19-08,wide,132091,0
20260806-19-08,place,97289,0
20260806-19-08,quinella,112836,0
20260806-19-08,trio,204560,0
20260806-19-08,bracket,12035,0
20260806-19-08,exacta,88470,0
20260806-19-08,trifecta,458774,0
20260806-19-09,win,162656,0
20260806-19-09,bracket_exacta,0,0
20260806-19-09,wide,165646,0
20260806-19-09,place,105435,0
20260806-19-09,quinella,122318,0
20260806-19-09,trio,234864,0
20260806-19-09,bracket,0,0
20260806-19-09,exacta,98805,0
20260806-19-09,trifecta,510343,0
20260806-19-10,win,152560,0
20260806-19-10,bracket_exacta,9151,0
20260806-19-10,wide,192640,0
20260806-19-10,place,145496,0
20260806-19-10,quinella,153681,0
20260806-19-10,trio,337815,0
20260806-19-10,bracket,17169,0
20260806-19-10,exacta,107117,0
20260806-19-10,trifecta,554480,0
20260806-19-11,win,491134,0
20260806-19-11,bracket_exacta,36113,0
20260806-19-11,wide,674377,0
20260806-19-11,place,380743,0
20260806-19-11,quinella,510767,0
20260806-19-11,trio,1455051,0
20260806-19-11,bracket,79359,0
20260806-19-11,exacta,323606,0
20260806-19-11,trifecta,2152553,0
20260806-19-12,win,330380,0
20260806-19-12,bracket_exacta,19814,0
20260806-19-12,wide,380682,0
20260806-19-12,place,203132,0
20260806-19-12,quinella,259631,0
20260806-19-12,trio,574628,0
20260806-19-12,bracket,39110,0
20260806-19-12,exacta,240697,0
20260806-19-12,trifecta,1484828,0
20260806-27-01,win,39026,0
20260806-27-01,bracket_exacta,0,0
20260806-27-01,wide,45963,0
20260806-27-01,place,40007,0
20260806-27-01,quinella,42230,0
20260806-27-01,trio,90978,0
20260806-27-01,bracket,4831,0
20260806-27-01,exacta,26747,0
20260806-27-01,trifecta,166778,0
20260806-27-02,win,60045,0
20260806-27-02,bracket_exacta,0,0
20260806-27-02,wide,46993,0
20260806-27-02,place,35260,0
20260806-27-02,quinella,37846,0
20260806-27-02,trio,55001,0
20260806-27-02,bracket,0,0
20260806-27-02,exacta,39161,0
20260806-27-02,trifecta,247241,0
20260806-27-03,win,60883,0
20260806-27-03,bracket_exacta,0,0
20260806-27-03,wide,66587,0
20260806-27-03,place,44826,0
20260806-27-03,quinella,51377,0
20260806-27-03,trio,98495,0
20260806-27-03,bracket,0,0
20260806-27-03,exacta,37552,0
20260806-27-03,trifecta,215661,0
20260806-27-04,win,64071,0
20260806-27-04,bracket_exacta,0,0
20260806-27-04,wide,73170,0
20260806-27-04,place,49101,0
20260806-27-04,quinella,45292,0
20260806-27-04,trio,103250,0
20260806-27-04,bracket,6479,0
20260806-27-04,exacta,42975,0
20260806-27-04,trifecta,277289,0
20260806-27-05,win,85919,0
20260806-27-05,bracket_exacta,0,0
20260806-27-05,wide,107955,0
20260806-27-05,place,69115,0
20260806-27-05,quinella,76608,0
20260806-27-05,trio,161503,0
20260806-27-05,bracket,8270,0
20260806-27-05,exacta,60591,0
20260806-27-05,trifecta,321348,0
20260806-27-06,win,81519,0
20260806-27-06,bracket_exacta,0,0
20260806-27-06,wide,89250,0
20260806-27-06,place,65997,0
20260806-27-06,quinella,82802,0
20260806-27-06,trio,153071,0
20260806-27-06,bracket,9505,0
20260806-27-06,exacta,65697,0
20260806-27-06,trifecta,339290,0
20260806-27-07,win,85584,0
20260806-27-07,bracket_exacta,0,0
20260806-27-07,wide,66928,0
20260806-27-07,place,40764,0
20260806-27-07,quinella,49340,0
20260806-27-07,trio,97623,0
20260806-27-07,bracket,0,0
20260806-27-07,exacta,53105,0
20260806-27-07,trifecta,321097,0
20260806-27-08,win,60818,0
20260806-27-08,bracket_exacta,0,0
20260806-27-08,wide,53651,0
20260806-27-08,place,30484,0
20260806-27-08,quinella,37830,0
20260806-27-08,trio,78336,0
20260806-27-08,bracket,0,0
20260806-27-08,exacta,51025,0
20260806-27-08,trifecta,277036,0
20260806-27-09,win,59324,0
20260806-27-09,bracket_exacta,0,0
20260806-27-09,wide,51773,0
20260806-27-09,place,31324,0
20260806-27-09,quinella,37039,0
20260806-27-09,trio,81736,0
20260806-27-09,bracket,4339,0
20260806-27-09,exacta,36707,0
20260806-27-09,trifecta,231053,0
20260806-27-10,win,87026,0
20260806-27-10,bracket_exacta,0,0
20260806-27-10,wide,64404,0
20260806-27-10,place,55413,0
20260806-27-10,quinella,56133,0
20260806-27-10,trio,122174,0
20260806-27-10,bracket,8386,0
20260806-27-10,exacta,41840,0
20260806-27-10,trifecta,258604,0
20260806-27-11,win,81341,0
20260806-27-11,bracket_exacta,0,0
20260806-27-11,wide,92391,0
20260806-27-11,place,49344,0
20260806-27-11,quinella,57528,0
20260806-27-11,trio,160560,0
20260806-27-11,bracket,9444,0
20260806-27-11,exacta,61989,0
20260806-27-11,trifecta,375417,0
20260806-27-12,win,93780,0
20260806-27-12,bracket_exacta,0,0
20260806-27-12,wide,83569,0
20260806-27-12,place,51370,0
20260806-27-12,quinella,75605,0
20260806-27-12,trio,162242,0
20260806-27-12,bracket,13704,0
