race_id,bet_type,combination,amount,popularity
20260403-19-01,win,2,790,4
20260403-19-01,place,2,230,6
20260403-19-01,place,5,130,2
20260403-19-01,place,8,120,1
20260403-19-01,bracket,2-5,1470,7
20260403-19-01,quinella,2-5,1350,6
20260403-19-01,bracket_exacta,2-5,2490,11
20260403-19-01,exacta,2-5,2730,11
20260403-19-01,wide,2-5,470,7
20260403-19-01,wide,2-8,340,3
20260403-19-01,wide,5-8,210,1
20260403-19-01,trio,2-5-8,1060,1
20260403-19-01,trifecta,2-5-8,9190,26
20260403-19-02,win,6,410,2
20260403-19-02,place,6,120,1
20260403-19-02,place,3,160,4
20260403-19-02,place,5,120,2
20260403-19-02,bracket,3-6,990,3
20260403-19-02,quinella,3-6,860,3
20260403-19-02,bracket_exacta,6-3,1730,4
20260403-19-02,exacta,6-3,1880,5
20260403-19-02,wide,3-6,290,2
20260403-19-02,wide,5-6,200,1
20260403-19-02,wide,3-5,340,3
20260403-19-02,trio,3-5-6,690,1
20260403-19-02,trifecta,6-3-5,5080,8
20260403-19-03,win,3,470,3
20260403-19-03,place,3,170,3
20260403-19-03,place,4,660,8
20260403-19-03,place,5,220,4
20260403-19-03,bracket,3-4,5050,18
20260403-19-03,quinella,3-4,4040,16
20260403-19-03,bracket_exacta,3-4,8080,31
20260403-19-03,exacta,3-4,8190,30
20260403-19-03,wide,3-4,1340,17
20260403-19-03,wide,3-5,510,6
20260403-19-03,wide,4-5,1700,23
20260403-19-03,trio,3-4-5,8260,32
20260403-19-03,trifecta,3-4-5,39980,148
20260403-19-04,win,7,270,1
20260403-19-04,place,7,130,1
20260403-19-04,place,4,130,2
20260403-19-04,place,12,260,5
20260403-19-04,bracket,4-6,830,4
20260403-19-04,quinella,4-7,810,2
20260403-19-04,bracket_exacta,6-4,1370,3
20260403-19-04,exacta,7-4,1370,2
20260403-19-04,wide,4-7,320,1
20260403-19-04,wide,7-12,580,6
20260403-19-04,wide,4-12,660,9
20260403-19-04,trio,4-7-12,2290,7
