rank,rank_raw,waku,horse_no,horse_name,horse_id,affiliation,sex_age,weight_carried,jockey,trainer,body_weight,body_weight_diff,time,margin,last3f,popularity,win_odds,race_id
1.0,1,2,2,フィカスリラータ,30052408707,船橋,牝3,54.0,藤田凌,山中尊,435.0,1.0,1:19.6,,41.6,4.0,7.9,20260403-19-01
2.0,2,5,5,ハッピーデイジー,30086402907,船橋,牝3,54.0,濱田達,川島一,440.0,-1.0,1:20.2,3,42.4,2.0,3.0,20260403-19-01
3.0,3,8,8,キャッスルギフト,30064402607,船橋,牡3,56.0,小杉亮,渋谷博,457.0,11.0,1:20.4,1,41.9,1.0,2.9,20260403-19-01
4.0,4,7,7,オールインアリス,30069406307,船橋,牝3,51.0,▲山本大,渋谷博,377.0,3.0,1:20.5,3/4,41.0,3.0,5.6,20260403-19-01
5.0,5,1,1,ユウユウスター,30013409907,船橋,牡3,56.0,仲野光,渋谷博,437.0,0.0,1:20.5,クビ,41.8,5.0,9.8,20260403-19-01
6.0,6,3,3,アンジェロピッコロ,30084407807,船橋,牝3,54.0,臼井健,渡邊貴,433.0,-1.0,1:20.8,1.1/2,42.7,7.0,17.5,20260403-19-01
7.0,7,4,4,アークローズ,30032403307,船橋,牝3,54.0,笠野雄,山中尊,441.0,-3.0,1:21.2,2,42.7,6.0,14.6,20260403-19-01
8.0,8,6,6,ラグビル,40040401907,船橋,牡3,56.0,山中悠,阿井正,434.0,1.0,1:21.8,3,42.3,9.0,64.7,20260403-19-01
9.0,9,8,9,ミノシャルム,30037405007,船橋,牝3,52.0,△所　蛍,林　幻,483.0,-9.0,1:23.8,大差,43.5,8.0,26.2,20260403-19-01
1.0,1,6,6,ジオパークムーン,30093401707,船橋,牝3,52.0,△所　蛍,森泰斗,414.0,-6.0,1:18.6,,40.9,2.0,4.1,20260403-19-02
2.0,2,3,3,フレイムキャット,30012402307,船橋,牡3,56.0,笹川翼,米谷康,466.0,-3.0,1:18.8,1,41.5,3.0,6.4,20260403-19-02
3.0,3,5,5,レオソルジャー,30013407207,船橋,牡3,56.0,仲野光,渡邊貴,458.0,-3.0,1:19.0,1,41.5,1.0,2.0,20260403-19-02
4.0,4,7,9,コンシェルディー,30016404007,船橋,牝3,54.0,笠野雄,岩崎真,472.0,5.0,1:19.6,3,40.7,6.0,21.6,20260403-19-02
5.0,5,7,8,ナックナック,30086409007,船橋,牝3,54.0,木間龍,矢野義,388.0,-14.0,1:19.9,1.1/2,42.2,10.0,100.3,20260403-19-02
6.0,6,4,4,ルミナスストーン,30053405807,船橋,牝3,54.0,和田譲,林　幻,447.0,5.0,1:20.6,3,43.1,5.0,13.2,20260403-19-02
7.0,7,8,10,ミツゲツ,30046407907,船橋,牝3,54.0,野澤憲,佐々清,458.0,-2.0,1:20.6,アタマ,43.1,8.0,49.3,20260403-19-02
8.0,8,8,11,スターオブスカイ,30004400607,船橋,牡3,53.0,▲山本大,阿井正,390.0,6.0,1:20.8,1,43.1,9.0,74.1,20260403-19-02
9.0,9,6,7,タカイチカレン,30016405707,船橋,牝3,54.0,山口達,阿井正,428.0,1.0,1:21.7,4,42.2,11.0,182.1,20260403-19-02
10.0,10,2,2,マハラージャ,40040400907,船橋,牡3,56.0,山中悠,阿井正,464.0,-12.0,1:22.7,5,45.4,4.0,6.8,20260403-19-02
11.0,11,1,1,アイディンラヴァー,30026404607,船橋,牝3,54.0,岡村健,田中力,449.0,-6.0,1:25.4,大差,48.3,7.0,23.7,20260403-19-02
1.0,1,3,3,ジンガブリッツ,30014402996,川崎,牡4,56.0,張田昂,茂木浩,443.0,-5.0,1:39.5,,39.1,3.0,4.7,20260403-19-03
2.0,2,4,4,レイワエポック,40041407996,船橋,牝4,54.0,山中悠,阿井正,429.0,2.0,1:39.9,2,39.9,8.0,24.5,20260403-19-03
3.0,3,5,5,バーニングウインド,30027408976,船橋,牡6,56.0,川島正,齊藤敏,460.0,-1.0,1:40.2,1.1/2,39.6,4.0,6.5,20260403-19-03
4.0,4,6,8,サーフプラチナム,30012403696,船橋,牝4,54.0,山口達,林正人,456.0,-2.0,1:40.3,クビ,39.9,5.0,7.8,20260403-19-03
5.0,5,7,10,シンキングファーザ,30077401576,船橋,牡6,53.0,▲山本大,佐藤太,500.0,1.0,1:41.2,4,40.2,2.0,4.0,20260403-19-03
6.0,6,8,12,コビナイフォンテン,30037409566,船橋,牝7,54.0,小杉亮,玉井昇,460.0,0.0,1:41.3,1/2,40.5,6.0,14.5,20260403-19-03
7.0,7,2,2,キャラメルスライム,30058404996,船橋,牝4,54.0,木間龍,大津剛,467.0,-3.0,1:41.3,クビ,40.2,1.0,3.5,20260403-19-03
8.0,8,1,1,エットトゥカム,30095400196,船橋,牡4,56.0,仲野光,坂本昇,440.0,-4.0,1:41.4,1/2,38.9,10.0,58.7,20260403-19-03
