rank,rank_raw,waku,horse_no,horse_name,horse_id,affiliation,sex_age,weight_carried,jockey,trainer,body_weight,body_weight_diff,time,margin,last3f,popularity,win_odds,race_id
1.0,1,6,6,キタノルシール,30096408396,岩手,牝4,54.0,小林凌,飯田弘,464.0,-7.0,0:51.6,,36.4,1.0,2.2,20260406-11-01
2.0,2,4,4,ファストパスキー,30047409196,岩手,牡4,56.0,菅原辰,板垣吉,458.0,-2.0,0:51.7,1/2,36.1,4.0,7.1,20260406-11-01
3.0,3,2,2,リスクテイカー,30073409676,岩手,牝6,54.0,佐々志,小林俊,463.0,6.0,0:52.4,4,36.9,5.0,7.9,20260406-11-01
4.0,4,1,1,キャリーアドリーム,30068404776,岩手,牝6,54.0,岩本怜,三野通,407.0,2.0,0:52.6,1.1/2,37.3,2.0,3.7,20260406-11-01
5.0,5,3,3,コンバットベラ,30093408896,岩手,牝4,54.0,阿部英,三野通,446.0,6.0,0:52.6,クビ,36.9,7.0,86.1,20260406-11-01
6.0,6,7,7,ソープストーン,30028404996,岩手,牝4,52.0,△坂井瑛,新田守,384.0,3.0,0:52.9,1.3/4,37.1,3.0,4.6,20260406-11-01
7.0,7,8,8,フークレグルス,30096400676,岩手,牡6,54.0,◇関本玲,関本浩,527.0,2.0,0:53.4,3,37.6,6.0,32.4,20260406-11-01
8.0,8,5,5,キタクイン,40000409976,岩手,牝6,54.0,鈴木祐,櫻田康,450.0,0.0,0:53.5,3/4,38.4,8.0,96.0,20260406-11-01
1.0,1,8,8,シノブデスティーノ,30026408186,岩手,牝5,54.0,高橋悠,小林俊,432.0,-2.0,0:51.3,,36.1,1.0,1.4,20260406-11-02
2.0,2,8,9,ゴープラチナム,30065401146,岩手,牝9,54.0,村上忍,村上実,444.0,-4.0,0:51.4,3/4,36.6,2.0,2.5,20260406-11-02
3.0,3,5,5,クリスタルテン,30014407396,岩手,牝4,54.0,山本政,齋藤雄,437.0,-4.0,0:52.3,6,36.8,3.0,24.3,20260406-11-02
4.0,4,2,2,オンザレイディオ,30034400196,岩手,牝4,54.0,高松亮,佐藤雅,471.0,2.0,0:52.3,ハナ,36.9,6.0,39.9,20260406-11-02
5.0,5,6,6,グッドヘイロー,30063405866,岩手,牝7,54.0,阿部英,及川良,519.0,-3.0,0:52.3,アタマ,36.4,4.0,24.7,20260406-11-02
6.0,6,1,1,トレベルフィーユ,30007400396,岩手,牝4,54.0,南郷家,高橋純,405.0,0.0,0:52.7,2.1/2,36.8,8.0,205.5,20260406-11-02
7.0,7,7,7,ラミアヴィータ,30017400666,岩手,牝7,54.0,塚本涼,小林俊,469.0,2.0,0:52.7,ハナ,36.8,7.0,52.6,20260406-11-02
8.0,8,3,3,コウバイ,30098404796,岩手,牝4,52.0,△坂井瑛,陶文峰,424.0,8.0,0:53.3,4,37.3,5.0,39.4,20260406-11-02
9.0,9,4,4,アグリオ,30044404086,岩手,牝5,54.0,岩本怜,三野通,399.0,-1.0,0:53.3,アタマ,36.5,9.0,242.8,20260406-11-02
1.0,1,1,1,バスターショット,40030407986,岩手,セン5,56.0,阿部英,吉田司,418.0,-4.0,1:23.3,,38.8,9.0,43.4,20260406-11-03
2.0,2,4,4,クレナイノヒメ,30029401186,岩手,牝5,54.0,鈴木祐,工藤裕,418.0,0.0,1:23.4,1/2,39.9,3.0,6.8,20260406-11-03
3.0,3,6,6,コルレーニョ,30042404796,岩手,牝4,54.0,佐々志,佐藤祐,417.0,-8.0,1:23.5,1/2,39.9,8.0,30.9,20260406-11-03
4.0,4,8,9,ジーティーワラワラ,30081404896,岩手,牡4,56.0,塚本涼,佐々由,435.0,0.0,1:23.6,3/4,39.5,6.0,13.1,20260406-11-03
5.0,5,7,8,ディーファンクス,30072406386,岩手,牡5,52.0,★齋藤友,齋藤雄,504.0,-3.0,1:23.8,1.1/4,39.0,7.0,15.7,20260406-11-03
6.0,6,8,10,アレグロコンブリオ,30023407396,岩手,牡4,54.0,△坂井瑛,菅原右,457.0,-3.0,1:23.8,ハナ,39.0,1.0,2.8,20260406-11-03
7.0,7,7,7,モンルネ,30004405286,岩手,牝5,54.0,村上忍,工藤裕,416.0,1.0,1:24.0,1.1/4,39.7,2.0,2.8,20260406-11-03
8.0,8,5,5,アンテニトルス,30074405896,岩手,牝4,52.0,◇関本玲,千葉幸,454.0,-1.0,1:24.4,2.1/2,40.6,5.0,11.4,20260406-11-03
9.0,9,2,2,ピースオブライツ,30002404096,岩手,牝4,54.0,高橋悠,三野通,427.0,2.0,1:26.1,10,41.8,4.0,8.1,20260406-11-03
,除外,3,3,ユニークカラー,30034401496,岩手,牡4,56.0,南郷家,佐藤敏,453.0,2.0,,,,,,20260406-11-03
1.0,1,2,2,セレスチャルホープ,30087408196,岩手,牝4,54.0,山本聡,陶文峰,490.0,-5.0,1:23.1,,38.3,1.0,1.2,20260406-11-04
2.0,2,8,9,フジサンワイシーシ,30042404586,岩手,牡5,56.0,村上忍,村上実,465.0,-4.0,1:23.6,3,39.3,9.0,55.6,20260406-11-04
3.0,3,4,4,ジュンツーポイント,30033402766,岩手,牡7,54.0,◇関本玲,高橋純,487.0,-2.0,1:23.8,1.1/4,38.0,10.0,86.8,20260406-11-04
