race_id,date,baba_code,baba_name,race_no,title,surface,distance,weather,going
20260406-11-01,2026-04-06,11,水沢,1,Ｃ２,ダート,850,晴,重
20260406-11-02,2026-04-06,11,水沢,2,Ｃ２,ダート,850,晴,稍重
20260406-11-03,2026-04-06,11,水沢,3,Ｃ２七組,ダート,1300,晴,稍重
20260406-11-04,2026-04-06,11,水沢,4,Ｃ２六組,ダート,1300,晴,稍重
20260406-11-05,2026-04-06,11,水沢,5,Ｃ２五組,ダート,1300,晴,稍重
20260406-11-06,2026-04-06,11,水沢,6,３歳Ｂ２二組,ダート,1400,晴,稍重
20260406-11-07,2026-04-06,11,水沢,7,３歳Ｂ２一組,ダート,1400,晴,稍重
20260406-11-08,2026-04-06,11,水沢,8,Ｂ１,ダート,1400,晴,稍重
20260406-11-09,2026-04-06,11,水沢,9,Ｂ２四組,ダート,1600,晴,稍重
20260406-11-10,2026-04-06,11,水沢,10,Ｂ２三組,ダート,1600,晴,稍重
20260406-11-11,2026-04-06,11,水沢,11,Ｂ２二組,ダート,1600,晴,稍重
20260406-11-12,2026-04-06,11,水沢,12,桜並木賞Ｂ１,ダート,1400,晴,稍重
20260406-21-01,2026-04-06,21,川崎,1,ツバメ賞Ｃ３選定馬,ダート,900,晴,不良
20260406-21-02,2026-04-06,21,川崎,2,３歳６,ダート,1400,晴,不良
20260406-21-03,2026-04-06,21,川崎,3,３歳５,ダート,1400,晴,重
20260406-21-04,2026-04-06,21,川崎,4,レインボー賞３歳未格付選定馬,ダート,900,晴,重
20260406-21-05,2026-04-06,21,川崎,5,鶴鷸（つるしぎ）賞３歳４,ダート,1400,晴,重
20260406-21-06,2026-04-06,21,川崎,6,Ｃ２一 二,ダート,1400,晴,重
20260406-21-07,2026-04-06,21,川崎,7,アスターテ賞Ｃ２Ｃ３選定馬,ダート,2000,晴,重
20260406-21-08,2026-04-06,21,川崎,8,Ｃ２一 二,ダート,1400,晴,重
20260406-21-09,2026-04-06,21,川崎,9,光速（こうそく）賞Ｃ１選定馬,ダート,900,晴,重
20260406-21-10,2026-04-06,21,川崎,10,卯の花月（うのはなづき）特別Ｂ３二 三 四,ダート,1500,晴,重
20260406-21-11,2026-04-06,21,川崎,11,疾風迅雷（しっぷうじんらい）賞Ａ２下選定馬,ダート,900,晴,重
20260406-21-12,2026-04-06,21,川崎,12,錨草（いかりそう）賞Ｃ２選定馬１,ダート,1500,晴,重
20260406-32-01,2026-04-06,32,佐賀,1,３歳－５組,ダート,1400,曇,重
20260406-32-02,2026-04-06,32,佐賀,2,Ｃ２－１１組,ダート,1400,曇,重
20260406-32-03,2026-04-06,32,佐賀,3,Ｃ２－１０組,ダート,1300,曇,重
20260406-32-04,2026-04-06,32,佐賀,4,Ｃ２－９組,ダート,1300,曇,重
20260406-32-05,2026-04-06,32,佐賀,5,Ｃ１－９組,ダート,1300,曇,重
20260406-32-06,2026-04-06,32,佐賀,6,Ｃ１－８組,ダート,1400,曇,重
20260406-32-07,2026-04-06,32,佐賀,7,Ｃ１－７組,ダート,1400,曇,重
20260406-32-08,2026-04-06,32,佐賀,8,サガデーナイト競馬賞Ｂ－４組,ダート,1400,曇,重
20260406-32-09,2026-04-06,32,佐賀,9,川上峡（かわかみきょう）特別３歳,ダート,1750,曇,重
20260406-32-10,2026-04-06,32,佐賀,10,佐賀桜花（さがおうか）特別Ｂ,ダート,1750,曇,重
20260406-32-11,2026-04-06,32,佐賀,11,ＳＡＧＡリベンジャーズダッシュＣ２,ダート,900,曇,重
