rank,rank_raw,waku,horse_no,horse_name,horse_id,affiliation,sex_age,weight_carried,jockey,trainer,body_weight,body_weight_diff,time,margin,last3f,popularity,win_odds,race_id
1.0,1,1,1,サンシップ,30075400876,大井,牡6,56.0,藤田凌,中道啓,474.0,20.0,1:43.8,,40.5,4.0,10.8,20260415-20-01
2.0,2,6,9,アイアムイブシギン,30074402786,大井,牡5,56.0,鷹見陸,澤佳宏,479.0,-6.0,1:44.0,1.1/4,41.2,5.0,16.2,20260415-20-01
3.0,3,6,10,ノンストップガール,30057407376,大井,牝6,54.0,和田譲,渡邉和,504.0,13.0,1:44.2,1,40.5,6.0,20.6,20260415-20-01
4.0,4,5,7,テンポルバート,40020404976,大井,牝6,54.0,田中洸,荒井朋,495.0,-4.0,1:44.7,2.1/2,40.6,10.0,51.5,20260415-20-01
5.0,5,8,13,ヤルヤン,40042401086,大井,牡5,56.0,石川倭,堀千亜,461.0,3.0,1:44.7,クビ,40.4,7.0,27.4,20260415-20-01
6.0,6,7,11,ラブリーヨシノ,30034400376,大井,牡6,56.0,菅原涼,荒井朋,451.0,0.0,1:45.1,2,41.9,2.0,5.2,20260415-20-01
7.0,7,4,6,ローゼンナイツ,30004404386,大井,牝5,51.0,▲西優哉,藤田輝,510.0,0.0,1:45.2,クビ,43.6,1.0,1.5,20260415-20-01
8.0,8,3,4,コーントップス,30077402086,大井,牝5,54.0,石川駿,松浦裕,418.0,-3.0,1:45.2,クビ,40.6,14.0,314.6,20260415-20-01
9.0,9,2,2,アストラン,30014405496,大井,セン4,56.0,達城龍,久保隆,472.0,6.0,1:45.3,3/4,40.5,8.0,44.9,20260415-20-01
10.0,10,4,5,ケルティックハーツ,30082402696,大井,牡4,56.0,吉井章,中道啓,516.0,-2.0,1:45.3,ハナ,41.8,3.0,9.0,20260415-20-01
11.0,11,5,8,ゴッドモード,30023407466,大井,牡7,56.0,張田昂,市村誠,476.0,1.0,1:45.4,クビ,40.8,11.0,127.4,20260415-20-01
12.0,12,7,12,ゴルデューク,30083406996,大井,牡4,53.0,▲杉山海,小野晋,464.0,0.0,1:45.4,ハナ,40.8,13.0,313.4,20260415-20-01
13.0,13,8,14,ブッコワース,30035407386,大井,牡5,56.0,藤本現,佐々洋,459.0,2.0,1:46.0,3,42.2,9.0,50.4,20260415-20-01
14.0,14,3,3,ブライトゲイザー,30017405496,大井,牡4,56.0,佐野遥,納谷和,503.0,9.0,1:46.8,4,42.4,12.0,142.7,20260415-20-01
