race_id,date,baba_code,baba_name,race_no,title,surface,distance,weather,going
20260415-20-01,2026-04-15,20,大井,1,Ｃ３四 五,ダート,1600,曇,良
20260415-20-02,2026-04-15,20,大井,2,Ｃ３四 五,ダート,1200,曇,良
20260415-20-03,2026-04-15,20,大井,3,３歳六 七 八,ダート,1600,曇,良
20260415-20-04,2026-04-15,20,大井,4,３歳六 七 八,ダート,1400,曇,良
20260415-20-05,2026-04-15,20,大井,5,３歳六 七 八,ダート,1200,曇,良
20260415-20-06,2026-04-15,20,大井,6,きりん座特別Ｃ２一選抜,ダート,1800,曇,良
20260415-20-07,2026-04-15,20,大井,7,Ｃ１六 七,ダート,1600,曇,良
20260415-20-08,2026-04-15,20,大井,8,オレンジ・ブロッサム賞Ｃ２三,ダート,2400,曇,良
20260415-20-09,2026-04-15,20,大井,9,スターゲイザー賞Ｂ３四,ダート,1800,雨,良
20260415-20-10,2026-04-15,20,大井,10,Ｃ１六 七,ダート,1200,雨,良
20260415-20-11,2026-04-15,20,大井,11,第３７回 東京スプリントJpnIII４上選定馬重賞,ダート,1200,雨,良
20260415-20-12,2026-04-15,20,大井,12,東風賞Ｂ２二選抜特別,ダート,1200,雨,良
20260415-23-01,2026-04-15,23,笠松,1,Ｃ１４組,ダート,1400,曇,良
20260415-23-02,2026-04-15,23,笠松,2,Ｃ１３組,ダート,1580,曇,良
20260415-23-03,2026-04-15,23,笠松,3,Ｃ１２組,ダート,1400,曇,良
20260415-23-04,2026-04-15,23,笠松,4,若葉特別３歳１－２,ダート,1400,曇,良
20260415-23-05,2026-04-15,23,笠松,5,Ｃ１１組,ダート,1400,雨,良
20260415-23-06,2026-04-15,23,笠松,6,Ｃ１０組,ダート,1580,雨,良
20260415-23-07,2026-04-15,23,笠松,7,Ｂ４組,ダート,1400,雨,稍重
20260415-23-08,2026-04-15,23,笠松,8,Ｂ３組,ダート,1580,雨,稍重
20260415-23-09,2026-04-15,23,笠松,9,鵜沼宿特別３歳２,ダート,1400,雨,稍重
20260415-23-10,2026-04-15,23,笠松,10,姫街道特別３歳１－１牝馬,ダート,1400,雨,稍重
20260415-27-01,2026-04-15,27,園田,1,Ｃ３三４歳以上,ダート,1400,曇,良
20260415-27-02,2026-04-15,27,園田,2,Ｃ３二４歳以上,ダート,1400,曇,良
20260415-27-03,2026-04-15,27,園田,3,Ｃ３一４歳以上,ダート,1400,曇,良
20260415-27-04,2026-04-15,27,園田,4,売布ガ丘（めふがおか）ダッシュＣ２二４歳以上,ダート,820,雨,良
20260415-27-05,2026-04-15,27,園田,5,社町（やしろちょう）スプリント３歳Ｃ１,ダート,1230,雨,良
20260415-27-06,2026-04-15,27,園田,6,Ｃ２一４歳以上,ダート,820,雨,稍重
20260415-27-07,2026-04-15,27,園田,7,Ｃ２二４歳以上,ダート,1400,雨,稍重
20260415-27-08,2026-04-15,27,園田,8,Ｃ２一４歳以上,ダート,1400,雨,稍重
20260415-27-09,2026-04-15,27,園田,9,Ｃ１二４歳以上特別,ダート,1400,雨,稍重
20260415-27-10,2026-04-15,27,園田,10,Ｃ１一４歳以上特別,ダート,1400,雨,稍重
20260415-27-11,2026-04-15,27,園田,11,春暖（しゅんだん）特別Ａ１Ａ２ ４歳以上,ダート,1230,雨,重
20260415-27-12,2026-04-15,27,園田,12,Ｂ１ ４歳以上特別,ダート,1400,雨,重
20260415-36-01,2026-04-15,36,門別,1,３歳条件　未勝利,ダート,1000,曇,良
20260415-36-02,2026-04-15,36,門別,2,３歳条件　未勝利,ダート,1000,曇,良
20260415-36-03,2026-04-15,36,門別,3,３歳条件　未勝利,ダート,1200,曇,良
20260415-36-04,2026-04-15,36,門別,4,３歳以上　Ｃ４－３,ダート,1200,曇,良
20260415-36-05,2026-04-15,36,門別,5,３歳以上　Ｃ４－３,ダート,1000,曇,良
20260415-36-06,2026-04-15,36,門別,6,ＪＲＡ認定スーパーフレッシュチャレンジ２歳新馬,ダート,1000,曇,良
20260415-36-07,2026-04-15,36,門別,7,３歳　Ｃ４　４０万円以下,ダート,1200,曇,良
20260415-36-08,2026-04-15,36,門別,8,３歳以上　Ｃ４－２,ダート,1000,曇,良
20260415-36-09,2026-04-15,36,門別,9,２５周年キレートレモン特別３歳オープン,ダート,1200,曇,良
20260415-36-10,2026-04-15,36,門別,10,グランシャリオドリーム１Ｃ４－３,ダート,1000,曇,良
20260415-36-11,2026-04-15,36,門別,11,門別開幕！すぱっと４倍特別Ｂ３～Ｃ１－１,ダート,1000,曇,良
20260415-36-12,2026-04-15,36,門別,12,エピファネイア・プレミアムＢ２～Ｂ４－１,ダート,1700,曇,良
