rank,rank_raw,waku,horse_no,horse_name,horse_id,affiliation,sex_age,weight_carried,jockey,trainer,body_weight,body_weight_diff,time,margin,last3f,popularity,win_odds,race_id
1.0,1,2,2,サンブル,30047402507,川崎,セン3,56.0,野畑凌,秋山直,501.0,-13.0,1:31.9,,39.5,1.0,1.6,20260409-21-01
2.0,2,6,6,ワイルドスマッシュ,30005401407,川崎,牡3,56.0,町田直,山崎尋,482.0,-5.0,1:32.9,5,40.3,2.0,2.7,20260409-21-01
3.0,3,4,4,ベアトゥース,30042406907,川崎,セン3,56.0,張田昂,古澤悟,461.0,-3.0,1:33.0,1/2,40.0,4.0,16.7,20260409-21-01
4.0,4,1,1,ラヴィッジ,30003407107,川崎,牡3,56.0,藤本現,内田勝,482.0,4.0,1:34.1,5,40.9,6.0,27.8,20260409-21-01
5.0,5,8,9,ティンガティンガ,30027401607,川崎,セン3,56.0,櫻井光,佐藤博,404.0,6.0,1:34.9,4,41.7,5.0,19.8,20260409-21-01
6.0,6,5,5,バックトラック,30016407407,川崎,セン3,56.0,古岡勇,山崎尋,446.0,9.0,1:35.5,3,41.9,9.0,115.7,20260409-21-01
7.0,7,7,7,アスパラノヴァ,30096402007,川崎,牡3,56.0,山林信,田邊陽,451.0,-1.0,1:35.7,1,41.1,8.0,87.7,20260409-21-01
8.0,8,3,3,トゥルービューティ,30003405907,川崎,牝3,54.0,田中涼,鈴木義,468.0,12.0,1:36.1,2,42.3,7.0,75.7,20260409-21-01
,,8,8,ヨルノマドンナ,30092405807,川崎,牝3,54.0,矢野貴,八木喜,504.0,-4.0,,中止,,3.0,9.3,20260409-21-01
1.0,1,4,4,ニットウアクシア,30084403996,川崎,牝4,54.0,伊藤裕,茂木浩,478.0,10.0,1:34.0,,39.9,1.0,1.4,20260409-21-02
2.0,2,6,7,ゴームズ,30075406596,川崎,牝4,54.0,野畑凌,佐々仁,473.0,-1.0,1:34.2,1,39.9,3.0,5.9,20260409-21-02
3.0,3,7,9,バリクパパン,30079404186,船橋,牝5,54.0,西村栄,佐々清,449.0,-3.0,1:34.9,3,40.4,10.0,155.4,20260409-21-02
4.0,4,2,2,ムンディ,30028403296,川崎,牝4,53.0,☆佐野遥,武井和,413.0,-1.0,1:35.1,3/4,40.4,5.0,22.5,20260409-21-02
5.0,5,6,8,カペラスター,30017402666,浦和,牡7,56.0,及川烈,工藤伸,496.0,0.0,1:35.2,3/4,39.7,6.0,23.9,20260409-21-02
6.0,6,7,10,リュウノファントム,30003400076,浦和,牡6,56.0,木間龍,野口孝,475.0,-6.0,1:35.3,3/4,40.2,4.0,18.6,20260409-21-02
7.0,7,1,1,ジーティーケリー,30042408096,川崎,牝4,54.0,山林信,村田順,398.0,2.0,1:35.5,1,39.5,8.0,78.9,20260409-21-02
8.0,8,3,3,ミカエンブレイス,30035405296,川崎,牝4,54.0,古岡勇,田邊陽,428.0,-5.0,1:35.6,クビ,39.9,9.0,129.3,20260409-21-02
9.0,9,8,11,グランツリッター,30039401196,川崎,牡4,56.0,櫻井光,田邊陽,459.0,-5.0,1:35.6,ハナ,40.7,12.0,189.9,20260409-21-02
10.0,10,5,5,メガミリオン,30014403756,川崎,牡8,56.0,池谷匠,田島寿,471.0,8.0,1:36.0,2,41.5,2.0,5.5,20260409-21-02
11.0,11,5,6,ダンシングハピリー,30058409876,川崎,牝6,54.0,本田紀,武井和,412.0,1.0,1:36.3,1.1/2,41.0,7.0,54.6,20260409-21-02
12.0,12,8,12,ブルーレンジャー,30002409486,川崎,牝5,51.0,▲加藤雄,河津裕,460.0,-4.0,1:37.3,5,41.5,11.0,158.1,20260409-21-02
1.0,1,6,8,リコースチェッキン,30044407276,川崎,牝6,53.0,☆佐野遥,久保秀,425.0,37.0,1:33.8,,40.3,4.0,5.9,20260409-21-03
2.0,2,4,4,ヴァンクールシチー,30097403766,浦和,牡7,56.0,半澤慶,工藤伸,436.0,-3.0,1:33.9,3/4,39.8,7.0,20.8,20260409-21-03
3.0,3,3,3,シルヴァギンジ,30035404166,川崎,牡7,56.0,伊藤裕,田邊陽,500.0,14.0,1:34.3,2,40.6,5.0,14.6,20260409-21-03
4.0,4,5,5,ヒナボンボン,40050405986,川崎,牝5,54.0,岡村健,古澤悟,504.0,3.0,1:34.7,2,40.8,6.0,18.0,20260409-21-03
5.0,5,8,11,ジーニーボニータ,30078401066,浦和,牡7,56.0,見越彬,水野貴,501.0,-5.0,1:34.8,1/2,40.3,3.0,5.6,20260409-21-03
6.0,6,7,9,ニットウサニー,30058406676,川崎,牝6,54.0,新原周,林隆之,453.0,4.0,1:34.9,クビ,40.4,1.0,2.1,20260409-21-03
7.0,7,7,10,ディバインウィル,30087403086,川崎,牝5,54.0,福原杏,田島寿,392.0,0.0,1:35.0,1/2,40.3,11.0,152.9,20260409-21-03
8.0,8,2,2,ローゼシュティア,30047406266,川崎,牝7,54.0,本田紀,八木喜,474.0,-5.0,1:35.4,2,39.9,12.0,176.1,20260409-21-03
9.0,9,5,6,ヤサカソレイユ,30047408076,川崎,牡6,56.0,池谷匠,村田六,457.0,-3.0,1:35.4,ハナ,40.7,2.0,5.2,20260409-21-03
10.0,10,1,1,ヤンキージャック,30068409896,川崎,牝4,54.0,中越琉,武井和,401.0,-1.0,1:35.5,クビ,41.6,10.0,78.1,20260409-21-03
11.0,11,6,7,シェナチチカカ,30023401866,川崎,牝7,54.0,岡村裕,山田正,398.0,1.0,1:36.0,2.1/2,41.7,8.0,38.8,20260409-21-03
12.0,12,8,12,ジャスティラック,30095404696,川崎,牡4,56.0,古岡勇,長友豊,445.0,-2.0,1:36.1,1/2,40.2,9.0,60.7,20260409-21-03
1.0,1,1,1,ロジステート,30025405396,川崎,牝4,54.0,野畑凌,佐藤博,495.0,14.0,0:55.8,,38.5,1.0,1.8,20260409-21-04
2.0,2,3,3,カナサンドー,30023401686,川崎,牝5,54.0,藤江渉,今井輝,396.0,9.0,0:56.2,2,38.9,7.0,39.3,20260409-21-04
3.0,3,6,7,ロワン,30073404396,川崎,牝4,54.0,櫻井光,八木喜,414.0,-4.0,0:56.2,ハナ,38.6,6.0,22.3,20260409-21-04
4.0,4,4,4,ダイナマイトブル,30042403976,川崎,牡6,56.0,達城龍,久保勇,459.0,2.0,0:56.3,クビ,38.3,2.0,3.8,20260409-21-04
5.0,5,2,2,ヴィンチェンツォ,30088408076,川崎,牡6,55.0,☆佐野遥,安池成,481.0,-20.0,0:56.6,1.1/2,38.6,4.0,7.8,20260409-21-04
6.0,6,5,5,ジュニパーダンス,30022404156,浦和,牝8,54.0,及川烈,酒井一,433.0,-1.0,0:57.1,2.1/2,38.8,9.0,114.8,20260409-21-04
7.0,7,5,6,ヘブリディーズ,30025406686,川崎,牝5,54.0,池谷匠,古澤悟,485.0,4.0,0:57.3,3/4,38.4,5.0,9.6,20260409-21-04
8.0,8,8,11,キーチパーヘチュア,30016407296,川崎,牡4,56.0,山林信,田邊陽,403.0,-5.0,0:57.4,1/2,39.1,10.0,216.9,20260409-21-04
9.0,9,6,8,ケイティーユイ,30085409556,浦和,牝8,54.0,高橋哲,水野貴,449.0,-3.0,0:57.4,ハナ,38.8,8.0,84.3,20260409-21-04
10.0,10,7,9,ガールズドリーム,30075409976,川崎,牝6,51.0,▲加藤雄,内田勝,434.0,-3.0,0:57.6,1,40.0,3.0,7.8,20260409-21-04
11.0,11,8,12,クリナデシコ,30005402996,川崎,牝4,54.0,岡村裕,山田正,467.0,0.0,0:59.4,9,40.8,11.0,290.4,20260409-21-04
,除外,7,10,タノシサ,30068406886,川崎,牝5,54.0,岡村健,林隆之,490.0,10.0,,,,,,20260409-21-04
1.0,1,8,11,トンヤイビーン,30094401996,川崎,牡4,56.0,野畑凌,田邊陽,519.0,0.0,1:32.6,,40.0,1.0,2.0,20260409-21-05
2.0,2,2,2,ヘヴンリーゴール,30063409096,川崎,牡4,56.0,矢野貴,吉橋淳,485.0,1.0,1:33.3,3,40.5,2.0,2.0,20260409-21-05
3.0,3,5,6,リンテンリュウ,30014408596,川崎,牝4,54.0,池谷匠,高橋宏,498.0,10.0,1:33.6,1.1/2,40.8,6.0,51.6,20260409-21-05
4.0,4,3,3,アディモレナ,30092407296,川崎,牡4,56.0,山林信,佐々仁,522.0,-2.0,1:33.7,1/2,41.1,10.0,155.0,20260409-21-05
5.0,5,5,5,スマイルフェリス,30002401286,川崎,牝5,53.0,☆佐野遥,高橋宏,520.0,10.0,1:33.8,3/4,40.3,3.0,7.6,20260409-21-05
6.0,6,6,8,タイキレヴィン,30055404086,川崎,牡5,56.0,増田充,武井和,497.0,11.0,1:33.9,クビ,41.1,9.0,121.8,20260409-21-05
7.0,7,4,4,ポルタフェリーチェ,30085406896,川崎,牝4,54.0,伊藤裕,平田正,467.0,4.0,1:34.2,1.1/2,40.7,11.0,170.9,20260409-21-05
8.0,8,1,1,キアラボヌール,30005402886,川崎,牝5,51.0,▲加藤雄,田島寿,411.0,-3.0,1:34.2,アタマ,41.1,8.0,95.3,20260409-21-05
9.0,9,8,12,ルグランブルー,30006402766,浦和,牝7,54.0,七夕裕,工藤伸,454.0,-3.0,1:34.6,2,41.7,5.0,35.1,20260409-21-05
10.0,10,7,10,テマリ,30048400576,川崎,牝6,54.0,古岡勇,武井和,430.0,2.0,1:34.8,1,41.5,4.0,20.2,20260409-21-05
11.0,11,7,9,ユメミ,30073403696,川崎,牝4,54.0,櫻井光,八木喜,407.0,-3.0,1:35.1,1.1/2,41.6,12.0,238.3,20260409-21-05
12.0,12,6,7,マイカグラ,30083404376,川崎,牝6,54.0,藤江渉,武井和,411.0,-4.0,1:35.1,クビ,41.8,7.0,79.8,20260409-21-05
1.0,1,5,5,ハーイバービー,30008408696,川崎,牝4,54.0,矢野貴,山崎尋,450.0,8.0,0:55.7,,37.9,2.0,3.5,20260409-21-06
2.0,2,2,2,ランウェイクイーン,30002407486,浦和,牝5,54.0,新原周,小澤宏,469.0,-1.0,0:55.9,1,37.9,5.0,9.2,20260409-21-06
3.0,3,4,4,メイショウユウモウ,30083401396,川崎,セン4,56.0,岡村裕,武井和,425.0,-4.0,0:55.9,クビ,38.1,4.0,6.7,20260409-21-06
4.0,4,7,10,カウニスミエリ,30088402196,川崎,牝4,54.0,田中涼,久保勇,424.0,0.0,0:56.0,3/4,38.6,6.0,19.8,20260409-21-06
5.0,5,6,8,マオノボルケーノ,30022406786,川崎,牝5,54.0,町田直,平田正,474.0,3.0,0:56.1,1/2,37.7,3.0,5.6,20260409-21-06
6.0,6,6,7,コウユーミューミュ,30093404096,浦和,牝4,54.0,半澤慶,宇野博,488.0,-14.0,0:56.2,1/2,37.8,8.0,44.2,20260409-21-06
7.0,7,7,9,ダズリングプレイス,30048407786,川崎,牝5,54.0,藤江渉,平田正,427.0,5.0,0:56.4,3/4,38.8,10.0,88.8,20260409-21-06
8.0,8,3,3,トウヨウノマジョ,30092409676,川崎,牝6,54.0,本田紀,山田正,450.0,0.0,0:56.5,3/4,38.1,9.0,73.7,20260409-21-06
9.0,9,8,12,ミヤジミニー,30072400876,川崎,牝6,54.0,鷹見陸,田邊陽,420.0,-1.0,0:56.7,1,38.5,7.0,27.8,20260409-21-06
10.0,10,5,6,ステラブローニュ,30013402696,浦和,牝4,53.0,☆中山遥,工藤伸,461.0,-4.0,0:56.8,クビ,38.2,1.0,2.5,20260409-21-06
11.0,11,8,11,リバーフロント,30091404996,浦和,牝4,54.0,菅原涼,藤原智,429.0,-5.0,0:57.0,1,39.2,12.0,269.9,20260409-21-06
12.0,12,1,1,シーメジャー,30097401086,浦和,牝5,54.0,木間龍,野口寛,473.0,3.0,0:57.0,クビ,38.2,11.0,223.3,20260409-21-06
1.0,1,7,10,アマモト,30014407986,川崎,牡5,56.0,福原杏,山崎裕,475.0,-2.0,1:32.2,,39.6,5.0,17.1,20260409-21-07
2.0,2,6,7,ブルーオブウインド,30088400296,浦和,牝4,54.0,高橋哲,川村守,444.0,-9.0,1:32.7,2.1/2,40.7,7.0,31.3,20260409-21-07
