race_id,bet_type,combination,amount,popularity
20260409-21-01,win,2,160,1
20260409-21-01,place,2,120,2
20260409-21-01,place,6,110,1
20260409-21-01,place,4,210,6
20260409-21-01,bracket,2-6,280,1
20260409-21-01,quinella,2-6,270,1
20260409-21-01,bracket_exacta,2-6,560,1
20260409-21-01,exacta,2-6,480,1
20260409-21-01,wide,2-6,140,1
20260409-21-01,wide,2-4,540,9
20260409-21-01,wide,4-6,380,6
20260409-21-01,trio,2-4-6,800,2
20260409-21-01,trifecta,2-6-4,2740,5
20260409-21-02,win,4,140,1
20260409-21-02,place,4,100,1
20260409-21-02,place,7,160,2
20260409-21-02,place,9,1220,9
20260409-21-02,bracket,4-6,340,2
20260409-21-02,quinella,4-7,380,2
20260409-21-02,bracket_exacta,4-6,490,2
20260409-21-02,exacta,4-7,540,2
20260409-21-02,wide,4-7,250,2
20260409-21-02,wide,4-9,2820,23
20260409-21-02,wide,7-9,4180,30
20260409-21-02,trio,4-7-9,13490,31
20260409-21-02,trifecta,4-7-9,30980,88
20260409-21-03,win,8,590,4
20260409-21-03,place,8,300,4
20260409-21-03,place,4,750,7
20260409-21-03,place,3,570,6
20260409-21-03,bracket,4-6,3530,13
20260409-21-03,quinella,4-8,4550,17
20260409-21-03,bracket_exacta,6-4,5630,17
20260409-21-03,exacta,8-4,7290,28
20260409-21-03,wide,4-8,1570,20
20260409-21-03,wide,3-8,1250,16
20260409-21-03,wide,3-4,2110,23
20260409-21-03,trio,3-4-8,12480,41
20260409-21-03,trifecta,8-4-3,54880,182
20260409-21-04,win,1,180,1
20260409-21-04,place,1,150,2
20260409-21-04,place,3,560,7
20260409-21-04,place,7,440,6
20260409-21-04,bracket,1-3,4440,17
20260409-21-04,quinella,1-3,3510,13
20260409-21-04,bracket_exacta,1-3,6790,28
20260409-21-04,exacta,1-3,4290,19
20260409-21-04,wide,1-3,1350,16
20260409-21-04,wide,1-7,830,12
20260409-21-04,wide,3-7,2290,22
20260409-21-04,trio,1-3-7,8210,30
20260409-21-04,trifecta,1-3-7,31870,121
20260409-21-05,win,11,200,1
20260409-21-05,place,11,120,1
20260409-21-05,place,2,130,2
20260409-21-05,place,6,450,7
20260409-21-05,bracket,2-8,200,1
20260409-21-05,quinella,2-11,180,1
20260409-21-05,bracket_exacta,8-2,330,1
