race_id,date,baba_code,baba_name,race_no,title,surface,distance,weather,going
20260409-21-01,2026-04-09,21,川崎,1,３歳７,ダート,1400,晴,稍重
20260409-21-02,2026-04-09,21,川崎,2,Ｃ３三 四,ダート,1400,晴,稍重
20260409-21-03,2026-04-09,21,川崎,3,Ｃ３三 四,ダート,1400,晴,稍重
20260409-21-04,2026-04-09,21,川崎,4,スズメ賞Ｃ３選定馬,ダート,900,晴,稍重
20260409-21-05,2026-04-09,21,川崎,5,Ｃ２七,ダート,1400,晴,稍重
20260409-21-06,2026-04-09,21,川崎,6,春雷（しゅんらい）賞Ｃ２選定馬,ダート,900,晴,稍重
20260409-21-07,2026-04-09,21,川崎,7,Ｃ１三,ダート,1400,晴,稍重
20260409-21-08,2026-04-09,21,川崎,8,アルテミス賞Ｃ２選定馬,ダート,2000,晴,稍重
20260409-21-09,2026-04-09,21,川崎,9,小手毬（こでまり）賞Ｃ１選定馬,ダート,1600,晴,稍重
20260409-21-10,2026-04-09,21,川崎,10,星雲疾駆（せいうんしっく）賞Ｂ２選定馬,ダート,900,晴,稍重
20260409-21-11,2026-04-09,21,川崎,11,幸（さいわい）オープンＡ１下４歳上,ダート,1500,晴,稍重
20260409-21-12,2026-04-09,21,川崎,12,若草（わかくさ）特別Ｂ３二 三 四,ダート,1400,晴,稍重
20260409-24-01,2026-04-09,24,名古屋,1,Ｃ１８組,ダート,920,晴,稍重
20260409-24-02,2026-04-09,24,名古屋,2,Ｃ１７組,ダート,1500,晴,稍重
20260409-24-03,2026-04-09,24,名古屋,3,Ｃ１６組,ダート,1400,晴,稍重
20260409-24-04,2026-04-09,24,名古屋,4,Ｃ１５組,ダート,1400,曇,稍重
20260409-24-05,2026-04-09,24,名古屋,5,Ｂ８組,ダート,1400,曇,稍重
20260409-24-06,2026-04-09,24,名古屋,6,ゆうき・なつみ結婚記念Ｃ１４,ダート,1500,曇,稍重
20260409-24-07,2026-04-09,24,名古屋,7,エイプリルドリーム戦（牝馬）３歳特別,ダート,1700,曇,稍重
20260409-24-08,2026-04-09,24,名古屋,8,Ｂ７組,ダート,1500,曇,稍重
20260409-24-09,2026-04-09,24,名古屋,9,徒桜（あだざくら）特別Ａ４,ダート,1400,雨,稍重
20260409-24-10,2026-04-09,24,名古屋,10,大寒桜（おおかんざくら）賞Ｂ６,ダート,1500,雨,稍重
20260409-24-11,2026-04-09,24,名古屋,11,第３２回 東海クイーンカップ３歳牝馬オープン,ダート,1700,雨,稍重
20260409-24-12,2026-04-09,24,名古屋,12,染井吉野（そめいよしの）賞Ｃ１３,ダート,1500,雨,稍重
20260409-27-01,2026-04-09,27,園田,1,Ｃ３四４歳以上,ダート,1400,晴,良
20260409-27-02,2026-04-09,27,園田,2,Ｃ３三４歳以上,ダート,1400,曇,良
20260409-27-03,2026-04-09,27,園田,3,Ｃ３二４歳以上,ダート,1400,曇,良
20260409-27-04,2026-04-09,27,園田,4,来住町（きしちょう）７ハロンＣ２二４歳以上,ダート,1400,曇,良
20260409-27-05,2026-04-09,27,園田,5,浄谷町（きよたにちょう）７ハロンＣ２一４歳以上,ダート,1400,曇,良
20260409-27-06,2026-04-09,27,園田,6,Ｃ３一４歳以上,ダート,1400,曇,良
20260409-27-07,2026-04-09,27,園田,7,３歳Ｃ１二,ダート,1400,曇,良
20260409-27-08,2026-04-09,27,園田,8,３歳Ｃ１一,ダート,1400,曇,良
20260409-27-09,2026-04-09,27,園田,9,Ｃ２ ４歳以上特別,ダート,1700,曇,良
20260409-27-10,2026-04-09,27,園田,10,Ｂ２ ４歳以上特別,ダート,1230,曇,良
20260409-27-11,2026-04-09,27,園田,11,陽炎（かげろう）特別３歳ＡＢ,ダート,1400,曇,良
20260409-27-12,2026-04-09,27,園田,12,Ｃ１ ４歳以上,ダート,820,曇,良
