rank,rank_raw,waku,horse_no,horse_name,horse_id,affiliation,sex_age,weight_carried,jockey,trainer,body_weight,body_weight_diff,time,margin,last3f,popularity,win_odds,race_id
1.0,1,7,9,クリスプオブウォー,30056407076,船橋,牡6,56.0,山中悠,佐々清,503.0,-8.0,1:16.5,,39.0,2.0,3.4,20260402-19-01
2.0,2,8,11,ニットウアクシア,30084403996,川崎,牝4,54.0,伊藤裕,茂木浩,468.0,20.0,1:17.4,4,39.4,4.0,6.7,20260402-19-01
3.0,3,8,10,フェアリーランド,30065405466,船橋,牝7,54.0,本田重,山田信,468.0,-5.0,1:18.3,4,40.6,3.0,4.4,20260402-19-01
4.0,4,4,4,セイダンシング,30094403966,船橋,牡7,56.0,高橋利,玉井昇,479.0,-3.0,1:18.5,1.1/2,39.4,9.0,57.2,20260402-19-01
5.0,5,2,2,ミカサ,30078404286,浦和,牡5,56.0,見越彬,小久智,494.0,-15.0,1:18.5,ハナ,40.6,6.0,15.2,20260402-19-01
6.0,6,1,1,セイウンヤタガラス,30064405796,川崎,牡4,56.0,山林信,田邊陽,434.0,-6.0,1:19.0,2.1/2,40.5,5.0,13.6,20260402-19-01
7.0,7,7,8,ムンディ,30028403296,川崎,牝4,54.0,達城龍,武井和,414.0,-4.0,1:19.1,クビ,40.6,7.0,26.4,20260402-19-01
8.0,8,3,3,ラブミーエール,30063404786,船橋,牝5,54.0,岡村健,渋谷博,495.0,-4.0,1:19.3,1.1/2,41.1,11.0,126.9,20260402-19-01
9.0,9,5,5,シャイニングアース,40080400886,船橋,牡5,56.0,小杉亮,矢野義,470.0,-7.0,1:19.3,ハナ,40.0,1.0,2.8,20260402-19-01
10.0,10,6,6,ノワスティエ,30037406296,浦和,牝4,54.0,七夕裕,工藤伸,429.0,1.0,1:19.5,1,41.0,8.0,40.6,20260402-19-01
11.0,11,6,7,タワーオブプリンス,30053407596,船橋,牡4,56.0,野澤憲,佐々清,487.0,-2.0,1:20.3,4,42.0,10.0,99.1,20260402-19-01
1.0,1,6,6,ベルヴィヴァン,30096404996,船橋,牝4,54.0,本田重,川島一,506.0,2.0,1:15.9,,39.8,1.0,1.0,20260402-19-02
2.0,2,8,9,シェルヴァレイ,30053400996,船橋,牡4,56.0,山中悠,玉井昇,450.0,-2.0,1:17.1,6,39.4,8.0,86.4,20260402-19-02
3.0,3,2,2,ダンガリー,30065404386,船橋,牡5,56.0,小杉亮,林正人,482.0,0.0,1:17.5,2,39.5,2.0,7.4,20260402-19-02
4.0,4,1,1,スティールチャーム,30098405896,船橋,牝4,54.0,仲野光,渡邊貴,482.0,5.0,1:17.6,1/2,39.8,4.0,34.7,20260402-19-02
5.0,5,5,5,サヴォーカ,30065406596,船橋,牝4,52.0,△所　蛍,山下之,449.0,-13.0,1:17.9,1.1/2,39.8,6.0,61.8,20260402-19-02
6.0,6,8,8,スマイルナゴミ,30089408296,船橋,牝4,54.0,岡村健,凾館一,456.0,-2.0,1:18.5,3,39.9,7.0,62.3,20260402-19-02
7.0,7,3,3,スクラマサクス,30033406486,船橋,牡5,56.0,山本紀,渡邊貴,471.0,4.0,1:18.5,クビ,40.7,5.0,45.5,20260402-19-02
8.0,8,7,7,レバット,30016406296,浦和,牡4,56.0,半澤慶,宇野博,510.0,-2.0,1:19.0,2.1/2,42.1,3.0,14.4,20260402-19-02
9.0,9,4,4,タイニービキニ,30017400196,船橋,牝4,54.0,福原杏,山本学,414.0,5.0,1:19.5,2.1/2,41.0,9.0,132.5,20260402-19-02
1.0,1,6,8,アドラマリク,30073401896,船橋,牡4,56.0,澤田龍,新井清,494.0,0.0,1:38.6,,41.5,7.0,12.5,20260402-19-03
2.0,2,6,7,テリオスボス,30012409486,船橋,牡5,56.0,和田譲,佐々功,521.0,-1.0,1:39.3,3,41.6,4.0,5.7,20260402-19-03
3.0,3,8,11,ビジューメファ,30008408486,船橋,牝5,54.0,福原杏,山本学,422.0,3.0,1:40.3,5,41.5,8.0,16.0,20260402-19-03
4.0,4,5,5,ワールドクライシス,30045403396,船橋,牡4,56.0,本田重,新井清,502.0,-11.0,1:40.4,1/2,42.1,3.0,5.5,20260402-19-03
5.0,5,3,3,ジャスマン,30004406996,船橋,牡4,56.0,町田直,佐々功,506.0,3.0,1:40.6,3/4,42.2,1.0,4.5,20260402-19-03
6.0,6,1,1,エリセイラ,30077405096,船橋,牝4,54.0,野畑凌,齊藤敏,441.0,0.0,1:41.0,2,41.4,9.0,17.0,20260402-19-03
7.0,7,8,12,サンマルディライト,30067403966,船橋,牡7,56.0,岡村健,川島一,481.0,-5.0,1:41.1,クビ,42.8,2.0,5.4,20260402-19-03
