race_id,date,baba_code,baba_name,race_no,title,surface,distance,weather,going
20260402-19-01,2026-04-02,19,船橋,1,Ｃ３三,ダート,1200,曇,不良
20260402-19-02,2026-04-02,19,船橋,2,Ｃ２九 十,ダート,1200,晴,不良
20260402-19-03,2026-04-02,19,船橋,3,Ｃ２九 十,ダート,1500,晴,不良
20260402-19-04,2026-04-02,19,船橋,4,Ｃ１二 三 四ウ,ダート,1200,晴,不良
20260402-19-05,2026-04-02,19,船橋,5,牡羊座スプリント３歳未格選抜馬,ダート,1200,晴,不良
20260402-19-06,2026-04-02,19,船橋,6,ナイスハルター特別３歳未格選抜馬ＪＲＡ所属馬,ダート,1600,晴,不良
20260402-19-07,2026-04-02,19,船橋,7,マックホルツダッシュＣ１選抜馬,ダート,1000,晴,不良
20260402-19-08,2026-04-02,19,船橋,8,馬い！淡路うしろ農園玉ねぎ記念Ｃ１二 三 四イ,ダート,1200,晴,不良
20260402-19-09,2026-04-02,19,船橋,9,クローバースプリントＢ２Ｂ３選抜馬,ダート,1200,晴,不良
20260402-19-10,2026-04-02,19,船橋,10,桜ドローンショー４月１８日開催！Ｃ１二 三 四ア,ダート,1600,晴,不良
20260402-19-11,2026-04-02,19,船橋,11,こぼれ桜特別Ａ２二Ｂ１一,ダート,1800,晴,不良
20260402-19-12,2026-04-02,19,船橋,12,アンデルセン特別Ａ２一,ダート,1800,晴,不良
20260402-23-01,2026-04-02,23,笠松,1,Ｃ１４組,ダート,1400,晴,重
20260402-23-02,2026-04-02,23,笠松,2,Ｃ１３組,ダート,1400,晴,重
20260402-23-03,2026-04-02,23,笠松,3,Ｃ１２組,ダート,1580,晴,重
20260402-23-04,2026-04-02,23,笠松,4,Ｃ１１組,ダート,1400,晴,重
20260402-23-05,2026-04-02,23,笠松,5,Ｂ１０組,ダート,1400,晴,重
20260402-23-06,2026-04-02,23,笠松,6,Ｂ９組,ダート,1580,晴,重
20260402-23-07,2026-04-02,23,笠松,7,Ｂ８組,ダート,1400,晴,稍重
20260402-23-08,2026-04-02,23,笠松,8,３歳３組,ダート,1400,晴,稍重
20260402-23-09,2026-04-02,23,笠松,9,太田宿特別３歳２,ダート,1400,晴,稍重
20260402-23-10,2026-04-02,23,笠松,10,マメザクラ特別３歳,ダート,1580,晴,稍重
20260402-23-11,2026-04-02,23,笠松,11,第３回 笠松プリンシパルカップ３歳・オープン,ダート,1900,晴,稍重
20260402-27-01,2026-04-02,27,園田,1,Ｃ３五４歳以上,ダート,1400,晴,重
20260402-27-02,2026-04-02,27,園田,2,Ｃ３四４歳以上,ダート,1400,晴,重
20260402-27-03,2026-04-02,27,園田,3,Ｃ３三４歳以上,ダート,1400,晴,重
20260402-27-04,2026-04-02,27,園田,4,口銀谷（くちがなや）ダッシュ３歳Ｃ１Ｃ２,ダート,820,晴,重
20260402-27-05,2026-04-02,27,園田,5,田路（とうじ）７ハロンＣ２二４歳以上,ダート,1400,晴,重
20260402-27-06,2026-04-02,27,園田,6,Ｃ３二４歳以上,ダート,1400,晴,重
20260402-27-07,2026-04-02,27,園田,7,Ｃ３一４歳以上,ダート,1400,晴,重
20260402-27-08,2026-04-02,27,園田,8,Ｃ２一４歳以上,ダート,1400,晴,重
20260402-27-09,2026-04-02,27,園田,9,Ｃ１ ４歳以上,ダート,1230,晴,重
20260402-27-10,2026-04-02,27,園田,10,青馬ひすみ☆配信記念２ｎｄＢ１ ４歳以上特別,ダート,1400,晴,重
20260402-27-11,2026-04-02,27,園田,11,第５８回 菊水賞３歳登録馬,ダート,1700,晴,重
20260402-27-12,2026-04-02,27,園田,12,全開で！馬九行久！青馬ひすみ賞Ｂ２ ４歳以上特別,ダート,1400,晴,重
