race_id,bet_type,votes,returned_votes
20260802-31-07,place,45665,0
20260802-31-07,quinella,47397,0
20260802-31-07,trio,104313,0
20260802-31-07,bracket,5620,0
20260802-31-07,exacta,37267,0
20260802-31-07,trifecta,207121,0
20260802-31-08,win,124414,0
20260802-31-08,bracket_exacta,0,0
20260802-31-08,wide,168334,0
20260802-31-08,place,99152,0
20260802-31-08,quinella,118901,0
20260802-31-08,trio,327025,0
20260802-31-08,bracket,19547,0
20260802-31-08,exacta,153387,0
20260802-31-08,trifecta,1234395,0
20260802-31-09,win,47967,0
20260802-31-09,bracket_exacta,0,0
20260802-31-09,wide,41563,0
20260802-31-09,place,22995,0
20260802-31-09,quinella,36442,0
20260802-31-09,trio,92535,0
20260802-31-09,bracket,0,0
20260802-31-09,exacta,38285,0
20260802-31-09,trifecta,259387,0
20260802-31-10,win,59689,0
20260802-31-10,bracket_exacta,0,0
20260802-31-10,wide,55010,0
20260802-31-10,place,32351,0
20260802-31-10,quinella,37666,0
20260802-31-10,trio,103838,0
20260802-31-10,bracket,0,0
20260802-31-10,exacta,56477,0
20260802-31-10,trifecta,422479,0
20260802-31-11,win,179043,0
20260802-31-11,bracket_exacta,0,0
20260802-31-11,wide,341200,0
20260802-31-11,place,119869,0
20260802-31-11,quinella,274791,0
20260802-31-11,trio,1148887,0
20260802-31-11,bracket,31275,0
20260802-31-11,exacta,149591,0
20260802-31-11,trifecta,2013227,0
20260802-03-01,win,14453,0
20260802-03-01,bracket_exacta,0,0
20260802-03-01,wide,15274,0
20260802-03-01,place,10019,0
20260802-03-01,quinella,15290,0
20260802-03-01,trio,30785,0
20260802-03-01,bracket,3537,0
20260802-03-01,exacta,14825,0
20260802-03-01,trifecta,79308,0
20260802-03-02,win,10884,0
20260802-03-02,bracket_exacta,0,0
20260802-03-02,wide,12399,0
20260802-03-02,place,8432,0
20260802-03-02,quinella,14009,0
20260802-03-02,trio,27908,0
20260802-03-02,bracket,2747,0
20260802-03-02,exacta,10958,0
20260802-03-02,trifecta,62700,0
20260802-03-03,win,16352,0
20260802-03-03,bracket_exacta,0,0
20260802-03-03,wide,11377,0
20260802-03-03,place,7941,0
20260802-03-03,quinella,13753,0
20260802-03-03,trio,30235,0
20260802-03-03,bracket,3418,0
20260802-03-03,exacta,12880,0
20260802-03-03,trifecta,73845,0
20260802-03-04,win,21918,0
20260802-03-04,bracket_exacta,0,0
20260802-03-04,wide,18916,0
20260802-03-04,place,9003,0
20260802-03-04,quinella,19721,0
20260802-03-04,trio,40949,0
20260802-03-04,bracket,2617,0
20260802-03-04,exacta,15542,0
20260802-03-04,trifecta,91900,0
20260802-03-05,win,19004,0
20260802-03-05,bracket_exacta,0,0
20260802-03-05,wide,16872,0
20260802-03-05,place,11096,0
20260802-03-05,quinella,19834,0
20260802-03-05,trio,36205,0
20260802-03-05,bracket,2721,0
20260802-03-05,exacta,15664,0
20260802-03-05,trifecta,110231,0
20260802-03-06,win,15717,0
20260802-03-06,bracket_exacta,0,0
20260802-03-06,wide,14170,0
20260802-03-06,place,7209,0
20260802-03-06,quinella,15647,0
20260802-03-06,trio,36357,0
20260802-03-06,bracket,3078,0
20260802-03-06,exacta,14690,0
20260802-03-06,trifecta,92509,0
20260802-03-07,win,13879,0
20260802-03-07,bracket_exacta,0,0
20260802-03-07,wide,16383,0
20260802-03-07,place,8744,0
20260802-03-07,quinella,15361,0
20260802-03-07,trio,38955,0
20260802-03-07,bracket,3085,0
20260802-03-07,exacta,14222,0
20260802-03-07,trifecta,93641,0
20260802-03-08,win,19051,0
20260802-03-08,bracket_exacta,0,0
20260802-03-08,wide,21265,0
20260802-03-08,place,11762,0
20260802-03-08,quinella,19943,0
20260802-03-08,trio,53282,0
20260802-03-08,bracket,3772,0
20260802-03-08,exacta,18822,0
20260802-03-08,trifecta,104457,0
20260802-03-09,win,30250,0
20260802-03-09,bracket_exacta,0,0
20260802-03-09,wide,30604,0
20260802-03-09,place,18794,0
20260802-03-09,quinella,27790,0
20260802-03-09,trio,69147,0
20260802-03-09,bracket,4955,0
20260802-03-09,exacta,22428,0
20260802-03-09,trifecta,150355,0
20260802-03-10,win,34670,0
20260802-03-10,bracket_exacta,0,0
20260802-03-10,wide,47554,0
20260802-03-10,place,22787,0
20260802-03-10,quinella,34607,0
20260802-03-10,trio,77187,0
20260802-03-10,bracket,5326,0
20260802-03-10,exacta,35935,0
20260802-03-10,trifecta,224573,0
20260802-03-11,win,52369,0
20260802-03-11,bracket_exacta,0,0
20260802-03-11,wide,62414,0
20260802-03-11,place,37951,0
20260802-03-11,quinella,47860,0
20260802-03-11,trio,121944,0
20260802-03-11,bracket,9508,0
20260802-03-11,exacta,45754,0
20260802-03-11,trifecta,267033,0
20260802-03-12,win,49945,33
20260802-03-12,bracket_exacta,0,0
20260802-03-12,wide,64730,76
20260802-03-12,place,28112,10
20260802-03-12,quinella,45685,63
20260802-03-12,trio,121231,457
20260802-03-12,bracket,7550,1
20260802-03-12,exacta,41776,81
20260802-03-12,trifecta,260595,928
20260802-10-01,win,14968,0
20260802-10-01,bracket_exacta,0,0
20260802-10-01,wide,36797,0
20260802-10-01,place,101387,0
20260802-10-01,quinella,20092,0
20260802-10-01,trio,48144,0
20260802-10-01,bracket,10022,0
20260802-10-01,exacta,24858,0
20260802-10-01,trifecta,206931,0
20260802-10-02,win,29512,0
20260802-10-02,bracket_exacta,0,0
20260802-10-02,wide,31266,0
20260802-10-02,place,23764,0
20260802-10-02,quinella,23208,0
20260802-10-02,trio,48169,0
20260802-10-02,bracket,3708,0
20260802-10-02,exacta,24996,0
20260802-10-02,trifecta,124084,0
20260802-10-03,win,29329,0
20260802-10-03,bracket_exacta,0,0
20260802-10-03,wide,32878,0
20260802-10-03,place,24596,0
20260802-10-03,quinella,27465,0
20260802-10-03,trio,55619,0
20260802-10-03,bracket,4097,0
20260802-10-03,exacta,26991,0
20260802-10-03,trifecta,132459,0
20260802-10-04,win,32437,0
20260802-10-04,bracket_exacta,0,0
20260802-10-04,wide,24757,0
20260802-10-04,place,16942,0
20260802-10-04,quinella,21564,0
20260802-10-04,trio,45257,0
20260802-10-04,bracket,3120,0
20260802-10-04,exacta,20707,0
20260802-10-04,trifecta,120884,0
20260802-10-05,win,17336,0
20260802-10-05,bracket_exacta,0,0
20260802-10-05,wide,25129,0
20260802-10-05,place,16615,0
20260802-10-05,quinella,19232,0
20260802-10-05,trio,40766,0
20260802-10-05,bracket,3161,0
20260802-10-05,exacta,18472,0
20260802-10-05,trifecta,87545,0
20260802-10-06,win,12464,0
20260802-10-06,bracket_exacta,0,0
20260802-10-06,wide,13344,0
20260802-10-06,place,8872,0
20260802-10-06,quinella,13412,0
20260802-10-06,trio,28561,0
20260802-10-06,bracket,2673,0
20260802-10-06,exacta,11295,0
20260802-10-06,trifecta,61475,0
20260802-10-07,win,12850,0
20260802-10-07,bracket_exacta,0,0
20260802-10-07,wide,17967,0
20260802-10-07,place,8346,0
20260802-10-07,quinella,16918,0
20260802-10-07,trio,31761,0
20260802-10-07,bracket,2447,0
20260802-10-07,exacta,14975,0
20260802-10-07,trifecta,74071,0
20260802-10-08,win,28493,0
20260802-10-08,bracket_exacta,0,0
20260802-10-08,wide,23940,0
20260802-10-08,place,10028,0
20260802-10-08,quinella,17979,0
20260802-10-08,trio,43081,0
20260802-10-08,bracket,2807,0
20260802-10-08,exacta,17253,0
20260802-10-08,trifecta,95703,0
20260802-10-09,win,26113,0
20260802-10-09,bracket_exacta,0,0
20260802-10-09,wide,25064,0
20260802-10-09,place,17025,0
20260802-10-09,quinella,23257,0
20260802-10-09,trio,53061,0
20260802-10-09,bracket,4158,0
20260802-10-09,exacta,23080,0
20260802-10-09,trifecta,149371,0
20260802-10-10,win,22024,0
20260802-10-10,bracket_exacta,0,0
20260802-10-10,wide,21982,0
20260802-10-10,place,12177,0
20260802-10-10,quinella,16581,0
20260802-10-10,trio,48886,0
20260802-10-10,bracket,3792,0
20260802-10-10,exacta,17915,0
20260802-10-10,trifecta,107987,0
20260802-10-11,win,25961,0
20260802-10-11,bracket_exacta,0,0
20260802-10-11,wide,26739,0
20260802-10-11,place,23355,0
20260802-10-11,quinella,22287,0
20260802-10-11,trio,52147,0
20260802-10-11,bracket,4338,0
20260802-10-11,exacta,24026,0
20260802-10-11,trifecta,139852,0
20260802-10-12,win,94431,0
20260802-10-12,bracket_exacta,0,0
20260802-10-12,wide,109243,0
20260802-10-12,place,48866,0
20260802-10-12,quinella,107518,0
20260802-10-12,trio,263790,0
20260802-10-12,bracket,16971,0
20260802-10-12,exacta,106415,0
20260802-10-12,trifecta,734788,0
