race_id,bet_type,combination,amount,popularity
20260802-03-01,win,5,130,1
20260802-03-01,place,5,100,1
20260802-03-01,place,1,350,8
20260802-03-01,place,4,240,6
20260802-03-01,bracket,1-5,2880,10
20260802-03-01,quinella,1-5,3370,10
20260802-03-01,exacta,5-1,3920,13
20260802-03-01,wide,1-5,870,10
20260802-03-01,wide,4-5,310,2
20260802-03-01,wide,1-4,3520,32
20260802-03-01,trio,1-4-5,6840,24
20260802-03-01,trifecta,5-1-4,19890,71
20260802-03-02,win,8,350,1
20260802-03-02,place,8,140,1
20260802-03-02,place,9,650,9
20260802-03-02,place,10,400,8
20260802-03-02,bracket,7-8,750,3
20260802-03-02,quinella,8-9,3250,16
20260802-03-02,exacta,8-9,5330,21
20260802-03-02,wide,8-9,1270,17
20260802-03-02,wide,8-10,1480,22
20260802-03-02,wide,9-10,3260,36
20260802-03-02,trio,8-9-10,13950,61
20260802-03-02,trifecta,8-9-10,37560,156
20260802-03-03,win,10,450,3
20260802-03-03,place,10,230,3
20260802-03-03,place,7,190,2
20260802-03-03,place,5,560,7
20260802-03-03,bracket,7-8,490,2
20260802-03-03,quinella,7-10,860,4
20260802-03-03,exacta,10-7,2150,8
20260802-03-03,wide,7-10,270,2
20260802-03-03,wide,5-10,1000,15
20260802-03-03,wide,5-7,820,10
20260802-03-03,trio,5-7-10,1710,4
20260802-03-03,trifecta,10-7-5,16120,53
20260802-03-04,win,10,330,2
20260802-03-04,place,10,160,1
20260802-03-04,place,4,230,5
20260802-03-04,place,9,250,6
20260802-03-04,bracket,4-8,1720,7
20260802-03-04,quinella,4-10,1370,5
20260802-03-04,exacta,10-4,3680,16
20260802-03-04,wide,4-10,700,8
20260802-03-04,wide,9-10,1110,15
20260802-03-04,wide,4-9,1500,20
20260802-03-04,trio,4-9-10,11240,38
20260802-03-04,trifecta,10-4-9,36400,147
20260802-03-05,win,10,160,1
20260802-03-05,place,10,110,1
20260802-03-05,place,7,240,5
20260802-03-05,place,4,190,4
20260802-03-05,bracket,7-8,740,3
20260802-03-05,quinella,7-10,910,5
20260802-03-05,exacta,10-7,1250,6
20260802-03-05,wide,7-10,300,3
20260802-03-05,wide,4-10,290,2
20260802-03-05,wide,4-7,750,9
20260802-03-05,trio,4-7-10,1690,6
20260802-03-05,trifecta,10-7-4,6570,14
20260802-03-06,win,7,230,1
20260802-03-06,place,7,100,2
20260802-03-06,place,2,100,1
20260802-03-06,place,9,160,3
20260802-03-06,bracket,2-7,270,1
20260802-03-06,quinella,2-7,270,1
20260802-03-06,exacta,7-2,520,1
20260802-03-06,wide,2-7,200,2
20260802-03-06,wide,7-9,400,5
20260802-03-06,wide,2-9,450,6
20260802-03-06,trio,2-7-9,890,3
20260802-03-06,trifecta,7-2-9,2390,4
20260802-03-07,win,5,270,2
20260802-03-07,place,5,150,2
20260802-03-07,place,10,420,8
20260802-03-07,place,8,360,7
20260802-03-07,bracket,5-8,3080,14
20260802-03-07,quinella,5-10,4580,17
20260802-03-07,exacta,5-10,6340,23
20260802-03-07,wide,5-10,1380,16
20260802-03-07,wide,5-8,640,8
20260802-03-07,wide,8-10,2340,28
