race_id,date,baba_code,baba_name,race_no,title,surface,distance,weather,going
20260405-11-01,2026-04-05,11,水沢,1,２０２６岩手競馬シーズン開幕Ｃ２,ダート,850,曇,不良
20260405-11-02,2026-04-05,11,水沢,2,Ｃ２十組,ダート,1300,曇,不良
20260405-11-03,2026-04-05,11,水沢,3,Ｃ２九組,ダート,1300,曇,不良
20260405-11-04,2026-04-05,11,水沢,4,Ｃ２八組,ダート,1300,曇,重
20260405-11-05,2026-04-05,11,水沢,5,３歳Ｂ１,ダート,1600,曇,重
20260405-11-06,2026-04-05,11,水沢,6,Ｂ２,ダート,850,曇,重
20260405-11-07,2026-04-05,11,水沢,7,Ｂ２,ダート,850,曇,重
20260405-11-08,2026-04-05,11,水沢,8,Ｂ２,ダート,1400,曇,重
20260405-11-09,2026-04-05,11,水沢,9,岩手伝統工芸　岩谷堂箪笥賞Ｂ１三組Ｂ２一組混合,ダート,1600,曇,重
20260405-11-10,2026-04-05,11,水沢,10,お食事処「山水」賞Ｂ１Ｂ２混合,ダート,1400,曇,重
20260405-11-11,2026-04-05,11,水沢,11,第３回 ネクストスター北日本（グレナディアガーズ賞）３歳,ダート,1400,曇,重
20260405-31-01,2026-04-05,31,佐賀,1,Ｃ２－８,ダート,1400,晴,不良
20260405-31-02,2026-04-05,31,佐賀,2,Ｃ２－７,ダート,1400,晴,不良
20260405-31-03,2026-04-05,31,佐賀,3,Ｃ２－６,ダート,1400,晴,不良
20260405-31-04,2026-04-05,31,佐賀,4,Ｃ２Ｃ３混合,ダート,1400,晴,不良
20260405-31-05,2026-04-05,31,佐賀,5,Ｃ３－３,ダート,1300,晴,不良
20260405-31-06,2026-04-05,31,佐賀,6,Ｃ３－２,ダート,1300,晴,不良
20260405-31-07,2026-04-05,31,佐賀,7,ハナモモ特別Ｃ３－１,ダート,1300,晴,不良
20260405-31-08,2026-04-05,31,佐賀,8,Ｃ１－４,ダート,1600,晴,不良
20260405-31-09,2026-04-05,31,佐賀,9,Ｃ１－３,ダート,1600,晴,不良
20260405-31-10,2026-04-05,31,佐賀,10,Ｃ１－２,ダート,1600,晴,不良
20260405-31-11,2026-04-05,31,佐賀,11,牧野公園特別Ｃ１－１,ダート,1600,晴,不良
20260405-31-12,2026-04-05,31,佐賀,12,ファイナルレースＣ１－７,ダート,1600,晴,不良
20260405-32-01,2026-04-05,32,佐賀,1,ＷａｌｔｚＢａｓｅ杯Ｃ２－１４組,ダート,1300,晴,不良
20260405-32-02,2026-04-05,32,佐賀,2,Ｃ２－１３組,ダート,1300,晴,不良
20260405-32-03,2026-04-05,32,佐賀,3,Ｃ２－１２組,ダート,1400,晴,不良
20260405-32-04,2026-04-05,32,佐賀,4,Ｃ１－６組,ダート,1400,晴,不良
20260405-32-05,2026-04-05,32,佐賀,5,長崎街道常盤橋（ときわばし）特選Ｃ１,ダート,1400,晴,不良
20260405-32-06,2026-04-05,32,佐賀,6,第２５回 ル・プランタン賞（レッドベルジュール賞）３歳牝馬オープン,ダート,1800,晴,不良
20260405-32-07,2026-04-05,32,佐賀,7,Ｃ１－５組,ダート,1400,晴,不良
20260405-32-08,2026-04-05,32,佐賀,8,ハナカイドウ賞Ｂ－３組,ダート,1400,晴,不良
20260405-32-09,2026-04-05,32,佐賀,9,ＡＩパッカル賞Ａ２,ダート,1400,晴,不良
20260405-32-10,2026-04-05,32,佐賀,10,スプリングスター特別３歳,ダート,1300,晴,不良
20260405-32-11,2026-04-05,32,佐賀,11,ＳＡＧＡリベンジャーズジョッキーズＣ２－１８組,ダート,1300,晴,不良
