rank,rank_raw,waku,horse_no,horse_name,horse_id,affiliation,sex_age,weight_carried,jockey,trainer,body_weight,body_weight_diff,time,margin,last3f,popularity,win_odds,race_id
1.0,1,7,10,シューキング,30034407096,大井,牡4,56.0,矢野貴,佐野謙,508.0,17.0,1:15.1,,38.3,1.0,2.4,20260701-20-01
2.0,2,8,11,ツクシ,30038408976,大井,牝6,53.0,☆谷内貫,大宮和,456.0,-4.0,1:15.2,1/2,38.0,2.0,3.1,20260701-20-01
3.0,3,4,4,マーナーパス,40001403966,大井,牡7,56.0,遠藤健,遠藤茂,470.0,6.0,1:15.6,2,39.0,5.0,14.9,20260701-20-01
4.0,4,8,12,ドンナドンナ,30028404876,大井,牝6,54.0,田中洸,橋本馬,461.0,3.0,1:15.9,1.1/2,39.3,4.0,11.0,20260701-20-01
5.0,5,6,8,ソリタリオカズ,30089400196,大井,牡4,56.0,中村尚,渡部則,438.0,0.0,1:16.2,1.1/2,38.8,12.0,395.6,20260701-20-01
6.0,6,3,3,ウィルフィオーナ,30057400496,大井,牝4,51.0,▲杉山海,松浦裕,417.0,4.0,1:16.3,3/4,39.1,6.0,44.1,20260701-20-01
7.0,7,6,7,スイヘイセン,30064402386,大井,牡5,56.0,佐野遥,阪本一,488.0,6.0,1:16.7,2,38.1,8.0,81.6,20260701-20-01
8.0,8,7,9,テルケンユミカブト,40070407986,大井,牝5,54.0,新原周,澤佳宏,497.0,-6.0,1:17.1,2,39.3,7.0,77.6,20260701-20-01
9.0,9,5,6,セグレタリオレディ,30079408196,大井,牝4,51.0,▲小野俊,渡部則,399.0,-7.0,1:17.2,1/2,39.2,11.0,273.4,20260701-20-01
10.0,10,5,5,ピュアリヤン,30082404296,大井,セン4,56.0,笹川翼,森下淳,481.0,0.0,1:17.3,クビ,40.4,3.0,3.3,20260701-20-01
11.0,11,2,2,ソフィアトート,30093402886,大井,牝5,54.0,石川駿,堀千亜,439.0,7.0,1:18.2,4,41.2,10.0,263.7,20260701-20-01
12.0,12,1,1,ジェムストンパワー,30058405396,大井,牡4,56.0,瀬川将,栗田裕,437.0,1.0,1:18.3,1/2,41.1,9.0,153.0,20260701-20-01
1.0,1,5,8,ホップステップ,30072407207,大井,牝3,54.0,藤本現,中道啓,527.0,-7.0,1:44.5,,40.4,3.0,8.9,20260701-20-02
2.0,2,8,13,ユウトザケンケン,30029405307,大井,牡3,56.0,矢野貴,栗田裕,486.0,6.0,1:44.5,ハナ,40.0,1.0,1.5,20260701-20-02
3.0,3,2,2,ゴールドフリーザ,30066405007,大井,牡3,56.0,達城龍,久保隆,455.0,-4.0,1:44.7,1,40.2,5.0,26.8,20260701-20-02
4.0,4,1,1,スルガビジン,30066402407,大井,牝3,54.0,笹川翼,佐宗応,518.0,0.0,1:44.8,クビ,40.9,2.0,3.1,20260701-20-02
5.0,5,6,9,トネタロウ,30064404107,大井,牡3,56.0,藤田凌,朝倉実,502.0,9.0,1:45.0,1,41.1,6.0,49.2,20260701-20-02
6.0,6,6,10,ミラクルロマンス,30037409307,大井,牝3,51.0,▲杉山海,納谷和,426.0,2.0,1:45.2,1,40.9,11.0,88.6,20260701-20-02
7.0,7,4,5,アズキング,30057409807,大井,牡3,56.0,千田洋,朝倉実,531.0,-1.0,1:45.2,アタマ,40.5,7.0,49.6,20260701-20-02
8.0,8,7,11,グレートロッタリー,30059402007,大井,牝3,54.0,菅原涼,堀千亜,437.0,-1.0,1:45.6,2,40.4,10.0,79.2,20260701-20-02
9.0,9,3,3,ビハインドヘッド,30032401107,大井,牡3,53.0,▲木澤奨,朝倉実,473.0,1.0,1:45.7,3/4,40.9,8.0,63.9,20260701-20-02
10.0,10,7,12,オーシャンクロノス,30096407207,大井,牝3,54.0,田中洸,荒井朋,446.0,-1.0,1:45.7,クビ,40.9,13.0,273.8,20260701-20-02
11.0,11,4,6,ファンキーヤンキー,40030405907,大井,牡3,56.0,新原周,嶋田幸,473.0,16.0,1:45.8,クビ,41.1,12.0,104.7,20260701-20-02
12.0,12,8,14,エースインフェルノ,30073405607,大井,牝3,51.0,▲高橋優,嶋田幸,447.0,-5.0,1:45.8,クビ,42.1,4.0,23.7,20260701-20-02
13.0,13,3,4,ジーティークィーン,30003403507,大井,牝3,54.0,東原悠,佐々忠,436.0,5.0,1:47.7,9,43.2,9.0,71.5,20260701-20-02
,取消,5,7,ジョテイ,30074401507,大井,牝3,51.0,▲西優哉,大宮和,,,,,,,,20260701-20-02
1.0,1,1,1,マインゴールド,30083405007,大井,牡3,56.0,岡村健,遠藤茂,448.0,2.0,1:14.4,,37.6,3.0,20.5,20260701-20-03
2.0,2,7,9,コブラツイスト,30017403407,大井,牡3,56.0,藤本現,渡部則,472.0,-3.0,1:14.6,1.1/4,37.8,1.0,1.7,20260701-20-03
3.0,3,3,3,トキオゴリン,30033401807,大井,牡3,53.0,▲西優哉,朝倉実,455.0,1.0,1:14.8,1,38.8,5.0,32.8,20260701-20-03
4.0,4,6,8,サコクノクインビー,30082404007,大井,牝3,54.0,吉井章,吉井竜,463.0,-1.0,1:14.8,クビ,38.6,7.0,38.0,20260701-20-03
5.0,5,8,11,ファジーエンジェル,30083406007,大井,牝3,54.0,西啓太,佐々洋,485.0,3.0,1:15.5,3.1/2,37.5,6.0,36.7,20260701-20-03
6.0,6,7,10,リップスキップ,30042400507,大井,牝3,54.0,和田譲,嶋田幸,514.0,0.0,1:15.8,1.1/2,39.2,4.0,26.7,20260701-20-03
7.0,7,5,5,アースフレンドリー,30061403907,大井,牝3,54.0,東原悠,佐々洋,431.0,0.0,1:16.0,1.1/4,38.4,9.0,112.6,20260701-20-03
8.0,8,2,2,ヤマジュンハッピ,30084409807,大井,牝3,52.0,◇中島良,小野晋,419.0,-1.0,1:16.1,3/4,37.9,10.0,240.3,20260701-20-03
8.0,8,5,6,ムービングアップ,30026406407,大井,牡3,56.0,矢野貴,栗田裕,475.0,2.0,1:16.1,同着,39.9,2.0,2.1,20260701-20-03
10.0,10,6,7,サスケリアン,30053402607,大井,牝3,53.0,☆谷内貫,嶋田幸,428.0,-9.0,1:16.7,3,40.1,8.0,85.3,20260701-20-03
11.0,11,4,4,ユリシスバタフライ,30007408007,大井,牡3,56.0,本村直,納谷和,519.0,14.0,1:18.0,6,40.6,11.0,314.2,20260701-20-03
,取消,8,12,エイシンシームレス,30097405307,大井,牝3,54.0,高野誠,久保隆,,,,,,,,20260701-20-03
1.0,1,8,14,ビートリニティ,30075405486,大井,牝5,54.0,吉井章,鈴木啓,474.0,8.0,1:42.8,,38.6,2.0,4.5,20260701-20-04
2.0,2,5,8,ゴーディアンノット,30006401786,大井,セン5,56.0,安藤洋,鷹見浩,470.0,0.0,1:43.7,4,38.8,1.0,3.2,20260701-20-04
3.0,3,3,4,シルフラ,30058402996,大井,牝4,54.0,佐野遥,栗田泰,475.0,5.0,1:43.7,ハナ,39.7,4.0,6.8,20260701-20-04
4.0,4,5,7,アメシスト,30054401596,大井,牝4,54.0,藤本現,森下淳,463.0,4.0,1:44.2,2.1/2,39.1,7.0,12.7,20260701-20-04
5.0,5,4,5,カルサパラストリス,30048408296,大井,セン4,55.0,☆中山遥,阪本一,445.0,7.0,1:44.4,1,39.3,3.0,5.8,20260701-20-04
6.0,6,2,2,カプチーノ,30032404796,大井,牝4,54.0,西啓太,佐々洋,449.0,2.0,1:44.4,クビ,39.9,8.0,15.7,20260701-20-04
7.0,7,6,9,グランドターギー,30089403196,大井,セン4,56.0,中村尚,渡邉和,476.0,3.0,1:44.7,1.1/2,40.1,6.0,9.3,20260701-20-04
8.0,8,1,1,カミュ,30012408896,大井,セン4,56.0,千田洋,松浦裕,470.0,-6.0,1:45.1,2,39.7,9.0,57.8,20260701-20-04
9.0,9,6,10,レディヴィクトリア,30058403356,大井,牝8,54.0,達城龍,納谷和,442.0,1.0,1:45.1,アタマ,40.7,5.0,9.1,20260701-20-04
10.0,10,3,3,プレインコート,30026401596,大井,牝4,54.0,菅原涼,堀千亜,421.0,7.0,1:45.2,クビ,39.7,10.0,109.1,20260701-20-04
11.0,11,7,12,シャークコパ,30024406396,大井,牝4,54.0,高野誠,赤嶺亮,447.0,2.0,1:45.5,1.3/4,39.8,11.0,112.0,20260701-20-04
12.0,12,4,6,ウイニングショット,30008401996,大井,牡4,53.0,▲西優哉,朝倉実,466.0,-2.0,1:46.2,3.1/2,40.3,12.0,134.2,20260701-20-04
13.0,13,8,13,ジョーソーレ,30044409586,大井,牝5,54.0,田中洸,小野晋,452.0,-1.0,1:46.3,3/4,42.1,13.0,180.0,20260701-20-04
14.0,14,7,11,ディフィラリー,30053408086,大井,牡5,56.0,瀬川将,庄子昭,524.0,-1.0,1:46.3,ハナ,42.1,14.0,324.8,20260701-20-04
1.0,1,4,6,ブラボーキングダム,30073408286,大井,セン5,56.0,安藤洋,藤田輝,503.0,-3.0,1:14.6,,36.4,4.0,6.7,20260701-20-05
2.0,2,7,11,クライトゥナイト,30007402676,大井,牝6,54.0,中村尚,渡邉和,492.0,-2.0,1:14.8,1,39.1,7.0,12.6,20260701-20-05
3.0,3,8,13,リュウノワールド,30078407596,大井,牡4,56.0,高野誠,鷹見浩,478.0,-4.0,1:15.0,3/4,37.3,5.0,7.0,20260701-20-05
4.0,4,5,7,ジルクン,30092407896,大井,牡4,56.0,笹川翼,月岡健,417.0,-2.0,1:15.1,3/4,37.8,3.0,6.3,20260701-20-05
5.0,5,7,12,イオリ,30035406496,大井,牝4,54.0,東原悠,庄子昭,438.0,-21.0,1:15.3,3/4,38.1,13.0,128.2,20260701-20-05
6.0,6,8,14,ピーエムドレミ,30057401686,大井,牝5,51.0,▲杉山海,市村誠,423.0,5.0,1:15.3,クビ,39.1,2.0,4.1,20260701-20-05
7.0,7,1,1,ハンターウルフ,30003402896,大井,牡4,56.0,瀬川将,栗田裕,472.0,-1.0,1:15.5,3/4,38.5,8.0,33.8,20260701-20-05
8.0,8,3,4,エムオーナイナー,30067408556,大井,牡8,56.0,達城龍,久保隆,481.0,-2.0,1:15.5,ハナ,38.0,1.0,3.8,20260701-20-05
9.0,9,2,2,トーセンアマンダ,30057400556,大井,牝8,54.0,遠藤健,遠藤茂,494.0,5.0,1:15.6,3/4,37.6,14.0,250.8,20260701-20-05
10.0,10,3,3,ターボエス,30073409996,大井,牡4,56.0,西啓太,荒井朋,478.0,-2.0,1:15.7,クビ,39.1,11.0,67.5,20260701-20-05
11.0,11,6,9,キルコネクション,30004408896,大井,牝4,51.0,▲高橋優,赤嶺亮,442.0,6.0,1:15.9,1,40.3,6.0,9.1,20260701-20-05
12.0,12,5,8,ゴールデンオージャ,30063400356,大井,牡8,53.0,▲木澤奨,村上頼,470.0,-3.0,1:16.1,1.1/4,38.6,12.0,70.5,20260701-20-05
13.0,13,6,10,ウチュウノキボウ,30008409396,大井,牝4,54.0,吉井章,鈴木啓,465.0,11.0,1:16.1,クビ,39.4,10.0,43.7,20260701-20-05
14.0,14,4,5,ヴァンクルジャン,30079400296,大井,牡4,53.0,▲西優哉,福永敏,448.0,-3.0,1:19.7,大差,43.9,9.0,43.3,20260701-20-05
1.0,1,8,9,グレン,40022406076,大井,牡6,56.0,安藤洋,坂井英,506.0,10.0,1:41.2,,39.2,1.0,2.1,20260701-20-06
2.0,2,3,3,クアッズ,30028400996,大井,セン4,56.0,石川駿,納谷和,485.0,-1.0,1:41.7,2.1/2,39.7,3.0,4.6,20260701-20-06
3.0,3,8,10,コーゲンシルバー,30064406986,大井,牡5,56.0,中村尚,井上弘,463.0,-1.0,1:41.7,クビ,39.1,5.0,12.6,20260701-20-06
4.0,4,7,8,ドバイミッション,30067403596,大井,牡4,56.0,藤田凌,真島大,553.0,3.0,1:41.9,3/4,39.8,2.0,4.1,20260701-20-06
5.0,5,7,7,ハクアイソレイユ,30048400196,大井,牝4,54.0,野畑凌,松浦裕,458.0,-2.0,1:42.1,3/4,38.3,4.0,10.9,20260701-20-06
