race_id,bet_type,combination,amount,popularity
20260701-20-01,win,10,240,1
20260701-20-01,place,10,120,1
20260701-20-01,place,11,130,2
20260701-20-01,place,4,220,5
20260701-20-01,bracket,7-8,290,1
20260701-20-01,quinella,10-11,410,1
20260701-20-01,bracket_exacta,7-8,420,1
20260701-20-01,exacta,10-11,640,1
20260701-20-01,wide,10-11,220,2
20260701-20-01,wide,4-10,560,7
20260701-20-01,wide,4-11,400,6
20260701-20-01,trio,4-10-11,1230,3
20260701-20-01,trifecta,10-11-4,3440,6
20260701-20-02,win,8,890,3
20260701-20-02,place,8,150,3
20260701-20-02,place,13,110,1
20260701-20-02,place,2,280,5
20260701-20-02,bracket,5-8,630,2
20260701-20-02,quinella,8-13,670,2
20260701-20-02,bracket_exacta,5-8,1980,7
20260701-20-02,exacta,8-13,2120,6
20260701-20-02,wide,8-13,290,3
20260701-20-02,wide,2-8,1040,10
20260701-20-02,wide,2-13,730,7
20260701-20-02,trio,2-8-13,2820,8
20260701-20-02,trifecta,8-13-2,15800,39
20260701-20-03,win,1,2050,3
20260701-20-03,place,1,200,3
20260701-20-03,place,9,110,1
20260701-20-03,place,3,290,5
20260701-20-03,bracket,1-7,780,2
20260701-20-03,quinella,1-9,1000,2
20260701-20-03,bracket_exacta,1-7,3870,13
20260701-20-03,exacta,1-9,3970,13
20260701-20-03,wide,1-9,330,2
20260701-20-03,wide,1-3,1340,14
20260701-20-03,wide,3-9,470,5
20260701-20-03,trio,1-3-9,2930,9
20260701-20-03,trifecta,1-9-3,27940,81
20260701-20-04,win,14,450,2
20260701-20-04,place,14,190,3
20260701-20-04,place,8,150,1
20260701-20-04,place,4,210,4
20260701-20-04,bracket,5-8,750,2
20260701-20-04,quinella,8-14,1040,3
20260701-20-04,bracket_exacta,8-5,1470,4
20260701-20-04,exacta,14-8,1660,1
20260701-20-04,wide,8-14,370,2
20260701-20-04,wide,4-14,560,5
20260701-20-04,wide,4-8,370,1
20260701-20-04,trio,4-8-14,1940,2
20260701-20-04,trifecta,14-8-4,10960,15
20260701-20-05,win,6,670,4
20260701-20-05,place,6,340,6
20260701-20-05,place,11,370,7
20260701-20-05,place,13,230,4
20260701-20-05,bracket,4-7,4230,15
20260701-20-05,quinella,6-11,5080,21
20260701-20-05,bracket_exacta,4-7,7890,27
20260701-20-05,exacta,6-11,7300,32
20260701-20-05,wide,6-11,1870,23
20260701-20-05,wide,6-13,840,10
20260701-20-05,wide,11-13,1240,16
20260701-20-05,trio,6-11-13,9590,34
20260701-20-05,trifecta,6-11-13,37270,128
20260701-20-06,win,9,210,1
20260701-20-06,place,9,140,1
20260701-20-06,place,3,160,3
20260701-20-06,place,10,260,6
20260701-20-06,bracket,3-8,640,3
20260701-20-06,quinella,3-9,850,3
20260701-20-06,bracket_exacta,8-3,1050,4
20260701-20-06,exacta,9-3,1360,4
20260701-20-06,wide,3-9,400,3
20260701-20-06,wide,9-10,920,16
20260701-20-06,wide,3-10,620,7
20260701-20-06,trio,3-9-10,2920,11
20260701-20-06,trifecta,9-3-10,8930,23
20260701-20-07,win,8,100,1
20260701-20-07,place,8,100,1
20260701-20-07,place,6,170,4
20260701-20-07,place,7,120,2
20260701-20-07,bracket,5-6,260,1
20260701-20-07,quinella,6-8,430,2
20260701-20-07,bracket_exacta,6-5,230,2
20260701-20-07,exacta,8-6,480,2
20260701-20-07,wide,6-8,220,2
20260701-20-07,wide,7-8,130,1
20260701-20-07,wide,6-7,580,8
20260701-20-07,trio,6-7-8,640,1
20260701-20-07,trifecta,8-6-7,1500,3
20260701-20-08,win,4,2340,6
20260701-20-08,place,4,480,7
20260701-20-08,place,7,230,3
20260701-20-08,place,2,290,5
20260701-20-08,bracket,3-5,2720,12
20260701-20-08,quinella,4-7,3700,15
20260701-20-08,bracket_exacta,3-5,5330,23
20260701-20-08,exacta,4-7,8970,29
20260701-20-08,wide,4-7,1160,13
20260701-20-08,wide,2-4,1290,16
20260701-20-08,wide,2-7,530,5
20260701-20-08,trio,2-4-7,4600,15
20260701-20-08,trifecta,4-7-2,42160,129
20260701-20-09,win,8,600,2
20260701-20-09,place,8,150,2
20260701-20-09,place,7,110,1
20260701-20-09,place,13,190,5
20260701-20-09,bracket,5-5,580,3
20260701-20-09,quinella,7-8,540,1
20260701-20-09,bracket_exacta,5-5,540,2
20260701-20-09,exacta,8-7,1540,5
20260701-20-09,wide,7-8,220,1
20260701-20-09,wide,8-13,480,8
20260701-20-09,wide,7-13,450,6
20260701-20-09,trio,7-8-13,1340,4
20260701-20-09,trifecta,8-7-13,8460,22
20260701-20-10,win,12,250,1
20260701-20-10,place,12,120,1
20260701-20-10,place,9,340,7
20260701-20-10,place,2,140,2
20260701-20-10,bracket,6-8,660,3
20260701-20-10,quinella,9-12,2090,8
20260701-20-10,bracket_exacta,8-6,1260,5
20260701-20-10,exacta,12-9,2870,9
20260701-20-10,wide,9-12,660,7
20260701-20-10,wide,2-12,250,1
20260701-20-10,wide,2-9,890,13
20260701-20-10,trio,2-9-12,1940,5
20260701-20-10,trifecta,12-9-2,10200,28
20260701-20-11,win,8,170,1
20260701-20-11,place,8,110,1
20260701-20-11,place,3,140,2
20260701-20-11,place,10,200,4
20260701-20-11,bracket,3-6,370,1
20260701-20-11,quinella,3-8,380,1
20260701-20-11,bracket_exacta,6-3,460,1
20260701-20-11,exacta,8-3,540,1
20260701-20-11,wide,3-8,180,1
20260701-20-11,wide,8-10,300,3
20260701-20-11,wide,3-10,610,7
20260701-20-11,trio,3-8-10,890,2
20260701-20-11,trifecta,8-3-10,2540,3
20260701-20-12,win,12,310,2
20260701-20-12,place,12,150,2
20260701-20-12,place,14,120,1
20260701-20-12,place,11,200,4
20260701-20-12,bracket,7-8,450,2
20260701-20-12,quinella,12-14,450,1
20260701-20-12,bracket_exacta,7-8,910,3
20260701-20-12,exacta,12-14,810,2
20260701-20-12,wide,12-14,250,2
20260701-20-12,wide,11-12,570,7
20260701-20-12,wide,11-14,500,5
20260701-20-12,trio,11-12-14,1530,4
20260701-20-12,trifecta,12-14-11,5170,10
20260701-24-01,win,1,600,3
20260701-24-01,place,1,220,4
20260701-24-01,place,2,280,6
20260701-24-01,place,11,140,2
20260701-24-01,bracket,1-2,4990,12
20260701-24-01,quinella,1-2,3970,13
20260701-24-01,exacta,1-2,5470,18
20260701-24-01,wide,1-2,1430,13
20260701-24-01,wide,1-11,350,4
20260701-24-01,wide,2-11,830,11
20260701-24-01,trio,1-2-11,4110,14
20260701-24-01,trifecta,1-2-11,26250,78
20260701-24-02,win,12,10460,10
