race_id,date,baba_code,baba_name,race_no,title,surface,distance,weather,going
20260702-19-01,2026-07-02,19,船橋,1,３歳六,ダート,1200,曇,不良
20260702-19-02,2026-07-02,19,船橋,2,２歳二,ダート,1200,曇,不良
20260702-19-03,2026-07-02,19,船橋,3,Ｃ２四 五,ダート,1500,曇,不良
20260702-19-04,2026-07-02,19,船橋,4,Ｃ２四 五,ダート,1200,曇,不良
20260702-19-05,2026-07-02,19,船橋,5,アヤメスプリントＣ２選抜馬イ,ダート,1200,曇,不良
20260702-19-06,2026-07-02,19,船橋,6,Ｃ１二 三,ダート,1200,曇,不良
20260702-19-07,2026-07-02,19,船橋,7,馬い！淡路洲本農園玉ねぎ記念Ｃ１二 三,ダート,1600,曇,不良
20260702-19-08,2026-07-02,19,船橋,8,夕涼みスプリントＣ１選抜馬,ダート,1200,曇,不良
20260702-19-09,2026-07-02,19,船橋,9,ナティレイン特別３歳未格選抜馬ＪＲＡ所属馬,ダート,1600,曇,不良
20260702-19-10,2026-07-02,19,船橋,10,半夏生スプリントＢ２選抜馬ア,ダート,1200,曇,不良
20260702-19-11,2026-07-02,19,船橋,11,桑島孝春記念Ａ２Ｂ１一,ダート,1700,曇,不良
20260702-19-12,2026-07-02,19,船橋,12,ジュライダッシュＢ３選抜馬,ダート,1000,曇,不良
20260702-20-01,2026-07-02,20,大井,1,Ｃ３三 四,ダート,1600,雨,不良
20260702-20-02,2026-07-02,20,大井,2,Ｃ３三 四,ダート,1200,曇,不良
20260702-20-03,2026-07-02,20,大井,3,３歳四 五 六,ダート,1600,曇,不良
20260702-20-04,2026-07-02,20,大井,4,３歳四 五 六,ダート,1400,曇,不良
20260702-20-05,2026-07-02,20,大井,5,３歳四 五 六,ダート,1200,曇,不良
20260702-20-06,2026-07-02,20,大井,6,Ｃ２六 七,ダート,1600,曇,不良
20260702-20-07,2026-07-02,20,大井,7,Ｂ３五,ダート,1400,曇,不良
20260702-20-08,2026-07-02,20,大井,8,ディキ・ディキ賞Ｃ２六 七,ダート,1200,曇,不良
20260702-20-09,2026-07-02,20,大井,9,夏至賞Ｃ２二,ダート,2400,曇,不良
20260702-20-10,2026-07-02,20,大井,10,淡路坂賞Ｂ３一選抜特別,ダート,1600,曇,不良
20260702-20-11,2026-07-02,20,大井,11,ジュライ賞３上オープン特別,ダート,1400,曇,不良
20260702-20-12,2026-07-02,20,大井,12,海王星特別Ｃ１二選抜,ダート,1650,曇,不良
20260702-24-01,2026-07-02,24,名古屋,1,名古屋モーニングフィーバー２ ２歳,ダート,920,曇,不良
20260702-24-02,2026-07-02,24,名古屋,2,３歳４組,ダート,1500,曇,不良
20260702-24-03,2026-07-02,24,名古屋,3,Ｃ級６組Ｃ６,ダート,1500,小雨,不良
20260702-24-04,2026-07-02,24,名古屋,4,青嵐（せいらん）賞３歳３,ダート,1400,小雨,不良
20260702-24-05,2026-07-02,24,名古屋,5,Ｃ５組,ダート,1500,曇,不良
20260702-24-06,2026-07-02,24,名古屋,6,たいよう＆えみ結婚おめでとうＢ８,ダート,1500,曇,不良
20260702-24-07,2026-07-02,24,名古屋,7,恋路ヶ浜（こいじがはま）賞Ｃ４,ダート,1400,曇,不良
20260702-24-08,2026-07-02,24,名古屋,8,カササギ賞Ｂ７,ダート,1400,曇,不良
20260702-24-09,2026-07-02,24,名古屋,9,若星（わかぼし）特別３歳１ａ,ダート,1500,曇,不良
20260702-24-10,2026-07-02,24,名古屋,10,星路大空（ほしみちたいくう）特別３歳１ｂ,ダート,2000,曇,不良
20260702-24-11,2026-07-02,24,名古屋,11,小暑前（しょうしょまえ）特別Ａ１ｂ,ダート,1500,曇,重
20260702-24-12,2026-07-02,24,名古屋,12,金シャチ最終戦７７７Ｃ,ダート,1500,曇,重
20260702-27-01,2026-07-02,27,園田,1,Ｃ３二４歳以上,ダート,1400,曇,不良
20260702-27-02,2026-07-02,27,園田,2,Ｃ３一４歳以上,ダート,1400,曇,不良
20260702-27-03,2026-07-02,27,園田,3,Ｃ２二４歳以上,ダート,1400,曇,不良
20260702-27-04,2026-07-02,27,園田,4,粟生（あお）スプリントＣ３ ４歳以上,ダート,1230,曇,不良
20260702-27-05,2026-07-02,27,園田,5,福甸（ふくでん）７ハロンＣ２一４歳以上,ダート,1400,曇,不良
20260702-27-06,2026-07-02,27,園田,6,３歳Ｃ１,ダート,1400,晴,不良
20260702-27-07,2026-07-02,27,園田,7,３歳ＡＢ特別,ダート,1870,晴,重
20260702-27-08,2026-07-02,27,園田,8,Ｃ１二４歳以上,ダート,1400,晴,重
20260702-27-09,2026-07-02,27,園田,9,Ｃ１一４歳以上,ダート,1400,晴,重
20260702-27-10,2026-07-02,27,園田,10,Ｂ２ ４歳以上特別,ダート,820,晴,重
20260702-27-11,2026-07-02,27,園田,11,小野ひまわり特別Ｂ１ ４歳以上,ダート,1400,曇,重
20260702-27-12,2026-07-02,27,園田,12,Ｃ２ ４歳以上特別,ダート,1700,曇,重
20260702-36-01,2026-07-02,36,門別,1,２歳　未勝利,ダート,1100,曇,良
20260702-36-02,2026-07-02,36,門別,2,２歳　未勝利,ダート,1700,曇,良
20260702-36-03,2026-07-02,36,門別,3,ＪＲＡ認定アタックチャレンジ２歳未勝利,ダート,1700,曇,良
20260702-36-04,2026-07-02,36,門別,4,３歳以上　Ｃ４－２,ダート,1200,曇,良
20260702-36-05,2026-07-02,36,門別,5,ＪＲＡ認定フレッシュチャレンジ２歳新馬,ダート,1000,曇,良
20260702-36-06,2026-07-02,36,門別,6,ＪＲＡ認定フレッシュチャレンジ２歳新馬,ダート,1200,曇,良
20260702-36-07,2026-07-02,36,門別,7,ルビー特別２歳オープン,ダート,1200,曇,良
20260702-36-08,2026-07-02,36,門別,8,３歳以上　Ｃ４－２,ダート,1000,曇,良
20260702-36-09,2026-07-02,36,門別,9,３歳以上　Ｃ３－２　Ｃ４－１,ダート,1200,曇,良
20260702-36-10,2026-07-02,36,門別,10,グランシャリオドリーム２８Ｃ３－２Ｃ４－１,ダート,1200,曇,良
20260702-36-11,2026-07-02,36,門別,11,道産子企業北海道競馬応援賞Ｃ３－２Ｃ４－１,ダート,1800,曇,良
20260702-36-12,2026-07-02,36,門別,12,ツキミソウ特別Ａ１Ａ２,ダート,1200,曇,良
