race_id,bet_type,combination,amount,popularity
20260702-19-01,win,4,110,1
20260702-19-01,place,4,100,1
20260702-19-01,place,2,180,3
20260702-19-01,place,11,400,8
20260702-19-01,bracket,2-4,450,3
20260702-19-01,quinella,2-4,530,2
20260702-19-01,bracket_exacta,4-2,590,4
20260702-19-01,exacta,4-2,600,4
20260702-19-01,wide,2-4,240,2
20260702-19-01,wide,4-11,430,6
20260702-19-01,wide,2-11,1840,21
20260702-19-01,trio,2-4-11,2390,11
20260702-19-01,trifecta,4-2-11,5140,20
20260702-19-02,win,5,650,5
20260702-19-02,place,5,180,4
20260702-19-02,place,7,160,2
20260702-19-02,place,9,180,5
20260702-19-02,bracket,5-7,920,5
20260702-19-02,quinella,5-7,770,1
20260702-19-02,bracket_exacta,5-7,1910,9
20260702-19-02,exacta,5-7,1750,4
20260702-19-02,wide,5-7,370,3
20260702-19-02,wide,5-9,830,17
20260702-19-02,wide,7-9,390,5
20260702-19-02,trio,5-7-9,1540,3
20260702-19-02,trifecta,5-7-9,10050,25
20260702-19-03,win,6,120,1
20260702-19-03,place,6,100,1
20260702-19-03,place,8,140,4
20260702-19-03,place,1,110,2
20260702-19-03,quinella,6-8,480,2
20260702-19-03,exacta,6-8,520,2
20260702-19-03,wide,6-8,140,2
20260702-19-03,wide,1-6,120,1
20260702-19-03,wide,1-8,170,3
20260702-19-03,trio,1-6-8,290,1
20260702-19-03,trifecta,6-8-1,880,2
20260702-19-04,win,5,750,3
20260702-19-04,place,5,300,4
20260702-19-04,place,6,170,2
20260702-19-04,quinella,5-6,1160,4
20260702-19-04,exacta,5-6,2890,10
20260702-19-04,wide,5-6,400,5
20260702-19-04,wide,2-5,770,9
20260702-19-04,wide,2-6,560,7
20260702-19-04,trio,2-5-6,2360,10
20260702-19-04,trifecta,5-6-2,15560,51
20260702-19-05,win,1,170,1
20260702-19-05,place,1,100,1
20260702-19-05,place,5,150,4
20260702-19-05,place,7,140,3
20260702-19-05,bracket,1-5,400,2
20260702-19-05,quinella,1-5,490,3
20260702-19-05,bracket_exacta,1-5,540,3
20260702-19-05,exacta,1-5,570,2
20260702-19-05,wide,1-5,230,2
20260702-19-05,wide,1-7,210,1
20260702-19-05,wide,5-7,440,7
20260702-19-05,trio,1-5-7,950,3
20260702-19-05,trifecta,1-5-7,2410,5
20260702-19-06,win,3,860,4
20260702-19-06,place,3,180,3
20260702-19-06,place,6,170,2
20260702-19-06,place,7,190,4
20260702-19-06,bracket,3-6,2310,6
20260702-19-06,quinella,3-6,2070,7
20260702-19-06,bracket_exacta,3-6,5270,15
20260702-19-06,exacta,3-6,6040,17
20260702-19-06,wide,3-6,480,5
20260702-19-06,wide,3-7,610,7
20260702-19-06,wide,6-7,500,6
20260702-19-06,trio,3-6-7,5080,14
20260702-19-06,trifecta,3-6-7,31540,93
20260702-19-07,win,5,120,1
20260702-19-07,place,5,110,1
20260702-19-07,place,8,1030,8
20260702-19-07,place,7,220,5
20260702-19-07,bracket,5-8,1680,6
20260702-19-07,quinella,5-8,5280,13
20260702-19-07,bracket_exacta,5-8,1640,6
20260702-19-07,exacta,5-8,7800,18
20260702-19-07,wide,5-8,2110,19
20260702-19-07,wide,5-7,300,4
20260702-19-07,wide,7-8,6760,27
20260702-19-07,trio,5-7-8,11350,27
20260702-19-07,trifecta,5-8-7,38440,94
20260702-19-08,win,2,2070,5
20260702-19-08,place,2,500,5
20260702-19-08,place,4,140,1
20260702-19-08,quinella,2-4,1350,6
20260702-19-08,exacta,2-4,6390,17
20260702-19-08,wide,2-4,330,5
20260702-19-08,wide,2-3,460,9
20260702-19-08,wide,3-4,160,1
20260702-19-08,trio,2-3-4,870,4
20260702-19-08,trifecta,2-4-3,14580,48
20260702-19-09,win,8,190,1
20260702-19-09,place,8,100,1
20260702-19-09,place,9,130,3
20260702-19-09,place,5,130,2
20260702-19-09,bracket,8-8,340,2
20260702-19-09,quinella,8-9,300,1
20260702-19-09,bracket_exacta,8-8,330,1
20260702-19-09,exacta,8-9,490,1
20260702-19-09,wide,8-9,150,1
20260702-19-09,wide,5-8,180,2
20260702-19-09,wide,5-9,300,4
20260702-19-09,trio,5-8-9,390,1
20260702-19-09,trifecta,8-9-5,1440,1
20260702-19-10,win,2,130,1
20260702-19-10,place,2,120,1
20260702-19-10,place,9,500,7
20260702-19-10,place,3,730,9
20260702-19-10,bracket,2-7,200,1
20260702-19-10,quinella,2-9,1920,6
20260702-19-10,bracket_exacta,2-7,280,1
20260702-19-10,exacta,2-9,2860,9
20260702-19-10,wide,2-9,520,5
20260702-19-10,wide,2-3,790,8
20260702-19-10,wide,3-9,7980,46
20260702-19-10,trio,2-3-9,10030,28
20260702-19-10,trifecta,2-9-3,25320,69
20260702-19-11,win,12,540,2
20260702-19-11,place,12,130,2
20260702-19-11,place,10,100,1
20260702-19-11,place,5,250,5
20260702-19-11,bracket,7-8,190,1
20260702-19-11,quinella,10-12,210,1
20260702-19-11,bracket_exacta,8-7,930,3
20260702-19-11,exacta,12-10,900,5
20260702-19-11,wide,10-12,130,1
20260702-19-11,wide,5-12,510,7
20260702-19-11,wide,5-10,300,4
20260702-19-11,trio,5-10-12,640,2
20260702-19-11,trifecta,12-10-5,4690,16
20260702-19-12,win,6,500,3
20260702-19-12,place,6,230,4
20260702-19-12,place,9,200,2
20260702-19-12,place,10,410,5
20260702-19-12,bracket,5-7,490,2
20260702-19-12,quinella,6-9,1370,6
20260702-19-12,bracket_exacta,5-7,890,4
20260702-19-12,exacta,6-9,2350,11
20260702-19-12,wide,6-9,650,6
20260702-19-12,wide,6-10,1700,18
20260702-19-12,wide,9-10,1120,10
20260702-19-12,trio,6-9-10,6950,22
20260702-19-12,trifecta,6-9-10,22220,68
20260702-20-01,win,14,920,4
20260702-20-01,place,14,340,3
20260702-20-01,place,4,600,9
20260702-20-01,place,2,360,4
20260702-20-01,bracket,3-8,810,3
20260702-20-01,quinella,4-14,7950,28
20260702-20-01,bracket_exacta,8-3,1180,3
20260702-20-01,exacta,14-4,14570,48
20260702-20-01,wide,4-14,2120,27
20260702-20-01,wide,2-14,1290,14
20260702-20-01,wide,2-4,1960,25
20260702-20-01,trio,2-4-14,23000,75
20260702-20-01,trifecta,14-4-2,152640,432
20260702-20-02,win,7,1760,6
20260702-20-02,place,7,320,6
20260702-20-02,place,2,160,2
20260702-20-02,place,4,190,4
20260702-20-02,bracket,2-6,480,1
20260702-20-02,quinella,2-7,1900,9
20260702-20-02,bracket_exacta,6-2,1070,2
20260702-20-02,exacta,7-2,5110,19
20260702-20-02,wide,2-7,570,8
20260702-20-02,wide,4-7,1550,18
20260702-20-02,wide,2-4,720,11
20260702-20-02,trio,2-4-7,5690,23
20260702-20-02,trifecta,7-2-4,38340,136
20260702-20-03,win,9,190,1
20260702-20-03,place,9,110,1
20260702-20-03,place,3,120,2
20260702-20-03,place,5,220,6
20260702-20-03,bracket,3-8,200,1
20260702-20-03,quinella,3-9,230,1
20260702-20-03,bracket_exacta,8-3,260,1
20260702-20-03,exacta,9-3,400,1
20260702-20-03,wide,3-9,140,1
20260702-20-03,wide,5-9,440,8
